update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,3895,8,8,-486.75,486.875,0.0,False
2,7846,8,16,-493.625,493.875,0.0,False
3,11798,8,24,-493.75,494.0,0.0,False
4,15798,8,32,-500.0,500.0,0.0,False
5,19683,8,40,-485.5,485.625,0.0,False
6,23522,8,48,-479.5,479.875,0.0,False
7,27304,8,56,-472.5,472.75,0.0,False
8,31103,8,64,-474.5,474.875,0.0,False
9,35082,8,72,-497.25,497.375,0.0,False
10,38818,8,80,-466.625,467.0,0.0,False
11,42378,8,88,-444.375,445.0,0.0,False
12,45762,8,96,-422.5,423.0,0.0,False
13,49614,8,104,-481.25,481.5,0.0,False
14,53528,8,112,-488.875,489.25,0.0,False
15,56773,8,120,-404.875,405.625,0.0,False
16,60062,8,128,-410.375,411.125,0.0,False
17,63218,8,136,-393.75,394.5,0.0,False
18,66486,8,144,-407.75,408.5,0.0,False
19,69828,8,152,-416.75,417.75,0.0,False
20,73164,8,160,-416.125,417.0,0.0,False
21,76040,8,168,-358.5,359.5,0.0,False
22,79032,8,176,-373.125,374.0,0.0,False
23,81867,8,184,-353.5,354.375,0.0,False
24,84634,8,192,-345.0,345.875,0.0,False
25,87381,8,200,-342.5,343.375,0.0,False
26,89726,8,208,-292.125,293.125,0.0,False
27,92292,8,216,-319.75,320.75,0.0,False
28,94809,8,224,-313.625,314.625,0.0,False
29,97268,8,232,-306.375,307.375,0.0,False
30,99336,8,240,-257.5,258.5,0.0,False
31,101668,8,248,-290.5,291.5,0.0,False
32,104050,8,256,-296.75,297.75,0.0,False
33,106297,8,264,-279.875,280.875,0.0,False
34,108689,8,272,-298.125,299.0,0.0,False
35,110714,8,280,-252.125,253.125,0.0,False
36,112752,8,288,-253.75,254.75,0.0,False
37,114627,8,296,-233.375,234.375,0.0,False
38,116665,8,304,-253.75,254.75,0.0,False
39,118699,8,312,-253.25,254.25,0.0,False
40,120667,8,320,-245.0,246.0,0.0,False
41,122608,8,328,-241.75,242.625,0.0,False
42,124642,8,336,-253.25,254.25,0.0,False
43,126693,8,344,-255.5,256.375,0.0,False
44,128539,8,352,-229.75,230.75,0.0,False
45,130062,8,360,-189.375,190.375,0.0,False
46,131980,8,368,-238.75,239.75,0.0,False
47,133465,8,376,-184.625,185.625,0.0,False
48,135045,8,384,-196.5,197.5,0.0,False
49,136610,8,392,-194.625,195.625,0.0,False
50,138622,8,400,-250.625,251.5,0.0,False
51,140968,8,408,-292.5,293.25,0.0,False
52,142459,8,416,-185.375,186.375,0.0,False
53,144109,8,424,-205.25,206.25,0.0,False
54,145511,8,432,-174.25,175.25,0.0,False
55,147177,8,440,-207.25,208.25,0.0,False
56,148967,8,448,-222.75,223.75,0.0,False
57,150454,8,456,-184.875,185.875,0.0,False
58,151778,8,464,-164.5,165.5,0.0,False
59,153084,8,472,-162.25,163.25,0.0,False
60,154334,8,480,-155.25,156.25,0.0,False
61,156045,8,488,-212.875,213.875,0.0,False
62,157495,8,496,-180.25,181.25,0.0,False
63,159112,8,504,-201.125,202.125,0.0,False
64,160281,8,512,-145.125,146.125,0.0,False
65,161972,8,520,-210.375,211.375,0.0,False
66,163308,8,528,-166.0,167.0,0.0,False
67,164689,8,536,-171.625,172.625,0.0,False
68,165944,8,544,-155.875,156.875,0.0,False
69,167348,8,552,-174.5,175.5,0.0,False
70,168757,8,560,-175.125,176.125,0.0,False
71,170074,8,568,-163.625,164.625,0.0,False
72,171223,8,576,-142.625,143.625,0.0,False
73,172437,8,584,-150.75,151.75,0.0,False
74,173848,8,592,-175.375,176.375,0.0,False
75,175215,8,600,-169.875,170.875,0.0,False
76,176778,8,608,-194.5,195.375,0.0,False
77,177902,8,616,-139.5,140.5,0.0,False
78,179122,8,624,-151.5,152.5,0.0,False
79,180350,8,632,-152.5,153.5,0.0,False
80,181565,8,640,-150.875,151.875,0.0,False
81,182724,8,648,-143.875,144.875,0.0,False
82,184026,8,656,-161.75,162.75,0.0,False
83,185426,8,664,-174.0,175.0,0.0,False
84,186720,8,672,-160.75,161.75,0.0,False
85,188004,8,680,-159.5,160.5,0.0,False
86,189258,8,688,-155.75,156.75,0.0,False
87,190254,8,696,-123.5,124.5,0.0,False
88,191325,8,704,-132.875,133.875,0.0,False
89,192361,8,712,-128.5,129.5,0.0,False
90,193336,8,720,-120.875,121.875,0.0,False
91,194578,8,728,-154.25,155.25,0.0,False
92,195884,8,736,-162.25,163.25,0.0,False
93,196889,8,744,-124.625,125.625,0.0,False
94,198009,8,752,-139.0,140.0,0.0,False
95,199135,8,760,-139.75,140.75,0.0,False
96,200213,8,768,-133.75,134.75,0.0,False
97,201205,8,776,-123.0,124.0,0.0,False
98,202319,8,784,-138.25,139.25,0.0,False
99,203475,8,792,-143.5,144.5,0.0,False
100,204495,8,800,-126.5,127.5,0.0,False
101,205541,8,808,-129.75,130.75,0.0,False
102,206879,8,816,-166.375,167.25,0.0,False
103,207993,8,824,-138.25,139.25,0.0,False
104,209204,8,832,-150.375,151.375,0.0,False
105,210302,8,840,-136.25,137.25,0.0,False
106,211440,8,848,-141.25,142.25,0.0,False
107,213298,8,856,-231.25,232.25,0.0,False
108,214493,8,864,-148.375,149.375,0.0,False
109,215691,8,872,-148.75,149.75,0.0,False
110,216737,8,880,-129.75,130.75,0.0,False
111,218207,8,888,-182.75,183.75,0.0,False
112,219200,8,896,-123.125,124.125,0.0,False
113,220374,8,904,-145.75,146.75,0.0,False
114,221451,8,912,-133.625,134.625,0.0,False
115,222878,8,920,-177.5,178.375,0.0,False
116,223876,8,928,-123.75,124.75,0.0,False
117,224857,8,936,-121.625,122.625,0.0,False
118,226164,8,944,-162.375,163.375,0.0,False
119,227135,8,952,-120.375,121.375,0.0,False
120,228216,8,960,-134.125,135.125,0.0,False
121,229355,8,968,-141.375,142.375,0.0,False
122,230316,8,976,-119.125,120.125,0.0,False
123,231566,8,984,-155.25,156.25,0.0,False
124,232542,8,992,-121.0,122.0,0.0,False
125,233600,8,1000,-131.25,132.25,0.0,False
126,234751,8,1008,-142.875,143.875,0.0,False
127,235705,8,1016,-118.25,119.25,0.0,False
128,236768,8,1024,-131.875,132.875,0.0,False
129,237746,8,1032,-121.25,122.25,0.0,False
130,238719,8,1040,-120.625,121.625,0.0,False
131,239714,8,1048,-123.375,124.375,0.0,False
132,240672,8,1056,-118.75,119.75,0.0,False
133,241658,8,1064,-122.25,123.25,0.0,False
134,242620,8,1072,-119.25,120.25,0.0,False
135,243582,8,1080,-119.25,120.25,0.0,False
136,244695,8,1088,-138.125,139.125,0.0,False
137,245671,8,1096,-121.0,122.0,0.0,False
138,246877,8,1104,-149.75,150.75,0.0,False
139,247949,8,1112,-133.0,134.0,0.0,False
140,248850,8,1120,-111.625,112.625,0.0,False
141,249861,8,1128,-125.375,126.375,0.0,False
142,250886,8,1136,-127.125,128.125,0.0,False
143,251845,8,1144,-118.875,119.875,0.0,False
144,252750,8,1152,-112.125,113.125,0.0,False
145,253703,8,1160,-118.125,119.125,0.0,False
146,254672,8,1168,-120.125,121.125,0.0,False
147,255556,8,1176,-109.5,110.5,0.0,False
