update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,385.43426513671875,0.12821729481220245,0.0,nan,False,0.0
1,3111,269.52862548828125,0.1414816826581955,0.0,nan,False,0.0
2,6113,561.6519775390625,0.15527386963367462,0.0,nan,False,0.0
3,8788,122.19879150390625,0.16586337983608246,0.0,nan,False,0.0
4,11669,267.33148193359375,0.17574405670166016,0.0,nan,False,0.0
5,14285,348.4910583496094,0.19473592936992645,0.0,nan,False,0.0
6,16811,247.63841247558594,0.2043534517288208,0.0,nan,False,0.0
7,19162,199.03338623046875,0.20358355343341827,0.0,nan,False,0.0
8,21246,381.75421142578125,0.2101115584373474,0.0,nan,False,0.0
9,23610,434.8877258300781,0.21287508308887482,0.0,nan,False,0.0
10,25942,293.653564453125,0.23009566962718964,0.0,nan,False,0.0
11,27887,319.46807861328125,0.2606227397918701,0.0,nan,False,0.0
12,29754,280.9728088378906,0.27183952927589417,0.0,nan,False,0.0
13,31732,177.99005126953125,0.2725718021392822,0.0,nan,False,0.0
14,33347,251.0491180419922,0.3008820414543152,0.0,nan,False,0.0
15,35198,239.35508728027344,0.3073790967464447,0.0,nan,False,0.0
16,36928,167.94007873535156,0.3176933228969574,0.0,nan,False,0.0
17,38569,159.20050048828125,0.34365350008010864,0.0,nan,False,0.0
18,40207,210.83474731445312,0.3412359952926636,0.0,nan,False,0.0
19,41735,94.92115020751953,0.34236302971839905,0.0,nan,False,0.0
20,43154,237.9501953125,0.3417985141277313,0.0,nan,False,0.0
21,44708,205.6811981201172,0.4014301300048828,0.0,nan,False,0.0
22,46469,144.60348510742188,0.3579702079296112,0.0,nan,False,0.0
23,47985,134.8343505859375,0.37373948097229004,0.0,nan,False,0.0
24,49412,234.74681091308594,0.3673593997955322,0.0,nan,False,0.0
25,50906,165.05039978027344,0.3638564348220825,0.0,nan,False,0.0
26,52304,238.5668182373047,0.411636084318161,0.0,nan,False,0.0
27,53912,145.6400146484375,0.40034669637680054,0.0,nan,False,0.0
28,55609,138.99317932128906,0.3789491057395935,0.0,nan,False,0.0
29,56929,248.94924926757812,0.3891125023365021,0.0,nan,False,0.0
30,58390,138.11947631835938,0.3969535529613495,0.0,nan,False,0.0
31,59838,348.82916259765625,0.4576849639415741,0.0,nan,False,0.0
32,61781,171.4384002685547,0.3923662006855011,0.0,nan,False,0.0
33,63095,219.6829376220703,0.42593374848365784,0.0,nan,False,0.0
34,64584,132.92471313476562,0.41570335626602173,0.0,nan,False,0.0
35,65976,261.35443115234375,0.42872241139411926,0.0,nan,False,0.0
36,67346,157.6107940673828,0.4197583496570587,0.0,nan,False,0.0
37,68713,195.97691345214844,0.43008702993392944,0.0,nan,False,0.0
38,69910,148.98211669921875,0.4526800513267517,0.0,nan,False,0.0
39,71265,222.40846252441406,0.4688873291015625,0.0,nan,False,0.0
40,72549,291.3647766113281,0.557620644569397,0.0,nan,False,0.0
41,74131,244.6855010986328,0.48154911398887634,0.0,nan,False,0.0
42,75498,443.81866455078125,0.5595282316207886,0.0,nan,False,0.0
43,77108,217.02854919433594,0.5104173421859741,0.0,nan,False,0.0
44,78300,177.51637268066406,0.5357159376144409,0.0,nan,False,0.0
45,79719,246.79331970214844,0.5886402726173401,0.0,nan,False,0.0
46,81402,159.18377685546875,0.5266757011413574,0.0,nan,False,0.0
47,82587,182.4911651611328,0.5310073494911194,0.0,nan,False,0.0
48,83725,121.42019653320312,0.5868045687675476,0.0,nan,False,0.0
49,84955,130.210693359375,0.6159805059432983,0.0,nan,False,0.0
50,86334,147.30126953125,0.688014805316925,0.0,nan,False,0.0
51,87655,150.75967407226562,0.600689709186554,0.0,nan,False,0.0
52,88693,113.12450408935547,0.6053003072738647,0.0,nan,False,0.0
53,89786,229.65797424316406,0.7437384724617004,0.0,nan,False,0.0
54,91227,134.12127685546875,0.6606669425964355,0.0,nan,False,0.0
55,92363,167.47251892089844,0.7044847011566162,0.0,nan,False,0.0
56,93549,123.64295959472656,0.6663538813591003,0.0,nan,False,0.0
57,94534,87.71353912353516,0.6623371243476868,0.0,nan,False,0.0
58,95599,126.26994323730469,0.6796330809593201,0.0,nan,False,0.0
59,96654,162.79180908203125,0.6845345497131348,0.0,nan,False,0.0
60,97758,135.7409210205078,0.6852075457572937,0.0,nan,False,0.0
61,98714,242.7929229736328,0.6912761330604553,0.0,nan,False,0.0
62,99878,173.91912841796875,0.7647087574005127,0.0,nan,False,0.0
63,100982,164.62745666503906,0.7320860028266907,0.0,nan,False,0.0
64,101943,160.55970764160156,0.711239755153656,0.0,nan,False,0.0
65,102905,159.40737915039062,0.7335099577903748,0.0,nan,False,0.0
66,103930,208.77870178222656,0.7497368454933167,0.0,nan,False,0.0
67,104926,97.9132308959961,0.7878701090812683,0.0,nan,False,0.0
68,105947,160.7899169921875,0.7452775835990906,0.0,nan,False,0.0
69,106877,99.74879455566406,0.8342494964599609,0.0,nan,False,0.0
70,107891,177.23390197753906,0.8270758986473083,0.0,nan,False,0.0
71,108976,63.90861511230469,0.7638564109802246,0.0,nan,False,0.0
72,109945,230.86045837402344,0.8723205924034119,0.0,nan,False,0.0
73,111314,89.06436920166016,0.7960220575332642,0.0,nan,False,0.0
74,112303,158.7532958984375,0.8217872381210327,0.0,nan,False,0.0
75,113257,110.63833618164062,0.803291916847229,0.0,nan,False,0.0
76,114232,152.9643096923828,0.8396482467651367,0.0,nan,False,0.0
77,115150,69.46886444091797,0.8271178603172302,0.0,nan,False,0.0
78,116032,134.62405395507812,0.9049962162971497,0.0,nan,False,0.0
79,117080,160.1893310546875,0.8684485554695129,0.0,nan,False,0.0
80,118052,81.69171142578125,0.8667449951171875,0.0,nan,False,0.0
81,118931,87.6461410522461,0.9355776309967041,0.0,nan,False,0.0
82,119972,119.75650024414062,0.8885210752487183,0.0,nan,False,0.0
83,120907,169.62942504882812,1.0952136516571045,0.0,nan,False,0.0
84,122307,296.1868591308594,1.0244330167770386,0.0,nan,False,0.0
85,123546,166.15895080566406,0.8767320513725281,0.0,nan,False,0.0
86,124463,113.48706817626953,0.909891664981842,0.0,nan,False,0.0
87,125504,188.07266235351562,0.8784659504890442,0.0,nan,False,0.0
88,126402,124.68986511230469,0.8426713943481445,0.0,nan,False,0.0
89,127353,189.3990020751953,0.9442203640937805,0.0,nan,False,0.0
90,128438,219.3070068359375,0.8501626253128052,0.0,nan,False,0.0
91,129318,147.2452850341797,0.900039553642273,0.0,nan,False,0.0
92,130168,239.6278076171875,0.9377773404121399,0.0,nan,False,0.0
93,131228,123.262939453125,0.9276114106178284,0.0,nan,False,0.0
94,132045,99.69556427001953,0.9558698534965515,0.0,nan,False,0.0
95,132937,131.7505645751953,0.9561676383018494,0.0,nan,False,0.0
96,133888,118.60450744628906,0.9388455748558044,0.0,nan,False,0.0
97,134761,135.24224853515625,0.9525006413459778,0.0,nan,False,0.0
98,135633,146.82420349121094,0.9162135720252991,0.0,nan,False,0.0
99,136533,148.26573181152344,0.9366338849067688,0.0,nan,False,0.0
100,137353,98.67743682861328,1.1985750198364258,0.0,nan,False,0.0
101,139000,175.3245849609375,1.0104584693908691,0.0,nan,False,0.0
102,139996,139.2848663330078,0.9629015326499939,0.0,nan,False,0.0
103,140863,89.03926086425781,0.9610620141029358,0.0,nan,False,0.0
104,141692,152.97677612304688,0.9463053345680237,0.0,nan,False,0.0
105,142601,134.9067840576172,1.0511292219161987,0.0,nan,False,0.0
106,143496,134.83802795410156,1.004489779472351,0.0,nan,False,0.0
107,144436,112.69315338134766,0.9979960322380066,0.0,nan,False,0.0
108,145417,115.98788452148438,1.0297335386276245,0.0,nan,False,0.0
109,146374,93.76377868652344,1.00363290309906,0.0,nan,False,0.0
110,147275,195.09556579589844,0.9275565147399902,0.0,nan,False,0.0
111,148209,169.69873046875,1.1129776239395142,0.0,nan,False,0.0
112,149484,119.02952575683594,1.0312741994857788,0.0,nan,False,0.0
113,150332,181.4189453125,1.0360946655273438,0.0,nan,False,0.0
114,151415,127.31436920166016,1.1335119009017944,0.0,nan,False,0.0
115,152638,157.03819274902344,1.1318848133087158,0.0,nan,False,0.0
116,153844,143.0784454345703,1.0262317657470703,0.0,nan,False,0.0
117,154677,115.50154113769531,1.0590431690216064,0.0,nan,False,0.0
118,155646,97.81513977050781,1.0519169569015503,0.0,nan,False,0.0
119,156453,148.30653381347656,1.0436770915985107,0.0,nan,False,0.0
120,157380,99.41178894042969,1.0525418519973755,0.0,nan,False,0.0
121,158255,130.16635131835938,1.0950194597244263,0.0,nan,False,0.0
