environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,1065,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.068962812423706,0.25852128863334656,0.22441434860229492,-1.127627968788147,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,50,199409,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0969642400741577,0.3158607482910156,0.2670374810695648,-1.1002470254898071,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,100,399346,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0937658548355103,0.30351629853248596,0.2580259442329407,-1.1033899784088135,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,150,599241,-470.1875,-500.0,84.60208092460961,0.0,470.3125,0.125,0.0,1.097388744354248,0.3191990852355957,0.2815268039703369,-1.0998239517211914,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,200,799129,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0900709629058838,0.2921527922153473,0.25388866662979126,-1.1070003509521484,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,249,995129,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.093695878982544,0.30088043212890625,0.24057938158512115,-1.103519320487976,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,1065,250,999129,-500.0,-497.75,0.0,12.727922061357855,500.0,0.0,0.03125,1.093841314315796,0.30076175928115845,0.2400611937046051,-1.1033835411071777,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,251,1003129,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0941927433013916,0.30128052830696106,0.24534793198108673,-1.1030436754226685,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,300,1196581,-500.0,-481.4375,0.0,50.075386716816375,500.0,0.0,0.1875,1.0941269397735596,0.3035988509654999,0.24711233377456665,-1.1030535697937012,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,350,1339650,-320.34375,-181.34375,207.46684295910842,41.45157250217687,320.78125,0.4375,1.0,0.9711030125617981,0.18181279301643372,0.10324402153491974,-1.2333250045776367,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,400,1397938,-93.1875,-112.03125,35.09566419319187,23.356265133101694,94.1875,1.0,1.0,0.7502825856208801,0.10016772150993347,0.035874322056770325,-1.52660071849823,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,450,1444142,-84.15625,-110.28125,17.391338917830296,44.69411044046537,85.15625,1.0,1.0,0.6618233323097229,0.08053143322467804,0.021034173667430878,-1.684071660041809,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,500,1487679,-88.65625,-104.15625,37.20961493415898,26.92176164369635,89.65625,1.0,1.0,0.6324938535690308,0.07635106146335602,0.01680287905037403,-1.7439961433410645,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,550,1529626,-81.90625,-97.4375,12.139935098407586,20.338962291542167,82.90625,1.0,1.0,0.5645291209220886,0.06403379142284393,0.011757936328649521,-1.8892171382904053,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,600,1569342,-82.09375,-94.09375,24.286408484927822,17.24091041492542,83.09375,1.0,1.0,0.5116472244262695,0.05360051617026329,0.00918918289244175,-2.000272750854492,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,650,1608698,-78.375,-88.90625,8.903605648746305,10.547463767915199,79.375,1.0,1.0,0.47786399722099304,0.049641694873571396,0.007094866130501032,-2.0987861156463623,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,700,1646759,-79.46875,-89.0,8.331767325975537,11.695049959208687,80.46875,1.0,1.0,0.43101298809051514,0.04333467409014702,0.005165276117622852,-2.24362850189209,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,750,1685091,-85.25,-93.84375,21.500187546068734,22.344963169185533,86.25,1.0,1.0,0.406896710395813,0.03776317834854126,0.004954637959599495,-2.308382749557495,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,800,1723193,-81.9375,-92.75,8.62830114478866,31.87880274596474,82.9375,1.0,1.0,0.3513472080230713,0.031226016581058502,0.0035318005830049515,-2.482560873031616,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,850,1758897,-87.09375,-92.59375,19.155323314690424,25.127878586503567,88.09375,1.0,1.0,0.33704012632369995,0.030270451679825783,0.0030103500466793776,-2.5448243618011475,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,900,1795848,-80.9375,-87.5625,9.17196816392207,22.555934059362794,81.9375,1.0,1.0,0.33578982949256897,0.030894046649336815,0.002593600656837225,-2.56553053855896,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,950,1833155,-81.34375,-86.5625,15.188300622731024,18.3530563509012,82.34375,1.0,1.0,0.3333183825016022,0.032481513917446136,0.002464664401486516,-2.593702554702759,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,1065,1000,1869409,-89.5,-105.21875,26.616754364558158,79.80570534014915,90.5,1.0,0.96875,0.2990395426750183,0.025379886850714684,0.002586500719189644,-2.6855833530426025,0.0,False
