update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,7672,8,16,-458.625,459.0,546.4135158976487,True
3,11592,8,24,-489.875,490.0,546.4135158976487,True
4,15423,8,32,-478.625,478.875,546.4135158976487,True
5,19062,8,40,-454.625,454.875,546.4135158976487,True
6,23060,8,48,-499.625,499.75,546.4135158976487,True
7,27060,8,56,-500.0,500.0,546.4135158976487,True
8,30933,8,64,-483.875,484.125,546.4135158976487,True
9,34833,8,72,-487.375,487.5,546.4135158976487,True
10,38734,8,80,-487.375,487.625,546.4135158976487,True
11,42610,8,88,-484.375,484.5,546.4135158976487,True
12,46587,8,96,-497.0,497.125,546.4135158976487,True
13,50428,8,104,-479.875,480.125,546.4135158976487,True
14,54428,8,112,-500.0,500.0,546.4135158976487,True
15,58360,8,120,-491.25,491.5,546.4135158976487,True
16,62237,8,128,-484.375,484.625,546.4135158976487,True
17,66133,8,136,-486.75,487.0,546.4135158976487,True
18,70002,8,144,-483.375,483.625,546.4135158976487,True
19,74002,8,152,-500.0,500.0,546.4135158976487,True
20,77943,8,160,-492.5,492.625,546.4135158976487,True
21,81651,8,168,-463.25,463.5,546.4135158976487,True
22,85486,8,176,-479.125,479.375,546.4135158976487,True
23,89352,8,184,-483.125,483.25,546.4135158976487,True
24,93345,8,192,-499.0,499.125,546.4135158976487,True
25,97053,8,200,-463.125,463.5,546.4135158976487,True
26,100977,8,208,-490.375,490.5,546.4135158976487,True
27,104558,8,216,-447.375,447.625,546.4135158976487,True
28,108551,8,224,-499.0,499.125,546.4135158976487,True
29,112533,8,232,-497.5,497.75,546.4135158976487,True
30,116374,8,240,-480.0,480.125,546.4135158976487,True
31,120259,8,248,-485.5,485.625,546.4135158976487,True
32,124256,8,256,-499.5,499.625,546.4135158976487,True
33,128067,8,264,-476.125,476.375,546.4135158976487,True
34,131888,8,272,-477.5,477.625,546.4135158976487,True
35,135723,8,280,-479.125,479.375,546.4135158976487,True
36,139723,8,288,-500.0,500.0,546.4135158976487,True
37,143723,8,296,-500.0,500.0,546.4135158976487,True
38,147723,8,304,-500.0,500.0,546.4135158976487,True
39,151686,8,312,-495.25,495.375,546.4135158976487,True
40,155686,8,320,-500.0,500.0,546.4135158976487,True
41,159686,8,328,-500.0,500.0,546.4135158976487,True
42,163686,8,336,-500.0,500.0,546.4135158976487,True
43,167686,8,344,-500.0,500.0,546.4135158976487,True
44,171666,8,352,-497.375,497.5,546.4135158976487,True
45,175499,8,360,-479.0,479.125,546.4135158976487,True
46,179347,8,368,-480.875,481.0,546.4135158976487,True
47,183317,8,376,-496.125,496.25,546.4135158976487,True
48,187259,8,384,-492.625,492.75,546.4135158976487,True
49,191063,8,392,-475.25,475.5,546.4135158976487,True
50,194997,8,400,-491.625,491.75,546.4135158976487,True
51,198846,8,408,-480.875,481.125,546.4135158976487,True
52,202445,8,416,-449.375,449.875,546.4135158976487,True
53,206110,8,424,-457.625,458.125,546.4135158976487,True
54,209932,8,432,-477.5,477.75,546.4135158976487,True
55,213589,8,440,-456.75,457.125,546.4135158976487,True
56,217537,8,448,-493.25,493.5,546.4135158976487,True
57,221430,8,456,-486.375,486.625,546.4135158976487,True
58,224946,8,464,-438.875,439.5,546.4135158976487,True
59,228769,8,472,-477.75,477.875,546.4135158976487,True
60,232760,8,480,-498.75,498.875,546.4135158976487,True
61,236760,8,488,-500.0,500.0,546.4135158976487,True
62,240433,8,496,-458.875,459.125,546.4135158976487,True
63,244361,8,504,-490.75,491.0,546.4135158976487,True
64,248190,8,512,-478.25,478.625,546.4135158976487,True
65,251791,8,520,-449.75,450.125,546.4135158976487,True
66,255791,8,528,-500.0,500.0,546.4135158976487,True
67,259546,8,536,-469.125,469.375,546.4135158976487,True
68,263373,8,544,-478.125,478.375,546.4135158976487,True
69,267080,8,552,-463.0,463.375,546.4135158976487,True
70,270692,8,560,-451.0,451.5,546.4135158976487,True
71,273973,8,568,-409.5,410.125,546.4135158976487,True
72,277353,8,576,-421.875,422.5,546.4135158976487,True
73,280670,8,584,-414.0,414.625,546.4135158976487,True
74,284063,8,592,-423.5,424.125,546.4135158976487,True
75,287267,8,600,-399.875,400.5,546.4135158976487,True
76,290808,8,608,-442.25,442.625,546.4135158976487,True
77,293883,8,616,-383.375,384.375,546.4135158976487,True
78,297147,8,624,-407.25,408.0,546.4135158976487,True
79,300017,8,632,-357.75,358.75,546.4135158976487,True
80,303288,8,640,-408.25,408.875,546.4135158976487,True
81,306482,8,648,-398.5,399.25,546.4135158976487,True
82,309603,8,656,-389.125,390.125,546.4135158976487,True
83,312148,8,664,-317.125,318.125,546.4135158976487,True
84,315165,8,672,-376.125,377.125,546.4135158976487,True
85,318381,8,680,-401.25,402.0,546.4135158976487,True
86,321082,8,688,-336.625,337.625,546.4135158976487,True
87,324011,8,696,-365.25,366.125,546.4135158976487,True
88,326606,8,704,-323.5,324.375,546.4135158976487,True
89,329083,8,712,-308.625,309.625,546.4135158976487,True
90,331536,8,720,-305.625,306.625,546.4135158976487,True
91,334023,8,728,-310.0,310.875,546.4135158976487,True
92,336233,8,736,-275.25,276.25,546.4135158976487,True
93,338671,8,744,-303.75,304.75,546.4135158976487,True
94,341218,8,752,-317.5,318.375,546.4135158976487,True
95,343496,8,760,-283.75,284.75,546.4135158976487,True
96,345393,8,768,-236.125,237.125,546.4135158976487,True
97,347836,8,776,-304.375,305.375,546.4135158976487,True
98,349703,8,784,-232.375,233.375,546.4135158976487,True
99,351573,8,792,-232.75,233.75,546.4135158976487,True
100,353603,8,800,-252.75,253.75,546.4135158976487,True
101,355516,8,808,-238.125,239.125,546.4135158976487,True
102,357508,8,816,-248.0,249.0,546.4135158976487,True
103,359537,8,824,-252.625,253.625,546.4135158976487,True
104,361543,8,832,-249.75,250.75,546.4135158976487,True
105,363625,8,840,-259.25,260.25,546.4135158976487,True
106,365605,8,848,-246.5,247.5,546.4135158976487,True
107,367668,8,856,-256.875,257.875,546.4135158976487,True
108,369552,8,864,-234.5,235.5,546.4135158976487,True
109,371705,8,872,-268.125,269.125,546.4135158976487,True
110,373698,8,880,-248.125,249.125,546.4135158976487,True
111,375831,8,888,-265.75,266.625,546.4135158976487,True
112,377713,8,896,-234.25,235.25,546.4135158976487,True
113,379547,8,904,-228.25,229.25,546.4135158976487,True
114,381321,8,912,-220.75,221.75,546.4135158976487,True
115,382930,8,920,-200.125,201.125,546.4135158976487,True
116,384829,8,928,-236.375,237.375,546.4135158976487,True
117,386702,8,936,-233.125,234.125,546.4135158976487,True
118,388467,8,944,-219.625,220.625,546.4135158976487,True
119,390152,8,952,-209.625,210.625,546.4135158976487,True
120,392003,8,960,-230.375,231.375,546.4135158976487,True
121,393791,8,968,-222.5,223.5,546.4135158976487,True
122,396035,8,976,-279.625,280.5,546.4135158976487,True
123,398024,8,984,-247.625,248.625,546.4135158976487,True
124,399881,8,992,-231.125,232.125,546.4135158976487,True
125,401679,8,1000,-223.75,224.75,546.4135158976487,True
126,403799,8,1008,-264.0,265.0,546.4135158976487,True
127,405650,8,1016,-230.375,231.375,546.4135158976487,True
128,407421,8,1024,-220.375,221.375,546.4135158976487,True
129,409226,8,1032,-224.625,225.625,546.4135158976487,True
130,410841,8,1040,-200.875,201.875,546.4135158976487,True
131,412498,8,1048,-206.125,207.125,546.4135158976487,True
132,414366,8,1056,-232.5,233.5,546.4135158976487,True
