update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-499.875,500.0,0.0,False
3,12000,8,24,-500.0,500.0,0.0,False
4,15872,8,32,-483.625,484.0,0.0,False
5,19767,8,40,-486.625,486.875,0.0,False
6,23693,8,48,-490.625,490.75,0.0,False
7,27569,8,56,-484.375,484.5,0.0,False
8,31283,8,64,-463.75,464.25,0.0,False
9,34808,8,72,-440.125,440.625,0.0,False
10,38409,8,80,-449.75,450.125,0.0,False
11,41929,8,88,-439.375,440.0,0.0,False
12,45689,8,96,-469.625,470.0,0.0,False
13,48934,8,104,-404.875,405.625,0.0,False
14,52779,8,112,-480.25,480.625,0.0,False
15,56057,8,120,-408.875,409.75,0.0,False
16,59341,8,128,-409.875,410.5,0.0,False
17,62325,8,136,-372.125,373.0,0.0,False
18,65797,8,144,-433.125,434.0,0.0,False
19,69305,8,152,-437.875,438.5,0.0,False
20,72243,8,160,-366.375,367.25,0.0,False
21,75144,8,168,-361.875,362.625,0.0,False
22,78057,8,176,-363.25,364.125,0.0,False
23,80988,8,184,-365.5,366.375,0.0,False
24,83739,8,192,-342.875,343.875,0.0,False
25,86497,8,200,-343.875,344.75,0.0,False
26,88983,8,208,-309.75,310.75,0.0,False
27,91275,8,216,-285.5,286.5,0.0,False
28,93745,8,224,-307.75,308.75,0.0,False
29,96372,8,232,-327.5,328.375,0.0,False
30,98661,8,240,-285.125,286.125,0.0,False
31,101266,8,248,-324.625,325.625,0.0,False
32,103306,8,256,-254.0,255.0,0.0,False
33,106000,8,264,-335.75,336.75,0.0,False
34,108052,8,272,-255.5,256.5,0.0,False
35,110145,8,280,-260.625,261.625,0.0,False
36,112112,8,288,-244.875,245.875,0.0,False
37,114477,8,296,-294.75,295.625,0.0,False
38,116812,8,304,-291.0,291.875,0.0,False
39,119174,8,312,-294.375,295.25,0.0,False
40,121078,8,320,-237.0,238.0,0.0,False
41,123096,8,328,-251.25,252.25,0.0,False
42,125249,8,336,-268.25,269.125,0.0,False
43,127195,8,344,-242.25,243.25,0.0,False
44,129225,8,352,-252.875,253.75,0.0,False
