environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,1112,0,0,-500.0,-499.25,0.0,4.242640687119285,500.0,0.0,0.03125,1.071625828742981,0.2516166567802429,0.2151479423046112,-1.1256563663482666,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,50,200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0736523866653442,0.24230071902275085,0.20922572910785675,-1.1245309114456177,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,100,400000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.049470067024231,0.20125627517700195,0.1726667582988739,-1.1519842147827148,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,150,600000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0660263299942017,0.23018957674503326,0.19631654024124146,-1.1326303482055664,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,200,800000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.065778374671936,0.23919153213500977,0.19419968128204346,-1.1317219734191895,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,250,1000000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0698810815811157,0.2732764482498169,0.1734957993030548,-1.1264557838439941,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,300,1200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.084622859954834,0.2926945090293884,0.19535353779792786,-1.1122698783874512,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,350,1400000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0875078439712524,0.28249701857566833,0.17602144181728363,-1.1098754405975342,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,400,1600000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0800061225891113,0.2612342834472656,0.14775289595127106,-1.1185380220413208,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,450,1800000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0560104846954346,0.2612936496734619,0.13140593469142914,-1.1402924060821533,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,500,2000000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0463347434997559,0.2531706988811493,0.14575491845607758,-1.1496422290802002,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,550,2200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0558459758758545,0.2632128894329071,0.15262240171432495,-1.1401469707489014,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,600,2400000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0611674785614014,0.2617942988872528,0.14861884713172913,-1.1354137659072876,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,650,2600000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0479170083999634,0.2565484046936035,0.15512576699256897,-1.1478240489959717,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,700,2800000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.034486174583435,0.2320130169391632,0.1241462305188179,-1.1627585887908936,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,750,3000000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0749257802963257,0.2682379186153412,0.15007096529006958,-1.1224558353424072,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,800,3200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0785424709320068,0.2752437889575958,0.15100617706775665,-1.1186655759811401,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,850,3400000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0709314346313477,0.25446173548698425,0.15637150406837463,-1.1272039413452148,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,900,3600000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0715559720993042,0.26475274562835693,0.16576407849788666,-1.125599980354309,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,950,3800000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.065963625907898,0.2624683976173401,0.16282737255096436,-1.130717158317566,0.0,False
Acrobot-v1,gpomdp_reward_only,1112,1000,4000000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0689281225204468,0.26223549246788025,0.15056489408016205,-1.1282674074172974,0.0,False
