seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,barrier_active,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
402,logbarrier_handoff_h25,0,0,-500.0,-500.0,500.0,1.0586528778076172,0.22770562767982483,0.20529261231422424,354.033203125,0.2385210394859314,130.33111572265625,True,43,1.5801894276958341,1.2244686593954363e-10,0.8845417479979832,2.0825371807715327,-649.8602022882233,7223882303.649265,146,1.8224040045296177,1.1874961083910142e-10,0.6973953485616339,5.213760903253721,-1857.9895664092019,5872822181.342241
402,logbarrier_handoff_h25,50,199998,-497.53125,-500.0,500.0,1.09373140335083,0.29779481887817383,0.2333838790655136,247.14552307128906,0.05087520182132721,27.798904418945312,True,55,1.7633675917711047,1.0542483256180483e-10,0.9353973606794058,2.156499116062123,-851.3719035533952,8872647344.552654,146,2.0639851336341066,2.0619511670727478e-10,0.7460190042440614,5.254650223852944,-1798.4217606565608,3618024598.046851
402,logbarrier_handoff_h25,100,399998,-500.0,-500.0,500.0,1.094404697418213,0.2982099652290344,0.2662540376186371,127.7820053100586,0.07273464649915695,39.74319839477539,True,55,1.7726675364805387,1.6711086663372912e-10,0.9809388923980625,2.158372264511966,-838.9887195229184,5869988661.767092,146,2.0064369766766625,1.7856952073888031e-10,0.7729907124929116,4.965146570090733,-1873.3806568084417,4328794238.201742
402,logbarrier_handoff_h25,150,599998,-500.0,-500.0,500.0,1.0926846265792847,0.29320451617240906,0.26926878094673157,223.26339721679688,0.07962292432785034,43.507041931152344,True,50,1.5299305512331611,1.1206982493881565e-10,0.8243718545945463,2.1284957239746953,-775.187662821155,7355877061.863984,146,1.7723236192245106,3.1366593314648837e-10,0.6670529412159187,5.032076928207311,-1883.1409932934248,2126634966.4577422
402,logbarrier_handoff_h25,200,799916,-500.0,-500.0,500.0,1.0975738763809204,0.31827178597450256,0.28668108582496643,193.2779998779297,0.023351570591330528,12.759614944458008,True,54,1.5277866951996186,1.3568248834945902e-10,0.8021292698116825,2.1594424596053035,-833.0492227609209,5911811314.5577545,146,1.7587425013849198,2.8261809181092307e-10,0.6580415107863246,4.9390158512292635,-1886.5004639112985,2328377162.8695555
402,logbarrier_handoff_h25,249,995878,-500.0,-500.0,500.0,1.0940483808517456,0.29770150780677795,0.2693760395050049,138.7849578857422,0.06771537661552429,37.00060272216797,True,54,1.5223760788886032,1.1314267604393195e-10,0.7656959746459685,2.187946563256286,-830.6337595642749,6767525759.675844,146,1.7745921431307248,2.9566619535621414e-10,0.6466274948251589,5.022002802392886,-1863.5384309331469,2187018688.5792336
402,logbarrier_handoff_h25,250,999878,-500.0,-500.0,500.0,1.0936838388442993,0.29651543498039246,0.2659001052379608,214.7325439453125,0.07282648980617523,0.0,False,56,1.5223126456824312,1.0054817599563458e-10,0.7673547223267029,2.1874344091576123,-867.2859337117665,7631712009.972399,146,1.7759649160502609,2.9338809524378455e-10,0.6488961760036988,5.021977153112482,-1863.0974375343599,2211733149.7875276
402,logbarrier_handoff_h25,251,1003878,-500.0,-500.0,500.0,1.0933488607406616,0.29540136456489563,0.26840025186538696,346.1512145996094,0.07627063989639282,0.0,False,54,1.5178916900404602,1.0292326092562296e-10,0.7691405461285766,2.1628562518390115,-836.5992321768832,7472951587.536589,146,1.7793136027043432,2.8955221515565786e-10,0.6516890600278286,5.026079029644421,-1861.8602160172309,2250678896.30025
402,logbarrier_handoff_h25,300,1199650,-500.0,-500.0,500.0,1.0776704549789429,0.26259681582450867,0.23644278943538666,263.9327697753906,0.17264871299266815,0.0,False,56,1.5897055686061343,1.0809886957112306e-10,0.8701802198678048,2.187926233597744,-863.3575417746333,8049854945.941636,146,1.8720343138339959,3.2209925929791424e-10,0.7314495831583929,5.099963358063521,-1837.3712722958358,2270882537.118363
402,logbarrier_handoff_h25,350,1399587,-500.0,-500.0,500.0,1.0674676895141602,0.24941611289978027,0.21941792964935303,75.19164276123047,0.21638958156108856,0.0,False,54,1.597127629474167,1.1610371388059872e-10,0.9206733241588367,2.1065849264667924,-837.7187773315618,7929749130.210072,146,1.8247568972882684,2.353515634890231e-10,0.7694049571809043,4.8228559262252055,-1889.3693407148064,3269172916.3583384
