update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,12000,-500.0,500.0,0.0,False
4,16000,-500.0,500.0,0.0,False
5,20000,-500.0,500.0,0.0,False
6,24000,-500.0,500.0,0.0,False
7,28000,-500.0,500.0,0.0,False
8,31967,-495.75,495.875,0.0,False
9,35967,-500.0,500.0,0.0,False
10,39967,-500.0,500.0,0.0,False
11,43967,-500.0,500.0,0.0,False
12,47967,-500.0,500.0,0.0,False
13,51200,-461.85714285714283,461.85714285714283,0.0,False
