update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,341.4416198730469,0.1182648167014122,0.0,nan,False,0.0
1,3945,231.09756469726562,0.11805539578199387,0.0,nan,False,0.0
2,7945,243.1268768310547,0.11460113525390625,0.0,nan,False,0.0
3,11945,254.23866271972656,0.11199668794870377,0.0,nan,False,0.0
4,15945,193.23605346679688,0.11254502832889557,0.0,nan,False,0.0
5,19925,270.88482666015625,0.10915776342153549,0.0,nan,False,0.0
6,23836,286.72613525390625,0.10929366946220398,0.0,nan,False,0.0
7,27704,338.0728759765625,0.10821118205785751,0.0,nan,False,0.0
8,31704,361.3242492675781,0.10592901706695557,0.0,nan,False,0.0
9,35503,204.8097686767578,0.10608433187007904,0.0,nan,False,0.0
10,39340,248.6384735107422,0.1076636090874672,0.0,nan,False,0.0
11,43340,141.12106323242188,0.10393233597278595,0.0,nan,False,0.0
12,47340,223.30938720703125,0.10602696239948273,0.0,nan,False,0.0
