environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,192,0,0,-500.0,-500.0,500.0,1.0845569372177124,0.2699615955352783,0.2031136006116867,-1.1127855777740479,0.0,False
Acrobot-v1,gpomdp_reward_only,192,2,7903,-500.0,-500.0,500.0,1.0860341787338257,0.27368271350860596,0.21147458255290985,-1.111269474029541,0.0,False
Acrobot-v1,gpomdp_reward_only,192,3,11897,-500.0,-500.0,500.0,1.0871903896331787,0.2760399580001831,0.20556262135505676,-1.1101069450378418,0.0,False
Acrobot-v1,gpomdp_reward_only,192,4,15897,-500.0,-500.0,500.0,1.0877519845962524,0.2788102328777313,0.20873968303203583,-1.1095093488693237,0.0,False
Acrobot-v1,gpomdp_reward_only,192,6,23889,-500.0,-448.6666666666667,500.0,1.0878466367721558,0.2809735834598541,0.20577749609947205,-1.1093599796295166,0.0,False
Acrobot-v1,gpomdp_reward_only,192,7,27856,-500.0,-500.0,500.0,1.0880730152130127,0.28244343400001526,0.19578969478607178,-1.1091086864471436,0.0,False
Acrobot-v1,gpomdp_reward_only,192,8,31719,-500.0,-500.0,500.0,1.0875943899154663,0.2835133373737335,0.2120758295059204,-1.1095207929611206,0.0,False
Acrobot-v1,gpomdp_reward_only,192,10,39719,-500.0,-500.0,500.0,1.0892150402069092,0.28677767515182495,0.2048429548740387,-1.1079134941101074,0.0,False
Acrobot-v1,gpomdp_reward_only,192,11,43668,-500.0,-500.0,500.0,1.0885975360870361,0.2859898507595062,0.21083790063858032,-1.1085295677185059,0.0,False
Acrobot-v1,gpomdp_reward_only,192,12,47668,-500.0,-500.0,500.0,1.0876679420471191,0.2860487997531891,0.22602790594100952,-1.1093919277191162,0.0,False
Acrobot-v1,gpomdp_reward_only,192,13,51200,-500.0,-500.0,500.0,1.0869137048721313,0.28580984473228455,0.19807417690753937,-1.1101360321044922,0.0,False
