environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,2,7677,-500.0,-468.0,500.0,1.0583664178848267,0.21035946905612946,0.18237453699111938,-1.142450213432312,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,3,11620,-500.0,-456.3333333333333,500.0,1.0592604875564575,0.21145237982273102,0.18115337193012238,-1.1416124105453491,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,4,15370,-372.3333333333333,-448.3333333333333,372.6666666666667,1.0582414865493774,0.209354966878891,0.18620918691158295,-1.1426447629928589,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,6,22955,-500.0,-447.0,500.0,1.0589944124221802,0.20981094241142273,0.1834133416414261,-1.1419670581817627,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,7,26878,-373.0,-468.3333333333333,373.3333333333333,1.0595004558563232,0.2126777172088623,0.18160350620746613,-1.1412001848220825,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,8,30776,-500.0,-491.0,500.0,1.0591557025909424,0.21093617379665375,0.18466883897781372,-1.141543984413147,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,10,38240,-500.0,-424.0,500.0,1.0578256845474243,0.21067892014980316,0.18069592118263245,-1.1427854299545288,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,11,42170,-500.0,-454.6666666666667,500.0,1.0588009357452393,0.2104179859161377,0.18426339328289032,-1.1420128345489502,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,12,46170,-500.0,-498.3333333333333,500.0,1.0583051443099976,0.20982642471790314,0.18233326077461243,-1.1425479650497437,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,14,51200,-375.6666666666667,-453.3333333333333,376.0,1.059145450592041,0.21192266047000885,0.183991476893425,-1.1415576934814453,0.0,False
