update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,409.9689025878906,0.22345766425132751,103.83391571044922,0.5391395688056946,True,0.0
1,3959,430.6202392578125,0.21708011627197266,101.54712677001953,-0.47651880979537964,True,0.0
2,7677,244.5262908935547,0.22150085866451263,103.35499572753906,0.7837661504745483,True,0.0
3,11620,298.2145080566406,0.22001340985298157,102.87996673583984,-0.12262360006570816,True,0.0
4,15370,259.44183349609375,0.2155008316040039,101.26778411865234,-0.603569507598877,True,0.0
5,19147,164.36410522460938,0.21778298914432526,101.9955062866211,-0.2756095230579376,True,0.0
6,22955,430.5923767089844,0.22051063179969788,103.14136505126953,-0.7971046566963196,True,0.0
7,26878,322.10302734375,0.22017760574817657,103.22856903076172,-0.7777580618858337,True,0.0
8,30776,372.14892578125,0.2165556102991104,101.93633270263672,-0.672315776348114,True,0.0
9,34284,96.59968566894531,0.22473585605621338,104.7914810180664,-0.44006648659706116,True,0.0
10,38240,240.6148223876953,0.21738669276237488,101.90107727050781,0.6647727489471436,True,0.0
11,42170,141.09466552734375,0.22282980382442474,104.08517456054688,-0.12194544821977615,True,0.0
12,46170,198.6387481689453,0.22217926383018494,103.6952896118164,0.5209196209907532,True,0.0
13,50026,362.4720153808594,0.22994112968444824,107.32369995117188,-0.12207344174385071,True,0.0
