environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,2,7677,-500.0,-468.0,500.0,1.0583781003952026,0.21037854254245758,0.18239182233810425,-1.1424362659454346,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,3,11620,-500.0,-456.3333333333333,500.0,1.059281349182129,0.21148709952831268,0.1811879724264145,-1.1415873765945435,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,4,15370,-372.3333333333333,-448.3333333333333,372.6666666666667,1.0582764148712158,0.20941273868083954,0.18626882135868073,-1.1426029205322266,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,6,22955,-500.0,-447.0,500.0,1.0590686798095703,0.2099294811487198,0.18351998925209045,-1.1418790817260742,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,7,26878,-373.0,-468.3333333333333,373.3333333333333,1.0595893859863281,0.2128225862979889,0.1817488670349121,-1.1410948038101196,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,8,30776,-500.0,-491.0,500.0,1.059272289276123,0.21112236380577087,0.1848701685667038,-1.1414062976837158,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,10,38240,-500.0,-424.0,500.0,1.057977318763733,0.2109285444021225,0.1809464991092682,-1.1426047086715698,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,11,42170,-500.0,-454.6666666666667,500.0,1.0589817762374878,0.2107115536928177,0.18455137312412262,-1.1417980194091797,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,12,46097,-500.0,-498.3333333333333,500.0,1.058510184288025,0.21016111969947815,0.18265286087989807,-1.1423031091690063,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,14,51200,-386.6666666666667,-466.6666666666667,387.0,1.0599875450134277,0.2130415290594101,0.1825895756483078,-1.1406093835830688,555.232544854984,True
