update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3959,-494.75,494.875,555.232544854984,True
2,7677,-464.375,464.75,555.232544854984,True
3,11620,-492.75,492.875,555.232544854984,True
4,15370,-468.25,468.75,555.232544854984,True
5,19147,-471.875,472.125,555.232544854984,True
6,22955,-475.75,476.0,555.232544854984,True
7,26878,-490.125,490.375,555.232544854984,True
8,30776,-487.0,487.25,555.232544854984,True
9,34284,-438.125,438.5,555.232544854984,True
10,38240,-494.375,494.5,555.232544854984,True
11,42170,-491.125,491.25,555.232544854984,True
12,46097,-490.75,490.875,555.232544854984,True
13,49985,-485.875,486.0,555.232544854984,True
14,51200,-81.0,81.0,555.232544854984,True
