environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,202,0,0,-500.0,-500.0,500.0,1.0826302766799927,0.25446629524230957,0.21647129952907562,-1.1152971982955933,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,2,8000,-500.0,-500.0,500.0,1.08175790309906,0.2538745105266571,0.21575237810611725,-1.1161538362503052,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,3,12000,-500.0,-500.0,500.0,1.082923173904419,0.25679025053977966,0.2174995094537735,-1.1148890256881714,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,4,16000,-500.0,-500.0,500.0,1.08360755443573,0.2567112147808075,0.22998331487178802,-1.1142606735229492,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,4,16000,-500.0,-500.0,500.0,1.08360755443573,0.2567112147808075,0.22998331487178802,-1.1142606735229492,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,6,23955,-500.0,-500.0,500.0,1.0813791751861572,0.25295543670654297,0.21505393087863922,-1.1165680885314941,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,7,27955,-500.0,-500.0,500.0,1.0841481685638428,0.2577969431877136,0.2283436805009842,-1.1136902570724487,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,8,31955,-500.0,-500.0,500.0,1.0832687616348267,0.25609368085861206,0.22364379465579987,-1.1146076917648315,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,9,35955,-500.0,-500.0,500.0,1.083749532699585,0.25680485367774963,0.22742421925067902,-1.1141239404678345,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,11,43955,-500.0,-500.0,500.0,1.0835953950881958,0.25637778639793396,0.22306925058364868,-1.1142934560775757,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,12,47955,-500.0,-500.0,500.0,1.084721326828003,0.2590302526950836,0.23306910693645477,-1.1130902767181396,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,13,51200,-500.0,-500.0,500.0,1.0825968980789185,0.2556144893169403,0.21374544501304626,-1.115271806716919,0.0,False
