environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,0.0,False
Acrobot-v1,gpomdp_reward_only,201,2,7677,-500.0,-468.0,500.0,1.0581938028335571,0.21010373532772064,0.18219706416130066,-1.1426475048065186,0.0,False
Acrobot-v1,gpomdp_reward_only,201,3,11620,-500.0,-456.3333333333333,500.0,1.0590229034423828,0.21112829446792603,0.18083296716213226,-1.141882300376892,0.0,False
Acrobot-v1,gpomdp_reward_only,201,4,15495,-372.3333333333333,-489.0,372.6666666666667,1.0579601526260376,0.20919768512248993,0.18478943407535553,-1.1429104804992676,0.0,False
Acrobot-v1,gpomdp_reward_only,201,6,23185,-500.0,-476.6666666666667,500.0,1.0582436323165894,0.21012333035469055,0.1821872889995575,-1.142628788948059,0.0,False
Acrobot-v1,gpomdp_reward_only,201,7,26944,-249.66666666666666,-469.3333333333333,250.33333333333334,1.0582939386367798,0.2103670835494995,0.18280574679374695,-1.1425496339797974,0.0,False
Acrobot-v1,gpomdp_reward_only,201,8,30737,-500.0,-491.0,500.0,1.058393120765686,0.20976725220680237,0.1836702972650528,-1.1424373388290405,0.0,False
Acrobot-v1,gpomdp_reward_only,201,10,38242,-500.0,-465.0,500.0,1.0577162504196167,0.20976673066616058,0.17978070676326752,-1.1431058645248413,0.0,False
Acrobot-v1,gpomdp_reward_only,201,11,42094,-500.0,-454.6666666666667,500.0,1.0576940774917603,0.20867405831813812,0.18218423426151276,-1.1433303356170654,0.0,False
Acrobot-v1,gpomdp_reward_only,201,13,49442,-500.0,-431.3333333333333,500.0,1.0570528507232666,0.20885828137397766,0.18054339289665222,-1.1438713073730469,0.0,False
Acrobot-v1,gpomdp_reward_only,201,14,51200,-386.6666666666667,-466.6666666666667,387.0,1.058329463005066,0.2095782607793808,0.18146920204162598,-1.1427128314971924,0.0,False
