update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,409.9689025878906,0.22345766425132751,0.0,nan,False,0.0
1,3959,412.4651184082031,0.2171553075313568,0.0,nan,False,0.0
2,7677,249.66085815429688,0.22256618738174438,0.0,nan,False,0.0
3,11620,216.73724365234375,0.21901753544807434,0.0,nan,False,0.0
4,15495,272.76910400390625,0.21759958565235138,0.0,nan,False,0.0
5,19217,165.0244903564453,0.21677017211914062,0.0,nan,False,0.0
6,23185,257.8218688964844,0.22069598734378815,0.0,nan,False,0.0
7,26944,278.9988098144531,0.22225971519947052,0.0,nan,False,0.0
8,30737,247.89627075195312,0.2193940281867981,0.0,nan,False,0.0
9,34242,168.69412231445312,0.22543272376060486,0.0,nan,False,0.0
10,38242,234.3228302001953,0.2237473726272583,0.0,nan,False,0.0
11,42094,184.34490966796875,0.22064223885536194,0.0,nan,False,0.0
12,45798,254.99305725097656,0.2228141725063324,0.0,nan,False,0.0
13,49442,361.4432678222656,0.22847893834114075,0.0,nan,False,0.0
