update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3847,-480.625,480.875,0.0,False
2,7847,-500.0,500.0,0.0,False
3,11801,-494.125,494.25,0.0,False
4,15707,-488.125,488.25,0.0,False
5,19707,-500.0,500.0,0.0,False
6,23707,-500.0,500.0,0.0,False
7,27598,-486.25,486.375,0.0,False
8,31598,-500.0,500.0,0.0,False
9,35506,-488.375,488.5,0.0,False
10,39506,-500.0,500.0,0.0,False
11,43482,-496.875,497.0,0.0,False
12,47398,-489.375,489.5,0.0,False
13,51200,-475.25,475.25,0.0,False
