update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,1024,-341.3333333333333,341.3333333333333,0.0,False
2,2048,-341.3333333333333,341.3333333333333,0.0,False
3,3072,-341.3333333333333,341.3333333333333,0.0,False
4,4096,-341.3333333333333,341.3333333333333,0.0,False
5,5120,-341.3333333333333,341.3333333333333,0.0,False
6,6144,-341.3333333333333,341.3333333333333,0.0,False
7,7168,-341.3333333333333,341.3333333333333,0.0,False
8,8192,-341.3333333333333,341.3333333333333,0.0,False
9,9216,-341.3333333333333,341.3333333333333,0.0,False
10,10240,-341.3333333333333,341.3333333333333,0.0,False
11,11264,-341.3333333333333,341.3333333333333,0.0,False
12,12288,-341.3333333333333,341.3333333333333,0.0,False
13,13312,-341.3333333333333,341.3333333333333,0.0,False
14,14336,-341.3333333333333,341.3333333333333,0.0,False
15,15360,-341.3333333333333,341.3333333333333,0.0,False
16,16384,-341.3333333333333,341.3333333333333,0.0,False
17,17408,-341.3333333333333,341.3333333333333,0.0,False
18,18432,-341.3333333333333,341.3333333333333,0.0,False
19,19456,-341.3333333333333,341.3333333333333,0.0,False
20,20480,-341.3333333333333,341.3333333333333,0.0,False
21,21504,-341.3333333333333,341.3333333333333,0.0,False
22,22528,-341.3333333333333,341.3333333333333,0.0,False
23,23552,-341.3333333333333,341.3333333333333,0.0,False
24,24576,-341.3333333333333,341.3333333333333,0.0,False
25,25600,-341.3333333333333,341.3333333333333,0.0,False
26,26624,-341.3333333333333,341.3333333333333,0.0,False
27,27648,-341.3333333333333,341.3333333333333,0.0,False
28,28672,-341.3333333333333,341.3333333333333,0.0,False
29,29696,-341.3333333333333,341.3333333333333,0.0,False
30,30720,-341.3333333333333,341.3333333333333,0.0,False
31,31744,-341.3333333333333,341.3333333333333,0.0,False
32,32768,-341.3333333333333,341.3333333333333,0.0,False
33,33792,-341.3333333333333,341.3333333333333,0.0,False
34,34816,-341.3333333333333,341.3333333333333,0.0,False
35,35840,-341.3333333333333,341.3333333333333,0.0,False
36,36864,-341.3333333333333,341.3333333333333,0.0,False
37,37888,-341.3333333333333,341.3333333333333,0.0,False
38,38912,-341.3333333333333,341.3333333333333,0.0,False
39,39936,-341.3333333333333,341.3333333333333,0.0,False
40,40960,-341.3333333333333,341.3333333333333,0.0,False
41,41984,-341.3333333333333,341.3333333333333,0.0,False
42,43008,-341.3333333333333,341.3333333333333,0.0,False
43,44032,-341.3333333333333,341.3333333333333,0.0,False
44,45056,-341.3333333333333,341.3333333333333,0.0,False
45,46080,-341.3333333333333,341.3333333333333,0.0,False
46,47104,-341.3333333333333,341.3333333333333,0.0,False
47,48128,-341.3333333333333,341.3333333333333,0.0,False
48,49152,-341.3333333333333,341.3333333333333,0.0,False
49,50176,-341.3333333333333,341.3333333333333,0.0,False
50,51200,-341.3333333333333,341.3333333333333,0.0,False
