environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,192,0,0,-500.0,-500.0,500.0,1.0845569372177124,0.2699615955352783,0.2031136006116867,-1.1127855777740479,0.0,False
Acrobot-v1,gpomdp_reward_only,192,5,5120,-500.0,-500.0,500.0,1.082250952720642,0.2716069221496582,0.20837388932704926,-1.1148626804351807,0.0,False
Acrobot-v1,gpomdp_reward_only,192,10,10240,-500.0,-500.0,500.0,1.0863828659057617,0.2836073935031891,0.19247092306613922,-1.110689640045166,0.0,False
Acrobot-v1,gpomdp_reward_only,192,15,15360,-500.0,-500.0,500.0,1.0891261100769043,0.29131510853767395,0.21601776778697968,-1.107959270477295,0.0,False
Acrobot-v1,gpomdp_reward_only,192,20,20480,-500.0,-500.0,500.0,1.08991539478302,0.2945365309715271,0.19585154950618744,-1.1072216033935547,0.0,False
Acrobot-v1,gpomdp_reward_only,192,25,25600,-500.0,-500.0,500.0,1.0907105207443237,0.29731428623199463,0.17845575511455536,-1.1065423488616943,0.0,False
Acrobot-v1,gpomdp_reward_only,192,30,30720,-500.0,-500.0,500.0,1.092433214187622,0.3024919927120209,0.19885726273059845,-1.1048470735549927,0.0,False
Acrobot-v1,gpomdp_reward_only,192,35,35840,-500.0,-492.3333333333333,500.0,1.0899990797042847,0.2953948378562927,0.17987610399723053,-1.1072598695755005,0.0,False
Acrobot-v1,gpomdp_reward_only,192,40,40960,-500.0,-500.0,500.0,1.0896351337432861,0.2949069142341614,0.1885567158460617,-1.1075924634933472,0.0,False
Acrobot-v1,gpomdp_reward_only,192,45,46080,-500.0,-500.0,500.0,1.0856281518936157,0.2865326404571533,0.17008061707019806,-1.111688494682312,0.0,False
Acrobot-v1,gpomdp_reward_only,192,50,51200,-500.0,-500.0,500.0,1.0882235765457153,0.2912319302558899,0.1708129346370697,-1.1090947389602661,0.0,False
