environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,5,5120,-500.0,-500.0,500.0,1.059272289276123,0.21240165829658508,0.18088191747665405,-1.141370177268982,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,10,10240,-500.0,-424.0,500.0,1.0582590103149414,0.21152521669864655,0.17910346388816833,-1.1423146724700928,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,15,15360,-500.0,-458.6666666666667,500.0,1.0592467784881592,0.21254609525203705,0.1835191249847412,-1.1412451267242432,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,20,20480,-500.0,-451.6666666666667,500.0,1.060004711151123,0.21452723443508148,0.1832299828529358,-1.140321969985962,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,25,25600,-500.0,-500.0,500.0,1.0606189966201782,0.2130061835050583,0.1881314218044281,-1.139845848083496,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,30,30720,-500.0,-500.0,500.0,1.0608813762664795,0.2133895456790924,0.18504031002521515,-1.1395407915115356,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,35,35840,-500.0,-481.6666666666667,500.0,1.0610926151275635,0.2155979722738266,0.18682977557182312,-1.1391221284866333,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,40,40960,-500.0,-500.0,500.0,1.0616377592086792,0.21618907153606415,0.1854977309703827,-1.1385869979858398,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,45,46080,-500.0,-485.0,500.0,1.059962272644043,0.21691837906837463,0.18514248728752136,-1.1398844718933105,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,50,51200,-500.0,-500.0,500.0,1.0619598627090454,0.21638979017734528,0.18812258541584015,-1.1382490396499634,0.0,False
