environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,5,5120,-500.0,-500.0,500.0,1.0593640804290771,0.21255190670490265,0.1810426265001297,-1.1412606239318848,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,10,10240,-500.0,-424.0,500.0,1.0584310293197632,0.2118108719587326,0.17943286895751953,-1.1421095132827759,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,15,15360,-500.0,-457.3333333333333,500.0,1.0601063966751099,0.21227985620498657,0.18220201134681702,-1.140531301498413,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,20,20480,-500.0,-451.6666666666667,500.0,1.0603370666503906,0.21525703370571136,0.18377144634723663,-1.1399122476577759,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,25,25600,-500.0,-500.0,500.0,1.0610811710357666,0.21365973353385925,0.1888751983642578,-1.139326572418213,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,30,30720,-500.0,-500.0,500.0,1.0612366199493408,0.21516597270965576,0.18579696118831635,-1.138976812362671,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,35,35840,-500.0,-481.6666666666667,500.0,1.0617250204086304,0.21660158038139343,0.18779657781124115,-1.1383931636810303,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,40,40960,-500.0,-500.0,500.0,1.062240719795227,0.21719419956207275,0.18673191964626312,-1.1378707885742188,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,45,46080,-500.0,-485.0,500.0,1.0605727434158325,0.21824316680431366,0.1865386962890625,-1.1391047239303589,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,201,50,51200,-500.0,-481.6666666666667,500.0,1.0627672672271729,0.21836695075035095,0.1890973448753357,-1.1372405290603638,1497.2774189066486,True
