update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,1294.2003173828125,0.22349780797958374,334.63818359375,-0.43436044454574585,True,1497.2774189066486
1,1024,1712.66748046875,0.22735875844955444,340.4191589355469,0.39166438579559326,True,1497.2774189066486
2,2048,686.5972900390625,0.21825583279132843,326.7895202636719,-0.06128391996026039,True,1497.2774189066486
3,3072,659.133056640625,0.2205614149570465,330.24163818359375,-0.5336610078811646,True,1497.2774189066486
4,4096,783.3475341796875,0.22207432985305786,332.50689697265625,0.13853435218334198,True,1497.2774189066486
5,5120,786.9528198242188,0.21736739575862885,325.45928955078125,0.5601292252540588,True,1497.2774189066486
6,6144,763.2459716796875,0.22640036046504974,338.9841613769531,-0.8787938952445984,True,1497.2774189066486
7,7168,1428.5704345703125,0.22680220007896423,339.5857849121094,0.5757057070732117,True,1497.2774189066486
8,8192,1021.6867065429688,0.22436629235744476,335.9385986328125,0.4675130248069763,True,1497.2774189066486
9,9216,1069.3533935546875,0.23127204179763794,346.2784423828125,0.1960691660642624,True,1497.2774189066486
10,10240,391.81329345703125,0.22171233594417572,331.9648742675781,0.4734087884426117,True,1497.2774189066486
11,11264,821.4966430664062,0.2216283082962036,331.83905029296875,0.340515673160553,True,1497.2774189066486
12,12288,647.4237060546875,0.2148158848285675,321.6390075683594,0.5617139935493469,True,1497.2774189066486
13,13312,1742.686767578125,0.21246682107448578,318.1217956542969,-0.04475652426481247,True,1497.2774189066486
14,14336,356.987060546875,0.22253048419952393,333.18988037109375,0.36282750964164734,True,1497.2774189066486
15,15360,490.5860290527344,0.21789705753326416,326.2523498535156,-0.2719510495662689,True,1497.2774189066486
16,16384,520.24462890625,0.21246421337127686,318.1178283691406,-0.43921321630477905,True,1497.2774189066486
17,17408,981.4906005859375,0.21162067353725433,316.8548583984375,-0.4659878611564636,True,1497.2774189066486
18,18432,2052.291015625,0.21704761683940887,324.98052978515625,-0.09197057038545609,True,1497.2774189066486
19,19456,1731.721923828125,0.20792952179908752,311.32818603515625,0.6425806283950806,True,1497.2774189066486
20,20480,781.1414794921875,0.21391184628009796,320.285400390625,-0.04048172011971474,True,1497.2774189066486
21,21504,1147.0020751953125,0.21471749246120453,321.49163818359375,-0.8885396122932434,True,1497.2774189066486
22,22528,937.7689208984375,0.20919200778007507,313.2184753417969,-0.027474641799926758,True,1497.2774189066486
23,23552,881.7105712890625,0.2110523134469986,316.0038757324219,-0.40926867723464966,True,1497.2774189066486
24,24576,1046.375,0.2201436161994934,329.6160583496094,-0.7914871573448181,True,1497.2774189066486
25,25600,811.2180786132812,0.2164245843887329,324.0476379394531,-0.6012759208679199,True,1497.2774189066486
26,26624,1188.4498291015625,0.2149285078048706,321.8076477050781,0.03138360381126404,True,1497.2774189066486
27,27648,921.9215698242188,0.2064930945634842,309.177490234375,0.6265918016433716,True,1497.2774189066486
28,28672,1017.4032592773438,0.202853724360466,303.7283020019531,-0.3704513609409332,True,1497.2774189066486
29,29696,893.9415283203125,0.21519620716571808,322.20843505859375,-0.6659621596336365,True,1497.2774189066486
30,30720,597.2218017578125,0.2141156643629074,320.5905456542969,-0.7701255679130554,True,1497.2774189066486
31,31744,1387.8848876953125,0.210509791970253,315.19158935546875,0.30542778968811035,True,1497.2774189066486
32,32768,635.0908813476562,0.2134806513786316,319.6398010253906,-0.24348440766334534,True,1497.2774189066486
33,33792,1008.260009765625,0.2094062864780426,313.539306640625,0.30431127548217773,True,1497.2774189066486
34,34816,1059.6419677734375,0.2025265395641327,303.2384338378906,-0.505742073059082,True,1497.2774189066486
35,35840,513.0621337890625,0.20655468106269836,309.2696533203125,-0.38501685857772827,True,1497.2774189066486
36,36864,800.3020629882812,0.20935986936092377,313.4698181152344,-0.11327354609966278,True,1497.2774189066486
37,37888,740.53125,0.20493412017822266,306.8432312011719,0.6546057462692261,True,1497.2774189066486
38,38912,962.8901977539062,0.20944923162460327,313.6036071777344,-0.288137823343277,True,1497.2774189066486
39,39936,757.2608642578125,0.21408939361572266,320.55120849609375,0.5947072505950928,True,1497.2774189066486
40,40960,1626.7674560546875,0.20831605792045593,311.90692138671875,-0.21169887483119965,True,1497.2774189066486
41,41984,678.0941772460938,0.20786233246326447,311.2275695800781,0.5619752407073975,True,1497.2774189066486
42,43008,535.7234497070312,0.20642931759357452,309.08197021484375,0.7731546759605408,True,1497.2774189066486
43,44032,1295.727294921875,0.20550280809402466,307.69476318359375,-0.7700731754302979,True,1497.2774189066486
44,45056,1178.2684326171875,0.20985350012779236,314.20892333984375,-0.11856972426176071,True,1497.2774189066486
45,46080,1135.176513671875,0.20889407396316528,312.77239990234375,-0.13330191373825073,True,1497.2774189066486
46,47104,1602.5281982421875,0.2051384449005127,307.1492004394531,-0.8788279891014099,True,1497.2774189066486
47,48128,1336.4957275390625,0.2072727233171463,310.34478759765625,0.11202451586723328,True,1497.2774189066486
48,49152,2329.3232421875,0.20784717798233032,311.2049255371094,-0.8351287841796875,True,1497.2774189066486
49,50176,788.1690673828125,0.2068469226360321,309.707275390625,0.8616311550140381,True,1497.2774189066486
