update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,1024,-341.3333333333333,341.3333333333333,1497.2774189066486,True
2,2048,-341.3333333333333,341.3333333333333,1497.2774189066486,True
3,3072,-341.3333333333333,341.3333333333333,1497.2774189066486,True
4,4096,-341.0,341.3333333333333,1497.2774189066486,True
5,5120,-341.3333333333333,341.3333333333333,1497.2774189066486,True
6,6144,-341.3333333333333,341.3333333333333,1497.2774189066486,True
7,7168,-341.0,341.3333333333333,1497.2774189066486,True
8,8192,-341.3333333333333,341.3333333333333,1497.2774189066486,True
9,9216,-341.3333333333333,341.3333333333333,1497.2774189066486,True
10,10240,-341.3333333333333,341.3333333333333,1497.2774189066486,True
11,11264,-341.0,341.3333333333333,1497.2774189066486,True
12,12288,-341.3333333333333,341.3333333333333,1497.2774189066486,True
13,13312,-341.3333333333333,341.3333333333333,1497.2774189066486,True
14,14336,-341.3333333333333,341.3333333333333,1497.2774189066486,True
15,15360,-340.6666666666667,341.3333333333333,1497.2774189066486,True
16,16384,-341.3333333333333,341.3333333333333,1497.2774189066486,True
17,17408,-341.3333333333333,341.3333333333333,1497.2774189066486,True
18,18432,-341.3333333333333,341.3333333333333,1497.2774189066486,True
19,19456,-341.3333333333333,341.3333333333333,1497.2774189066486,True
20,20480,-340.6666666666667,341.3333333333333,1497.2774189066486,True
21,21504,-341.0,341.3333333333333,1497.2774189066486,True
22,22528,-341.3333333333333,341.3333333333333,1497.2774189066486,True
23,23552,-341.3333333333333,341.3333333333333,1497.2774189066486,True
24,24576,-341.0,341.3333333333333,1497.2774189066486,True
25,25600,-341.0,341.3333333333333,1497.2774189066486,True
26,26624,-341.3333333333333,341.3333333333333,1497.2774189066486,True
27,27648,-341.0,341.3333333333333,1497.2774189066486,True
28,28672,-341.0,341.3333333333333,1497.2774189066486,True
29,29696,-341.3333333333333,341.3333333333333,1497.2774189066486,True
30,30720,-341.0,341.3333333333333,1497.2774189066486,True
31,31744,-341.3333333333333,341.3333333333333,1497.2774189066486,True
32,32768,-341.3333333333333,341.3333333333333,1497.2774189066486,True
33,33792,-341.3333333333333,341.3333333333333,1497.2774189066486,True
34,34816,-341.3333333333333,341.3333333333333,1497.2774189066486,True
35,35840,-341.0,341.3333333333333,1497.2774189066486,True
36,36864,-341.3333333333333,341.3333333333333,1497.2774189066486,True
37,37888,-341.0,341.3333333333333,1497.2774189066486,True
38,38912,-341.3333333333333,341.3333333333333,1497.2774189066486,True
39,39936,-341.0,341.3333333333333,1497.2774189066486,True
40,40960,-341.3333333333333,341.3333333333333,1497.2774189066486,True
41,41984,-341.3333333333333,341.3333333333333,1497.2774189066486,True
42,43008,-341.0,341.3333333333333,1497.2774189066486,True
43,44032,-341.0,341.3333333333333,1497.2774189066486,True
44,45056,-341.0,341.3333333333333,1497.2774189066486,True
45,46080,-341.3333333333333,341.3333333333333,1497.2774189066486,True
46,47104,-341.3333333333333,341.3333333333333,1497.2774189066486,True
47,48128,-341.3333333333333,341.3333333333333,1497.2774189066486,True
48,49152,-341.3333333333333,341.3333333333333,1497.2774189066486,True
49,50176,-341.3333333333333,341.3333333333333,1497.2774189066486,True
50,51200,-341.3333333333333,341.3333333333333,1497.2774189066486,True
