environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,201,0,0,-500.0,-414.6666666666667,500.0,1.0583902597427368,0.2099740356206894,0.18140076100826263,-1.142549753189087,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,5,5120,-500.0,-422.3333333333333,500.0,1.0583337545394897,0.21218769252300262,0.18432679772377014,-1.1421154737472534,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,10,10240,-500.0,-439.6666666666667,500.0,1.0608574151992798,0.21414951980113983,0.18584217131137848,-1.1395447254180908,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,15,15360,-500.0,-500.0,500.0,1.0628231763839722,0.21708624064922333,0.18636876344680786,-1.1373372077941895,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,20,20480,-500.0,-500.0,500.0,1.0646718740463257,0.21896037459373474,0.19353243708610535,-1.135408878326416,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,25,25600,-500.0,-500.0,500.0,1.0654751062393188,0.22058477997779846,0.19294224679470062,-1.1343556642532349,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,30,30720,-500.0,-500.0,500.0,1.0667833089828491,0.22361090779304504,0.19146482646465302,-1.1328294277191162,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,35,35840,-500.0,-500.0,500.0,1.068009376525879,0.2257278710603714,0.1946430802345276,-1.1314371824264526,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,40,40960,-500.0,-500.0,500.0,1.0696322917938232,0.22813834249973297,0.2000342756509781,-1.1296318769454956,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,45,46080,-500.0,-500.0,500.0,1.0696648359298706,0.23100122809410095,0.19593782722949982,-1.1293178796768188,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,201,50,51200,-500.0,-470.6666666666667,500.0,1.0722522735595703,0.23231461644172668,0.19734926521778107,-1.126781940460205,0.0,False
