update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,1024,-64.0,64.0,0.0,False
2,2048,-64.0,64.0,0.0,False
3,3072,-64.0,64.0,0.0,False
4,4096,-64.0,64.0,0.0,False
5,5120,-64.0,64.0,0.0,False
6,6144,-64.0,64.0,0.0,False
7,7168,-64.0,64.0,0.0,False
8,8192,-64.0,64.0,0.0,False
9,9216,-64.0,64.0,0.0,False
10,10240,-64.0,64.0,0.0,False
11,11264,-64.0,64.0,0.0,False
12,12288,-64.0,64.0,0.0,False
13,13312,-64.0,64.0,0.0,False
14,14336,-64.0,64.0,0.0,False
15,15360,-64.0,64.0,0.0,False
16,16384,-64.0,64.0,0.0,False
17,17408,-64.0,64.0,0.0,False
18,18432,-64.0,64.0,0.0,False
19,19456,-64.0,64.0,0.0,False
20,20480,-64.0,64.0,0.0,False
21,21504,-64.0,64.0,0.0,False
22,22528,-64.0,64.0,0.0,False
23,23552,-64.0,64.0,0.0,False
24,24576,-64.0,64.0,0.0,False
25,25600,-64.0,64.0,0.0,False
26,26624,-64.0,64.0,0.0,False
27,27648,-64.0,64.0,0.0,False
28,28672,-64.0,64.0,0.0,False
29,29696,-64.0,64.0,0.0,False
30,30720,-64.0,64.0,0.0,False
31,31744,-64.0,64.0,0.0,False
32,32768,-64.0,64.0,0.0,False
33,33792,-64.0,64.0,0.0,False
34,34816,-64.0,64.0,0.0,False
35,35840,-64.0,64.0,0.0,False
36,36864,-64.0,64.0,0.0,False
37,37888,-64.0,64.0,0.0,False
38,38912,-64.0,64.0,0.0,False
39,39936,-64.0,64.0,0.0,False
40,40960,-64.0,64.0,0.0,False
41,41984,-64.0,64.0,0.0,False
42,43008,-64.0,64.0,0.0,False
43,44032,-64.0,64.0,0.0,False
44,45056,-64.0,64.0,0.0,False
45,46080,-64.0,64.0,0.0,False
46,47104,-64.0,64.0,0.0,False
47,48128,-64.0,64.0,0.0,False
48,49152,-64.0,64.0,0.0,False
49,50176,-64.0,64.0,0.0,False
50,51200,-64.0,64.0,0.0,False
