environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,203,0,0,-500.0,-484.0,500.0,1.088423490524292,0.27832522988319397,0.24328137934207916,-1.10897958278656,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,5,5120,-500.0,-500.0,500.0,1.0902202129364014,0.28388136625289917,0.24673223495483398,-1.1071267127990723,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,10,10240,-500.0,-448.0,500.0,1.0914583206176758,0.28903526067733765,0.24452978372573853,-1.1058562994003296,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,15,15360,-500.0,-500.0,500.0,1.0912286043167114,0.2864481210708618,0.24691836535930634,-1.1061266660690308,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,20,20480,-500.0,-500.0,500.0,1.0920288562774658,0.2886963188648224,0.2509429156780243,-1.1053158044815063,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,25,25600,-500.0,-500.0,500.0,1.0934404134750366,0.2941499352455139,0.2514040470123291,-1.1038676500320435,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,30,30720,-500.0,-500.0,500.0,1.0926176309585571,0.29050368070602417,0.24866074323654175,-1.10472571849823,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,35,35840,-500.0,-500.0,500.0,1.092836856842041,0.2908838391304016,0.2509101331233978,-1.1045254468917847,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,40,40960,-500.0,-500.0,500.0,1.0941383838653564,0.2963079810142517,0.2540323734283447,-1.1031811237335205,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,45,46080,-500.0,-500.0,500.0,1.0940639972686768,0.29596200585365295,0.25352615118026733,-1.103256344795227,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_fixed,203,50,51200,-500.0,-467.0,500.0,1.094168782234192,0.29644501209259033,0.25012558698654175,-1.1031626462936401,1497.2774189066486,True
