update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,1024,-64.0,64.0,1497.2774189066486,True
2,2048,-64.0,64.0,1497.2774189066486,True
3,3072,-64.0,64.0,1497.2774189066486,True
4,4096,-64.0,64.0,1497.2774189066486,True
5,5120,-64.0,64.0,1497.2774189066486,True
6,6144,-64.0,64.0,1497.2774189066486,True
7,7168,-64.0,64.0,1497.2774189066486,True
8,8192,-64.0,64.0,1497.2774189066486,True
9,9216,-64.0,64.0,1497.2774189066486,True
10,10240,-64.0,64.0,1497.2774189066486,True
11,11264,-64.0,64.0,1497.2774189066486,True
12,12288,-64.0,64.0,1497.2774189066486,True
13,13312,-64.0,64.0,1497.2774189066486,True
14,14336,-64.0,64.0,1497.2774189066486,True
15,15360,-64.0,64.0,1497.2774189066486,True
16,16384,-64.0,64.0,1497.2774189066486,True
17,17408,-64.0,64.0,1497.2774189066486,True
18,18432,-64.0,64.0,1497.2774189066486,True
19,19456,-64.0,64.0,1497.2774189066486,True
20,20480,-64.0,64.0,1497.2774189066486,True
21,21504,-64.0,64.0,1497.2774189066486,True
22,22528,-64.0,64.0,1497.2774189066486,True
23,23552,-64.0,64.0,1497.2774189066486,True
24,24576,-64.0,64.0,1497.2774189066486,True
25,25600,-64.0,64.0,1497.2774189066486,True
26,26624,-64.0,64.0,1497.2774189066486,True
27,27648,-64.0,64.0,1497.2774189066486,True
28,28672,-64.0,64.0,1497.2774189066486,True
29,29696,-64.0,64.0,1497.2774189066486,True
30,30720,-64.0,64.0,1497.2774189066486,True
31,31744,-64.0,64.0,1497.2774189066486,True
32,32768,-64.0,64.0,1497.2774189066486,True
33,33792,-64.0,64.0,1497.2774189066486,True
34,34816,-64.0,64.0,1497.2774189066486,True
35,35840,-64.0,64.0,1497.2774189066486,True
36,36864,-64.0,64.0,1497.2774189066486,True
37,37888,-64.0,64.0,1497.2774189066486,True
38,38912,-64.0,64.0,1497.2774189066486,True
39,39936,-64.0,64.0,1497.2774189066486,True
40,40960,-64.0,64.0,1497.2774189066486,True
41,41984,-64.0,64.0,1497.2774189066486,True
42,43008,-64.0,64.0,1497.2774189066486,True
43,44032,-64.0,64.0,1497.2774189066486,True
44,45056,-64.0,64.0,1497.2774189066486,True
45,46080,-64.0,64.0,1497.2774189066486,True
46,47104,-64.0,64.0,1497.2774189066486,True
47,48128,-64.0,64.0,1497.2774189066486,True
48,49152,-64.0,64.0,1497.2774189066486,True
49,50176,-64.0,64.0,1497.2774189066486,True
50,51200,-64.0,64.0,1497.2774189066486,True
