environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,202,0,0,-500.0,-500.0,500.0,1.0826302766799927,0.25446629524230957,0.21647129952907562,-1.1152971982955933,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,5,5120,-500.0,-500.0,500.0,1.0845805406570435,0.25943899154663086,0.2288772314786911,-1.113197922706604,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,10,10240,-500.0,-500.0,500.0,1.0850059986114502,0.26082050800323486,0.22897754609584808,-1.11273193359375,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,11,11264,-500.0,-500.0,500.0,1.0847450494766235,0.25969505310058594,0.22280649840831757,-1.1130427122116089,1497.2774189066486,True
Acrobot-v1,gpomdp_logbarrier_handoff,202,12,12288,-500.0,-500.0,500.0,1.0856807231903076,0.2622637152671814,0.23341317474842072,-1.1120320558547974,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,13,13312,-500.0,-500.0,500.0,1.0839111804962158,0.25927841663360596,0.21507757902145386,-1.1138496398925781,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,14,14336,-500.0,-500.0,500.0,1.0867338180541992,0.26590394973754883,0.23996852338314056,-1.11086905002594,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,15,15360,-500.0,-500.0,500.0,1.0839762687683105,0.25927847623825073,0.21388868987560272,-1.1137970685958862,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,20,20480,-500.0,-500.0,500.0,1.0864111185073853,0.26449620723724365,0.23758827149868011,-1.111250877380371,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,25,25600,-500.0,-500.0,500.0,1.0870676040649414,0.2673620283603668,0.24196328222751617,-1.110507845878601,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,30,30720,-500.0,-500.0,500.0,1.0853321552276611,0.2640661895275116,0.2277369201183319,-1.1122937202453613,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,35,35840,-500.0,-500.0,500.0,1.0863617658615112,0.2662648558616638,0.2238515019416809,-1.1112216711044312,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,40,40960,-500.0,-500.0,500.0,1.0851354598999023,0.2647974491119385,0.2245662808418274,-1.1124331951141357,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,45,46080,-500.0,-500.0,500.0,1.0862470865249634,0.2666032612323761,0.22117793560028076,-1.1113249063491821,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,202,50,51200,-500.0,-464.3333333333333,500.0,1.0856821537017822,0.2658841609954834,0.21696391701698303,-1.1119019985198975,0.0,False
