update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,96.0949935913086,0.08175037056207657,122.40299224853516,-0.10713223367929459,True,1497.2774189066486
1,1024,37.822975158691406,0.08116782456636429,121.53074645996094,0.435964435338974,True,1497.2774189066486
2,2048,52.185394287109375,0.08057118952274323,120.63743591308594,-0.8433329463005066,True,1497.2774189066486
3,3072,52.248905181884766,0.07882184535264969,118.01817321777344,-0.2534290850162506,True,1497.2774189066486
4,4096,115.47513580322266,0.07789943367242813,116.6370620727539,0.052568040788173676,True,1497.2774189066486
5,5120,101.3702392578125,0.07774067670106888,116.39936828613281,-0.7080869674682617,True,1497.2774189066486
6,6144,68.86463165283203,0.07667049020528793,114.79698944091797,-0.6970064640045166,True,1497.2774189066486
7,7168,79.69910430908203,0.07617341727018356,114.05274200439453,-0.9653539061546326,True,1497.2774189066486
8,8192,91.59368896484375,0.07501919567584991,112.32453918457031,-0.6658210754394531,True,1497.2774189066486
9,9216,15.674510955810547,0.0749230682849884,112.18061065673828,-0.3726193904876709,True,1497.2774189066486
10,10240,29.44078826904297,0.07315482944250107,109.53308868408203,0.6499642729759216,True,1497.2774189066486
11,11264,116.69303131103516,0.07310223579406738,109.45433044433594,0.29131314158439636,True,1497.2774189066486
12,12288,48.35161209106445,0.07177506387233734,0.0,nan,False,0.0
13,13312,112.86724853515625,0.07131002098321915,0.0,nan,False,0.0
14,14336,92.47342681884766,0.07050161063671112,0.0,nan,False,0.0
15,15360,46.590087890625,0.07007595151662827,0.0,nan,False,0.0
16,16384,30.35556983947754,0.06896767020225525,0.0,nan,False,0.0
17,17408,80.0479507446289,0.06837047636508942,0.0,nan,False,0.0
18,18432,127.99759674072266,0.06828007102012634,0.0,nan,False,0.0
19,19456,56.84644317626953,0.06667663156986237,0.0,nan,False,0.0
20,20480,15.955992698669434,0.06680049002170563,0.0,nan,False,0.0
21,21504,67.93907165527344,0.06607820838689804,0.0,nan,False,0.0
22,22528,54.785438537597656,0.06560194492340088,0.0,nan,False,0.0
23,23552,97.85733032226562,0.06483669579029083,0.0,nan,False,0.0
24,24576,51.24409103393555,0.06491521000862122,0.0,nan,False,0.0
25,25600,155.70724487304688,0.06426971405744553,0.0,nan,False,0.0
26,26624,49.8185920715332,0.06383900344371796,0.0,nan,False,0.0
27,27648,66.35135650634766,0.0643492043018341,0.0,nan,False,0.0
28,28672,38.01667022705078,0.06474073976278305,0.0,nan,False,0.0
29,29696,68.71218872070312,0.06332080066204071,0.0,nan,False,0.0
30,30720,26.693809509277344,0.06376415491104126,0.0,nan,False,0.0
31,31744,59.663055419921875,0.06322949379682541,0.0,nan,False,0.0
32,32768,36.24909973144531,0.06362724304199219,0.0,nan,False,0.0
33,33792,84.4026107788086,0.062599316239357,0.0,nan,False,0.0
34,34816,23.8083438873291,0.0632798820734024,0.0,nan,False,0.0
35,35840,138.75328063964844,0.06346018612384796,0.0,nan,False,0.0
36,36864,52.97979736328125,0.0625433698296547,0.0,nan,False,0.0
37,37888,32.11671447753906,0.06140225753188133,0.0,nan,False,0.0
38,38912,152.181396484375,0.06189528480172157,0.0,nan,False,0.0
39,39936,89.49639892578125,0.06163332611322403,0.0,nan,False,0.0
40,40960,25.836265563964844,0.06151179224252701,0.0,nan,False,0.0
41,41984,85.99150848388672,0.060717612504959106,0.0,nan,False,0.0
42,43008,68.3208236694336,0.06050204485654831,0.0,nan,False,0.0
43,44032,86.9372329711914,0.06079293042421341,0.0,nan,False,0.0
44,45056,42.97478103637695,0.06111294403672218,0.0,nan,False,0.0
45,46080,28.799518585205078,0.06182217225432396,0.0,nan,False,0.0
46,47104,19.66670799255371,0.060932956635951996,0.0,nan,False,0.0
47,48128,35.98674011230469,0.06151861324906349,0.0,nan,False,0.0
48,49152,135.75303649902344,0.06126635894179344,0.0,nan,False,0.0
49,50176,38.526283264160156,0.06069177761673927,0.0,nan,False,0.0
