environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,203,0,0,-500.0,-484.0,500.0,1.088423490524292,0.27832522988319397,0.24328137934207916,-1.10897958278656,0.0,False
Acrobot-v1,gpomdp_reward_only,203,5,5120,-500.0,-500.0,500.0,1.0890214443206787,0.2811775803565979,0.24239960312843323,-1.1083322763442993,0.0,False
Acrobot-v1,gpomdp_reward_only,203,10,10240,-500.0,-472.3333333333333,500.0,1.088802695274353,0.28233808279037476,0.24113444983959198,-1.1085350513458252,0.0,False
Acrobot-v1,gpomdp_reward_only,203,15,15360,-500.0,-500.0,500.0,1.0886714458465576,0.2813722491264343,0.2454933375120163,-1.1086390018463135,0.0,False
Acrobot-v1,gpomdp_reward_only,203,20,20480,-500.0,-500.0,500.0,1.0885108709335327,0.28077948093414307,0.24560099840164185,-1.1087967157363892,0.0,False
Acrobot-v1,gpomdp_reward_only,203,25,25600,-500.0,-500.0,500.0,1.0886421203613281,0.2817991375923157,0.24283432960510254,-1.108655571937561,0.0,False
Acrobot-v1,gpomdp_reward_only,203,30,30720,-500.0,-500.0,500.0,1.088590383529663,0.28118079900741577,0.24568451941013336,-1.108697533607483,0.0,False
Acrobot-v1,gpomdp_reward_only,203,35,35840,-500.0,-500.0,500.0,1.0870343446731567,0.2759098410606384,0.24293874204158783,-1.1103448867797852,0.0,False
Acrobot-v1,gpomdp_reward_only,203,40,40960,-500.0,-500.0,500.0,1.0884677171707153,0.281403511762619,0.24372005462646484,-1.1088305711746216,0.0,False
Acrobot-v1,gpomdp_reward_only,203,45,46080,-500.0,-500.0,500.0,1.087230920791626,0.27657732367515564,0.2407442331314087,-1.1101397275924683,0.0,False
Acrobot-v1,gpomdp_reward_only,203,50,51200,-500.0,-429.0,500.0,1.0872490406036377,0.27669575810432434,0.24055220186710358,-1.1101332902908325,0.0,False
