environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,reward_gradient_norm,captured_euclidean_energy_fraction,leading_k90_euclidean_energy_fraction,leading_k90_natural_energy_fraction,natural_energy
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,0,0,on_policy,analysis-on_policy-101-0,False,22.7820391542493,0.9999999295732438,0.9556085231570005,0.001694082012927775,322602.68639325874
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,0,0,fixed_reference,analysis-fixed_reference-101-0,False,22.7820391542493,0.9999999312805815,0.907487390453039,0.001378174322445132,361498.46342840244
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,3,1536,on_policy,analysis-on_policy-101-3,False,21.655610407733775,0.9999999960831668,0.8688092375231623,0.019664737684924237,22972.680988637345
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,3,1536,fixed_reference,analysis-fixed_reference-101-3,False,21.655610407733775,0.9999999625540684,0.7023751635640338,0.0009047182316330538,374691.6933388276
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,6,3072,on_policy,analysis-on_policy-101-6,False,16.82874744731908,0.9999999747204267,0.9959765971981712,0.023648380119274535,82999.35091787201
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,6,3072,fixed_reference,analysis-fixed_reference-101-6,False,16.82874744731908,0.9999993487825678,0.4624044897100621,8.601919053121917e-05,1524527.613477181
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,9,4608,on_policy,analysis-on_policy-101-9,False,32.02598955943546,0.9999999849741299,0.9989086288495935,0.015684230511781295,277520.5485325637
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,9,4608,fixed_reference,analysis-fixed_reference-101-9,False,32.02598955943546,0.9999999624288769,0.42506386514943983,0.001979045574485489,213557.084682366
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,12,6144,on_policy,analysis-on_policy-101-12,False,52.531664708931004,0.9999967009150104,0.9651030094686797,8.919580207114293e-05,31881923.82379338
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,12,6144,fixed_reference,analysis-fixed_reference-101-12,False,52.531664708931004,0.9999827271194602,0.9136116941606648,7.14357685466892e-05,33125275.251454435
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,15,7680,on_policy,analysis-on_policy-101-15,False,10.14758742491411,0.9999997316368856,0.9778521193190463,0.0001870785383483433,539795.8222645078
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,15,7680,fixed_reference,analysis-fixed_reference-101-15,False,10.14758742491411,0.9999992364641148,0.9927635658560598,0.00011338088695950168,821917.4477264755
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,18,9216,on_policy,analysis-on_policy-101-18,False,13.235648870470511,0.9999992155109102,0.1438230207708449,3.129859839320477e-05,768788.1311027709
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,18,9216,fixed_reference,analysis-fixed_reference-101-18,False,13.235648870470511,0.9999935734267895,0.03277399455918482,6.028541888376422e-07,8441083.732792547
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,21,10752,on_policy,analysis-on_policy-101-21,False,5.364079179552694,0.9999992008088073,0.027316697027255303,9.8862387862881e-07,788677.9963131405
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,21,10752,fixed_reference,analysis-fixed_reference-101-21,False,5.364079179552694,0.9999987319837257,0.41352302927079293,7.880489403699812e-05,130441.14413289385
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,24,12288,on_policy,analysis-on_policy-101-24,False,3.1133882736572227,0.9999993636017059,0.8852060597509378,0.0007225294961455404,48436.83069902433
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,24,12288,fixed_reference,analysis-fixed_reference-101-24,False,3.1133882736572227,0.9999892045880969,0.017909608738837738,8.842123287039849e-07,166019.4791828075
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,27,13824,on_policy,analysis-on_policy-101-27,False,4.166372509416999,0.9999993109935359,0.9831599637763453,0.0004533311485468765,109172.90971833689
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,27,13824,fixed_reference,analysis-fixed_reference-101-27,False,4.166372509416999,0.9999980613825922,0.21985648542244052,8.909997934675371e-06,356304.97902808985
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,30,15360,on_policy,analysis-on_policy-101-30,False,30.26753297992899,0.9999999971003043,0.9910527655112272,0.015497004436615234,90985.02246449122
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,30,15360,fixed_reference,analysis-fixed_reference-101-30,False,30.26753297992899,0.9999988682429463,0.9935184280690691,0.00010710925802652753,8918863.237421475
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,0,0,on_policy,analysis-on_policy-102-0,False,29.089078740954843,0.9999999796562447,0.9980713343579535,0.004771802616439231,217946.6163283953
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,0,0,fixed_reference,analysis-fixed_reference-102-0,False,29.089078740954843,0.9999998195141612,0.8830169861508446,0.0008371849300921907,1043919.3062721166
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,on_policy,analysis-on_policy-102-3,False,1.8587070870445852,0.9999993296061004,0.06072075180475277,1.5618387576803003e-06,164798.42339581292
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,fixed_reference,analysis-fixed_reference-102-3,False,1.8587070870445852,0.9999422458998181,0.030133655035149448,4.724336456614526e-08,2534239.604997316
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,on_policy,analysis-on_policy-102-6,False,10.869349844156481,0.9999997188867128,0.4213881140075738,8.381571779754423e-05,677711.4909811912
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,fixed_reference,analysis-fixed_reference-102-6,False,10.869349844156481,0.9999996134242874,0.35748043366330273,4.4243969842390225e-05,1077112.7553121364
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,on_policy,analysis-on_policy-102-9,False,29.252259584713784,0.9999999911906828,0.7920183239093922,0.003579948296349873,215162.48355340085
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,fixed_reference,analysis-fixed_reference-102-9,False,29.252259584713784,0.9999998853931888,0.9926045177234585,0.0005081611095115272,1848433.101652203
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,on_policy,analysis-on_policy-102-12,False,22.939351984067578,0.999999480078432,0.15191824201562912,8.104534345744653e-05,1135461.9352106913
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,fixed_reference,analysis-fixed_reference-102-12,False,22.939351984067578,0.9999952250584683,0.025295572803247887,8.751873427412659e-07,16496869.124811983
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,on_policy,analysis-on_policy-102-15,False,44.8980936675907,0.9999999422872133,0.9781282178045476,0.005533374098436189,411943.2884048644
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,fixed_reference,analysis-fixed_reference-102-15,False,44.8980936675907,0.9999999815035875,0.9529046235791274,0.007073071293370364,287700.1791178522
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,on_policy,analysis-on_policy-102-18,False,32.617812950078,0.9999999632216937,0.9977774348883587,0.002628853496775758,586451.3581416936
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,fixed_reference,analysis-fixed_reference-102-18,False,32.617812950078,0.99999966635254,0.9596565345479682,0.0008482398413960745,1242414.3604401308
