environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,0,0,on_policy,analysis-on_policy-101-0,False,130,64,2,128,128,22,1e-10,1.0061368164713904,0.9075337001471794,1.5880203344427756e-10,1,1.215209377417942,1.3912497880135195,-320.6829045233742,5714874554.585765,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,0,0,fixed_reference,analysis-fixed_reference-101-0,False,130,38,2,76,76,19,1e-10,1.0428510706314382,0.9453990194390053,2.0388756369722808e-10,1,1.2042539485214323,1.372366546232379,-276.53143870461207,4636864565.427432,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,3,1536,on_policy,analysis-on_policy-101-3,False,130,64,2,128,128,24,1e-10,0.984944630973918,0.9019146643857526,1.1477985099333326e-10,1,1.1828668208652413,1.3462688116542008,-363.3721774650075,7857778665.683565,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,3,1536,fixed_reference,analysis-fixed_reference-101-3,False,130,38,2,76,76,19,1e-10,1.0691604069414031,0.9716784746909165,1.7401638608237934e-10,1,1.1988551824615126,1.3640458137114069,-278.90172499728374,5583833204.2530985,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,6,3072,on_policy,analysis-on_policy-101-6,False,130,64,2,128,128,25,1e-10,1.0277117390311998,0.8895771350082522,1.9315898495937544e-10,2,1.3042787924109205,1.5050528514406867,-369.9713028744402,4605414214.592943,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,6,3072,fixed_reference,analysis-fixed_reference-101-6,False,130,38,2,76,76,18,1e-10,1.0964393756727846,0.9986072132808934,2.3369878977790006e-10,1,1.194259707470064,1.357419100389157,-256.86159872493073,4273052565.783238,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,9,4608,on_policy,analysis-on_policy-101-9,False,130,64,2,128,128,22,1e-10,1.0492606445031178,0.9424053265383254,1.0116802935741768e-10,2,1.224222164604045,1.399572132096126,-325.4620427766559,9315248429.015959,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,9,4608,fixed_reference,analysis-fixed_reference-101-9,False,130,38,2,76,76,18,1.0315481560750117e-10,1.1302885134341585,1.0315481560750117,1.975385448742356e-10,1,1.1898899818156465,1.3517065568007427,-254.8879663005582,5222009490.511104,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,12,6144,on_policy,analysis-on_policy-101-12,False,130,64,2,128,128,21,1e-10,1.0303191798017959,0.936538487228774,1.6807495078815557e-10,1,1.1986497607570685,1.3681983466322292,-309.2307416970025,5572147918.753238,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,12,6144,fixed_reference,analysis-fixed_reference-101-12,False,130,38,2,76,76,18,1.0654210140437368e-10,1.1658110494055374,1.0654210140437368,2.3324354252268556e-10,1,1.1870033868740744,1.3485265609310222,-251.3431676933177,4567847849.16441,float64,False,score_gram
