environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
CartPole-v1,gpomdp_entropy_fixed,101,0,0,10.0,18.333333333333332,10.0,0.6847754716873169,0.4400627613067627,0.4022740125656128,-0.7015863656997681,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,3,1536,9.333333333333334,35.333333333333336,9.333333333333334,0.6892115473747253,0.45640337467193604,0.4431915879249573,-0.6970944404602051,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,6,3072,10.0,25.666666666666668,10.0,0.691791296005249,0.47413522005081177,0.4640209972858429,-0.6945043802261353,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,9,4608,20.0,28.333333333333332,20.0,0.6925088167190552,0.4845121502876282,0.4599452614784241,-0.6937861442565918,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,12,6144,73.33333333333333,23.333333333333332,73.33333333333333,0.6915189623832703,0.4756218492984772,0.4444640278816223,-0.6947788596153259,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,15,7680,38.333333333333336,12.666666666666666,38.333333333333336,0.6885964870452881,0.4582870304584503,0.41071030497550964,-0.6977226734161377,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,18,9216,31.333333333333332,26.666666666666668,31.333333333333332,0.6891561150550842,0.4625665545463562,0.4109078645706177,-0.6971602439880371,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,21,10752,31.333333333333332,19.666666666666668,31.333333333333332,0.6876181364059448,0.45773765444755554,0.378240704536438,-0.6987297534942627,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,24,12288,43.666666666666664,26.666666666666668,43.666666666666664,0.6855985522270203,0.45198172330856323,0.3436843752861023,-0.7008165121078491,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,27,13824,36.666666666666664,36.0,36.666666666666664,0.682174026966095,0.4387161433696747,0.33077943325042725,-0.7043144106864929,0.0,False
CartPole-v1,gpomdp_entropy_fixed,101,30,15360,73.0,37.333333333333336,73.0,0.6780449748039246,0.4311465919017792,0.2982550263404846,-0.7086948752403259,0.0,False
