update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,13.610461235046387,0.10865723341703415,1.746031641960144,0.7799801230430603,True,16.069172515736582
1,512,15.189986228942871,0.09885036200284958,1.588443398475647,0.8690988421440125,True,16.069172515736582
2,1024,4.366358280181885,0.09121208637952805,1.465702772140503,0.09185129404067993,True,16.069172515736582
3,1536,23.91964340209961,0.07741823047399521,1.2440468072891235,0.8832660913467407,True,16.069172515736582
4,2048,14.843942642211914,0.06990502774715424,1.1233158111572266,-0.07208386063575745,True,16.069172515736582
5,2560,21.273265838623047,0.05772176384925842,0.9275409579277039,0.6422250866889954,True,16.069172515736582
6,3072,25.36252212524414,0.05091052129864693,0.8180899024009705,0.6401892900466919,True,16.069172515736582
7,3584,16.46617889404297,0.04353087395429611,0.699505090713501,0.8059068918228149,True,16.069172515736582
8,4096,12.359980583190918,0.03530668839812279,0.5673492550849915,0.5766446590423584,True,16.069172515736582
9,4608,7.294427394866943,0.027154864743351936,0.43635618686676025,0.20519974827766418,True,16.069172515736582
10,5120,18.201330184936523,0.014546842314302921,0.23375572264194489,-0.8146107196807861,True,16.069172515736582
11,5632,4.394303321838379,0.021667879074811935,0.3481849133968353,0.039920251816511154,True,16.069172515736582
12,6144,12.363454818725586,0.0193706676363945,0.3112706243991852,-0.6551398038864136,True,16.069172515736582
13,6656,27.730627059936523,0.02227945625782013,0.3580124080181122,-0.9214614629745483,True,16.069172515736582
14,7168,6.628481388092041,0.027807457372546196,0.44684281945228577,-0.997246265411377,True,16.069172515736582
15,7680,15.253430366516113,0.029529426246881485,0.47451338171958923,-0.9078489542007446,True,16.069172515736582
16,8192,6.270283222198486,0.03930121660232544,0.6315380334854126,-0.5318470001220703,True,16.069172515736582
17,8704,9.937202453613281,0.046540383249521255,0.7478654384613037,-0.037048861384391785,True,16.069172515736582
18,9216,23.124786376953125,0.035762719810009,0.5746772885322571,-0.5004453063011169,True,16.069172515736582
19,9728,10.96415901184082,0.05384400486946106,0.8652285933494568,-0.03526955097913742,True,16.069172515736582
20,10240,16.68010139465332,0.057271093130111694,0.9202990531921387,-0.14767388999462128,True,16.069172515736582
21,10752,17.1043701171875,0.03514093905687332,0.5646857619285583,-0.9336355328559875,True,16.069172515736582
22,11264,7.423478126525879,0.0606415756046772,0.9744600057601929,-0.6313183903694153,True,16.069172515736582
23,11776,11.796095848083496,0.07343403249979019,1.1800241470336914,-0.043844323605298996,True,16.069172515736582
24,12288,13.130233764648438,0.07106578350067139,1.1419681310653687,-0.014591524377465248,True,16.069172515736582
25,12800,22.88871192932129,0.07848814129829407,1.2612394094467163,0.11324385553598404,True,16.069172515736582
26,13312,18.361112594604492,0.06569410115480423,1.0556498765945435,-0.7915685176849365,True,16.069172515736582
27,13824,30.54753303527832,0.060042575001716614,0.964834451675415,-0.7380832433700562,True,16.069172515736582
28,14336,24.025938034057617,0.07687535136938095,1.235323429107666,-0.5380066633224487,True,16.069172515736582
29,14848,30.61442756652832,0.07625704258680344,1.2253875732421875,-0.5412648916244507,True,16.069172515736582
