update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,512,20.48,20.48,16.069172515736582,True
2,1024,20.48,20.48,16.069172515736582,True
3,1536,17.655172413793103,17.655172413793103,16.069172515736582,True
4,2048,24.38095238095238,24.38095238095238,16.069172515736582,True
5,2560,22.26086956521739,22.26086956521739,16.069172515736582,True
6,3072,24.38095238095238,24.38095238095238,16.069172515736582,True
7,3584,24.38095238095238,24.38095238095238,16.069172515736582,True
8,4096,20.48,20.48,16.069172515736582,True
9,4608,21.333333333333332,21.333333333333332,16.069172515736582,True
10,5120,21.333333333333332,21.333333333333332,16.069172515736582,True
11,5632,26.94736842105263,26.94736842105263,16.069172515736582,True
12,6144,18.285714285714285,18.285714285714285,16.069172515736582,True
13,6656,23.272727272727273,23.272727272727273,16.069172515736582,True
14,7168,30.11764705882353,30.11764705882353,16.069172515736582,True
15,7680,21.333333333333332,21.333333333333332,16.069172515736582,True
16,8192,24.38095238095238,24.38095238095238,16.069172515736582,True
17,8704,22.26086956521739,22.26086956521739,16.069172515736582,True
18,9216,22.26086956521739,22.26086956521739,16.069172515736582,True
19,9728,24.38095238095238,24.38095238095238,16.069172515736582,True
20,10240,22.26086956521739,22.26086956521739,16.069172515736582,True
21,10752,25.6,25.6,16.069172515736582,True
22,11264,25.6,25.6,16.069172515736582,True
23,11776,22.26086956521739,22.26086956521739,16.069172515736582,True
24,12288,23.272727272727273,23.272727272727273,16.069172515736582,True
25,12800,25.6,25.6,16.069172515736582,True
26,13312,26.94736842105263,26.94736842105263,16.069172515736582,True
27,13824,28.444444444444443,28.444444444444443,16.069172515736582,True
28,14336,34.13333333333333,34.13333333333333,16.069172515736582,True
29,14848,32.0,32.0,16.069172515736582,True
30,15360,30.11764705882353,30.11764705882353,16.069172515736582,True
