update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,512,21.333333333333332,21.333333333333332,16.069172515736582,True
2,1024,21.333333333333332,21.333333333333332,16.069172515736582,True
3,1536,22.26086956521739,22.26086956521739,16.069172515736582,True
4,2048,26.94736842105263,26.94736842105263,16.069172515736582,True
5,2560,30.11764705882353,30.11764705882353,16.069172515736582,True
6,3072,21.333333333333332,21.333333333333332,16.069172515736582,True
7,3584,24.38095238095238,24.38095238095238,16.069172515736582,True
8,4096,21.333333333333332,21.333333333333332,16.069172515736582,True
9,4608,22.26086956521739,22.26086956521739,16.069172515736582,True
10,5120,21.333333333333332,21.333333333333332,16.069172515736582,True
11,5632,21.333333333333332,21.333333333333332,0.0,False
12,6144,24.38095238095238,24.38095238095238,0.0,False
13,6656,22.26086956521739,22.26086956521739,0.0,False
14,7168,26.94736842105263,26.94736842105263,0.0,False
15,7680,24.38095238095238,24.38095238095238,0.0,False
16,8192,24.38095238095238,24.38095238095238,0.0,False
17,8704,21.333333333333332,21.333333333333332,0.0,False
18,9216,25.6,25.6,0.0,False
19,9728,23.272727272727273,23.272727272727273,0.0,False
20,10240,22.26086956521739,22.26086956521739,0.0,False
21,10752,23.272727272727273,23.272727272727273,0.0,False
22,11264,24.38095238095238,24.38095238095238,0.0,False
23,11776,23.272727272727273,23.272727272727273,0.0,False
24,12288,23.272727272727273,23.272727272727273,0.0,False
25,12800,28.444444444444443,28.444444444444443,0.0,False
26,13312,23.272727272727273,23.272727272727273,0.0,False
27,13824,36.57142857142857,36.57142857142857,0.0,False
28,14336,24.38095238095238,24.38095238095238,0.0,False
29,14848,28.444444444444443,28.444444444444443,0.0,False
30,15360,30.11764705882353,30.11764705882353,0.0,False
