update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,16.802024841308594,0.048178933560848236,0.0,nan,False,0.0
1,512,10.032743453979492,0.032925769686698914,0.0,nan,False,0.0
2,1024,12.644721031188965,0.02003512717783451,0.0,nan,False,0.0
3,1536,12.948834419250488,0.014285934157669544,0.0,nan,False,0.0
4,2048,17.335355758666992,0.011283698491752148,0.0,nan,False,0.0
5,2560,2.2721567153930664,0.009654343128204346,0.0,nan,False,0.0
6,3072,7.479091644287109,0.013226992450654507,0.0,nan,False,0.0
7,3584,5.991485118865967,0.013082392513751984,0.0,nan,False,0.0
8,4096,6.598720073699951,0.013960886746644974,0.0,nan,False,0.0
9,4608,7.640896320343018,0.014766859821975231,0.0,nan,False,0.0
10,5120,8.116233825683594,0.020849550142884254,0.0,nan,False,0.0
11,5632,11.030928611755371,0.017422564327716827,0.0,nan,False,0.0
12,6144,9.083401679992676,0.02638792246580124,0.0,nan,False,0.0
13,6656,6.277407646179199,0.0196083951741457,0.0,nan,False,0.0
14,7168,6.77072811126709,0.026035474613308907,0.0,nan,False,0.0
15,7680,19.324411392211914,0.025929778814315796,0.0,nan,False,0.0
16,8192,9.705126762390137,0.04766346141695976,0.0,nan,False,0.0
17,8704,21.785802841186523,0.02361012063920498,0.0,nan,False,0.0
18,9216,26.666004180908203,0.021647145971655846,0.0,nan,False,0.0
19,9728,7.848968982696533,0.037218306213617325,0.0,nan,False,0.0
20,10240,11.087972640991211,0.04014519974589348,0.0,nan,False,0.0
21,10752,13.888383865356445,0.03461509570479393,0.0,nan,False,0.0
22,11264,7.659409523010254,0.04457057639956474,0.0,nan,False,0.0
23,11776,21.099857330322266,0.0498523972928524,0.0,nan,False,0.0
24,12288,31.559083938598633,0.05180514231324196,0.0,nan,False,0.0
25,12800,13.204731941223145,0.06264493614435196,0.0,nan,False,0.0
26,13312,15.408156394958496,0.052400317043066025,0.0,nan,False,0.0
27,13824,15.025904655456543,0.04880276694893837,0.0,nan,False,0.0
28,14336,19.61160659790039,0.06714674830436707,0.0,nan,False,0.0
29,14848,20.257783889770508,0.06265708804130554,0.0,nan,False,0.0
