update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,512,21.333333333333332,21.333333333333332,0.0,False
2,1024,21.333333333333332,21.333333333333332,0.0,False
3,1536,24.38095238095238,24.38095238095238,0.0,False
4,2048,26.94736842105263,26.94736842105263,0.0,False
5,2560,28.444444444444443,28.444444444444443,0.0,False
6,3072,19.692307692307693,19.692307692307693,0.0,False
7,3584,21.333333333333332,21.333333333333332,0.0,False
8,4096,21.333333333333332,21.333333333333332,0.0,False
9,4608,22.26086956521739,22.26086956521739,0.0,False
10,5120,22.26086956521739,22.26086956521739,0.0,False
11,5632,23.272727272727273,23.272727272727273,0.0,False
12,6144,25.6,25.6,0.0,False
13,6656,21.333333333333332,21.333333333333332,0.0,False
14,7168,19.692307692307693,19.692307692307693,0.0,False
15,7680,25.6,25.6,0.0,False
16,8192,28.444444444444443,28.444444444444443,0.0,False
17,8704,20.48,20.48,0.0,False
18,9216,26.94736842105263,26.94736842105263,0.0,False
19,9728,32.0,32.0,0.0,False
20,10240,22.26086956521739,22.26086956521739,0.0,False
21,10752,23.272727272727273,23.272727272727273,0.0,False
22,11264,25.6,25.6,0.0,False
23,11776,23.272727272727273,23.272727272727273,0.0,False
24,12288,26.94736842105263,26.94736842105263,0.0,False
25,12800,28.444444444444443,28.444444444444443,0.0,False
26,13312,24.38095238095238,24.38095238095238,0.0,False
27,13824,24.38095238095238,24.38095238095238,0.0,False
28,14336,25.6,25.6,0.0,False
29,14848,28.444444444444443,28.444444444444443,0.0,False
30,15360,28.444444444444443,28.444444444444443,0.0,False
