environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,on_policy,analysis-on_policy-301-0,False,155,128,3,384,155,57,1e-10,1.512649404940876,0.8562615140255643,1.219161496532807e-10,2,2.0453594988694337,2.2431097468559407,-874.69015620084,7023364143.804575,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,on_policy,analysis-on_policy-301-16000,False,155,128,3,384,155,56,1e-10,1.4956862846413703,0.8438504188922682,1.0730874477343038e-10,2,2.0618174585573996,2.2749472470118577,-858.7111554157744,7863761901.9210205,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,on_policy,analysis-on_policy-301-28000,False,155,128,3,384,155,53,1e-10,1.4970190207654248,0.8496261665976603,1.0913986055156571e-10,2,2.037878801832903,2.222788103621259,-813.16093074781,7784746675.539634,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,on_policy,analysis-on_policy-301-40000,False,155,128,3,384,155,54,1e-10,1.498535884464678,0.8489367114930152,1.0149479232296656e-10,2,2.0460735218987227,2.2373213166992287,-830.6062961225929,8364337638.049584,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,on_policy,analysis-on_policy-301-51915,False,155,128,3,384,155,54,1e-10,1.4903119068548112,0.8473609147349098,1.1245380906990417e-10,2,2.03324203070621,2.2143567696304247,-836.2514111635295,7535190864.083302,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,63915,63915,on_policy,analysis-on_policy-301-63915,False,155,128,3,384,155,60,1e-10,1.5133653663565696,0.8481921828204146,1.1591923360552718e-10,2,2.0926015089639987,2.3405450990125547,-914.0894784642094,7317096192.223028,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,75915,75915,on_policy,analysis-on_policy-301-75915,False,155,128,3,384,155,58,1e-10,1.503694003289947,0.8489838663114337,1.0962118728250885e-10,2,2.0622084203547155,2.2812034216010546,-892.9337017564769,7744705994.868361,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,87835,87835,on_policy,analysis-on_policy-301-87835,False,155,128,3,384,155,55,1e-10,1.4981927005566191,0.8548420057347762,1.2266738349962768e-10,2,2.0213929975569886,2.1914509764594956,-850.0235276411878,6968779975.137978,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,99835,99835,on_policy,analysis-on_policy-301-99835,False,155,128,3,384,155,57,1e-10,1.5156859980174295,0.8572133591985626,1.1619254008700637e-10,2,2.054630936181514,2.2625352621897035,-869.0763056484464,7377524913.016541,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,111835,111835,on_policy,analysis-on_policy-301-111835,False,155,128,3,384,155,59,1e-10,1.5015953754226543,0.8460464419725702,1.0589848445022347e-10,2,2.0773173217404444,2.316833931393894,-911.9727816395522,7989221435.649968,float64,False,parameter_fisher
