environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,fixed_reference,analysis-fixed_reference-301-0,False,155,256,3,768,155,146,1e-10,2.086805537729001,0.6701507098396327,2.0475935266478349e-10,5,4.535844985534748,6.074732700912955,-1800.8321102781954,3272869840.22045,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,fixed_reference,analysis-fixed_reference-301-16000,False,155,256,3,768,155,146,1e-10,2.088401985432951,0.6703922989060435,2.2449700189243438e-10,5,4.537371533469974,6.076033305095191,-1800.591530364366,2986197112.9006686,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,fixed_reference,analysis-fixed_reference-301-28000,False,155,256,3,768,155,146,1e-10,2.0890405739363183,0.6706652908863159,2.3641153049361936e-10,5,4.53806321599424,6.077255444101385,-1800.1527313472109,2836855247.6522155,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,fixed_reference,analysis-fixed_reference-301-40000,False,155,256,3,768,155,146,1e-10,2.089457124520519,0.6709737669479549,2.380560106676853e-10,5,4.538408626021601,6.078137438321487,-1800.0619130621537,2818554192.6290693,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,fixed_reference,analysis-fixed_reference-301-51915,False,155,256,3,768,155,146,1e-10,2.0897804923987437,0.6711828523877326,2.431459363366132e-10,5,4.538343902871494,6.078092909195901,-1799.8872082582338,2760411555.7108946,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,63915,63915,fixed_reference,analysis-fixed_reference-301-63915,False,155,256,3,768,155,146,1e-10,2.090045750213776,0.6713239594957674,2.450169091906224e-10,5,4.538378165452217,6.078161374972302,-1799.8243104291842,2739908693.295447,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,75915,75915,fixed_reference,analysis-fixed_reference-301-75915,False,155,256,3,768,155,146,1e-10,2.0903377913921544,0.67142101967727,2.385435682355354e-10,5,4.538701945441941,6.078804882636219,-1799.9467885532285,2814668299.9824834,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,87835,87835,fixed_reference,analysis-fixed_reference-301-87835,False,155,256,3,768,155,146,1e-10,2.090393940706891,0.6718203641302232,2.2869328824481648e-10,5,4.537931548689521,6.078679003873134,-1800.1166005949358,2937647926.9957347,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,99835,99835,fixed_reference,analysis-fixed_reference-301-99835,False,155,256,3,768,155,146,1e-10,2.0904637647710604,0.6720879984871468,2.2186219146352327e-10,5,4.537329044860367,6.078515098373705,-1800.2248363073072,3029303884.784019,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,111835,111835,fixed_reference,analysis-fixed_reference-301-111835,False,155,256,3,768,155,146,1e-10,2.0906906048726963,0.6724547952727661,2.1851708834993598e-10,5,4.536473272832525,6.077860279037656,-1800.3670282862304,3077355644.5887136,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,122880,122880,fixed_reference,analysis-fixed_reference-301-122880,False,155,256,3,768,155,146,1e-10,2.0903721238760578,0.6725460300923685,2.1480159060372852e-10,5,4.535355436645858,6.076458437750779,-1800.5903968913424,3131010474.3735285,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,0,0,fixed_reference,analysis-fixed_reference-302-0,False,155,256,3,768,155,146,1e-10,2.659187425681956,0.9554797321027357,1.8538330129881101e-09,6,4.497553338704279,6.503892231320291,-1660.4924646395293,515407658.29962265,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,16000,16000,fixed_reference,analysis-fixed_reference-302-16000,False,155,256,3,768,155,146,1e-10,2.6508568442611287,0.9514988212089704,1.8138606500036077e-09,6,4.500210026660956,6.5034234938896,-1661.2587454916554,524571069.56208456,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,28000,28000,fixed_reference,analysis-fixed_reference-302-28000,False,155,256,3,768,155,146,1e-10,2.6428169333165044,0.947714997549068,1.8001669894392328e-09,6,4.5048558593533015,6.506067016377733,-1661.8688363924305,526459491.3187966,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,40000,40000,fixed_reference,analysis-fixed_reference-302-40000,False,155,256,3,768,155,146,1e-10,2.637535780334028,0.9454416700142175,1.8161435382124306e-09,6,4.506067521411364,6.505546671544792,-1662.2058940812253,520576512.8811262,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,52000,52000,fixed_reference,analysis-fixed_reference-302-52000,False,155,256,3,768,155,146,1e-10,2.634049441376873,0.9437744496377521,1.8386729292525282e-09,6,4.507447781254561,6.505832515119702,-1662.2839470590789,513291099.5874741,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,64000,64000,fixed_reference,analysis-fixed_reference-302-64000,False,155,256,3,768,155,146,1e-10,2.6300888391167114,0.9416650684794171,1.8517952854981029e-09,6,4.5099538951715985,6.506971903106949,-1662.4994242724595,508514669.98206794,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,76000,76000,fixed_reference,analysis-fixed_reference-302-76000,False,155,256,3,768,155,146,1e-10,2.6250974383004912,0.9392218296631434,1.863104202058736e-09,6,4.512181764449915,6.507425193327004,-1662.9039895992512,504116639.65187794,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,88000,88000,fixed_reference,analysis-fixed_reference-302-88000,False,155,256,3,768,155,146,1e-10,2.6200110438842645,0.9365982345794731,1.87415996844538e-09,6,4.5150916573530395,6.508560919075651,-1663.3787138777607,499742951.69498444,float64,False,parameter_fisher
