run_label,method,seed,initial_weight_identifier,optimizer,learning_rate,total_environment_steps,final_deterministic_return,final_stochastic_return,final_episode_length,training_auc,failure,finite
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,c084e9f570b1a5bcbbf982ad32cb06c52293eb0046a1b1ebbf4dda5763acf168,Adam,0.0003,122880,-500.0,-500.0,500.0,-482.620785872241,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,5d9bf77e17cc9058d20464fd074706cad10d98459ee8d86a77de60071b90f199,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.226124391545,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,34f12cee59aae1b2f093f3d9ee0f0db00c8e8c7e3a0003729216ed529943bf10,Adam,0.0003,122880,-500.0,-490.4,500.0,-481.6903303878211,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,eaa9817c2c63145de6066f24dae8b24314609c1a1ec2472b9506615f095dbe50,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,08d3e081eb9b7499dd333d9dcf2b7692d57e645cfd7ba82751ea33c81e939514,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,20ba6257519835794bd868e2f646a96faa4456927b378c55dd9ffea3a916d4a5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,e11a988641cff53f4817752146d429bee66081561c520652d8c0e5daa549c907,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,308,a5e526f0d9062d1f41ee79ca145f316a783eea6ce0d4dd562175b699684f48d6,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,309,79da0fe08de61b42b7ef120be2bfdb9d564bfbf6d5de56cb79cf2d5d44fadfd5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_entropy_fixed,gpomdp_entropy_fixed,310,81ad8af95a5afeb6b2bc74d4c56b1b2abfe4f62f07fd271fcfaa93bff6fee308,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.08029636982417,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,301,c084e9f570b1a5bcbbf982ad32cb06c52293eb0046a1b1ebbf4dda5763acf168,Adam,0.0003,122880,-500.0,-500.0,500.0,-482.620785872241,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,302,5d9bf77e17cc9058d20464fd074706cad10d98459ee8d86a77de60071b90f199,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.226124391545,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,303,34f12cee59aae1b2f093f3d9ee0f0db00c8e8c7e3a0003729216ed529943bf10,Adam,0.0003,122880,-500.0,-490.4,500.0,-481.6903303878211,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,304,eaa9817c2c63145de6066f24dae8b24314609c1a1ec2472b9506615f095dbe50,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,305,08d3e081eb9b7499dd333d9dcf2b7692d57e645cfd7ba82751ea33c81e939514,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,306,20ba6257519835794bd868e2f646a96faa4456927b378c55dd9ffea3a916d4a5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
