comparison_family,method,reference,metric,n,mean_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,gpomdp_logbarrier_handoff,gpomdp_reward_only,final_stochastic_return,30,70.09583333333333,11.266026524119887,128.92564014254677,,
barrier_within_euclidean,gpomdp_logbarrier_handoff,gpomdp_reward_only,final_deterministic_return,30,82.540625,18.899615891445983,146.18163410855402,,
barrier_within_euclidean,gpomdp_logbarrier_handoff,gpomdp_reward_only,environment_step_return_auc,30,19.657268972530908,-19.612417955656433,58.92695590071825,,
barrier_within_euclidean,gpomdp_logbarrier_handoff,gpomdp_reward_only,failure,30,-0.16666666666666666,-0.3082058975327394,-0.025127435800593872,,
barrier_within_euclidean,gpomdp_logbarrier_handoff,gpomdp_reward_only,exact_mcnemar_p,30,0.0625,,,0,5
barrier_within_natural,npg_logbarrier_handoff,npg_reward_only,final_stochastic_return,30,10.077083333333333,0.4701194096662302,19.684047257000437,,
barrier_within_natural,npg_logbarrier_handoff,npg_reward_only,final_deterministic_return,30,38.598958333333336,-26.84682866696111,104.04474533362779,,
barrier_within_natural,npg_logbarrier_handoff,npg_reward_only,environment_step_return_auc,30,-29.886327969984603,-48.93440039607951,-10.838255543889694,,
barrier_within_natural,npg_logbarrier_handoff,npg_reward_only,failure,30,0.0,0.0,0.0,,
barrier_within_natural,npg_logbarrier_handoff,npg_reward_only,exact_mcnemar_p,30,1.0,,,0,0
optimizer_reward_only,npg_reward_only,gpomdp_reward_only,final_stochastic_return,30,33.610416666666666,-24.062992233477082,91.2838255668104,,
optimizer_reward_only,npg_reward_only,gpomdp_reward_only,final_deterministic_return,30,-23.558333333333334,-96.92679558968855,49.81012892302188,,
optimizer_reward_only,npg_reward_only,gpomdp_reward_only,environment_step_return_auc,30,93.13996964887319,47.44268319326383,138.83725610448255,,
optimizer_reward_only,npg_reward_only,gpomdp_reward_only,failure,30,-0.16666666666666666,-0.3082058975327394,-0.025127435800593872,,
optimizer_reward_only,npg_reward_only,gpomdp_reward_only,exact_mcnemar_p,30,0.0625,,,0,5
optimizer_with_barrier,npg_logbarrier_handoff,gpomdp_logbarrier_handoff,final_stochastic_return,30,-26.408333333333335,-31.976742442795626,-20.839924223871044,,
optimizer_with_barrier,npg_logbarrier_handoff,gpomdp_logbarrier_handoff,final_deterministic_return,30,-67.5,-113.4749295878951,-21.52507041210489,,
optimizer_with_barrier,npg_logbarrier_handoff,gpomdp_logbarrier_handoff,environment_step_return_auc,30,43.596372706357684,14.125869347329267,73.0668760653861,,
optimizer_with_barrier,npg_logbarrier_handoff,gpomdp_logbarrier_handoff,failure,30,0.0,0.0,0.0,,
optimizer_with_barrier,npg_logbarrier_handoff,gpomdp_logbarrier_handoff,exact_mcnemar_p,30,1.0,,,0,0
