method,seed,updates,episodes_per_update,hidden_sizes,gamma,horizon,learning_rate,center_returns,normalize_returns,beta,handoff_update,damping,target_kl,evaluation_episodes,parallel_environments,coefficient_mode
gpomdp_reward_only,701,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,701,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,701,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,701,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,702,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,702,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,702,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,702,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,703,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,703,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,703,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,703,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,704,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,704,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,704,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,704,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,705,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,705,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
