update,true_environment_steps,training_return,training_episode_length,beta
1,3976,-496.875,497.0,546.4135158976487
2,7976,-500.0,500.0,546.4135158976487
3,11976,-500.0,500.0,546.4135158976487
4,15976,-500.0,500.0,546.4135158976487
5,19976,-500.0,500.0,546.4135158976487
6,23897,-490.0,490.125,546.4135158976487
7,27897,-500.0,500.0,546.4135158976487
8,31897,-500.0,500.0,546.4135158976487
9,35897,-500.0,500.0,546.4135158976487
10,39897,-500.0,500.0,546.4135158976487
11,43897,-500.0,500.0,546.4135158976487
12,47897,-500.0,500.0,546.4135158976487
13,51897,-500.0,500.0,546.4135158976487
14,55897,-500.0,500.0,546.4135158976487
15,59897,-500.0,500.0,546.4135158976487
16,63768,-483.75,483.875,546.4135158976487
17,67768,-500.0,500.0,546.4135158976487
18,71753,-498.0,498.125,546.4135158976487
19,75725,-496.375,496.5,546.4135158976487
20,79725,-500.0,500.0,546.4135158976487
21,83664,-492.25,492.375,546.4135158976487
22,87664,-500.0,500.0,546.4135158976487
23,91664,-500.0,500.0,546.4135158976487
24,95664,-500.0,500.0,546.4135158976487
25,99664,-500.0,500.0,546.4135158976487
26,103664,-500.0,500.0,546.4135158976487
27,107664,-500.0,500.0,546.4135158976487
28,111664,-500.0,500.0,546.4135158976487
29,115621,-494.5,494.625,546.4135158976487
30,119621,-500.0,500.0,546.4135158976487
31,123621,-500.0,500.0,546.4135158976487
32,127621,-500.0,500.0,546.4135158976487
33,131621,-500.0,500.0,546.4135158976487
34,135559,-492.125,492.25,546.4135158976487
35,139542,-497.75,497.875,546.4135158976487
36,143542,-500.0,500.0,546.4135158976487
37,147542,-500.0,500.0,546.4135158976487
38,151542,-500.0,500.0,546.4135158976487
39,155542,-500.0,500.0,546.4135158976487
40,159542,-500.0,500.0,546.4135158976487
41,163542,-500.0,500.0,546.4135158976487
42,167542,-500.0,500.0,546.4135158976487
43,171542,-500.0,500.0,546.4135158976487
44,175501,-494.75,494.875,546.4135158976487
45,179501,-500.0,500.0,546.4135158976487
46,183501,-500.0,500.0,546.4135158976487
47,187501,-500.0,500.0,546.4135158976487
48,191320,-477.125,477.375,546.4135158976487
49,195226,-488.0,488.25,546.4135158976487
50,199187,-495.0,495.125,546.4135158976487
51,203187,-500.0,500.0,546.4135158976487
52,207060,-484.0,484.125,546.4135158976487
53,211060,-500.0,500.0,546.4135158976487
54,215060,-500.0,500.0,546.4135158976487
55,219060,-500.0,500.0,546.4135158976487
56,223060,-500.0,500.0,546.4135158976487
57,227038,-497.125,497.25,546.4135158976487
58,231038,-500.0,500.0,546.4135158976487
59,235038,-499.875,500.0,546.4135158976487
60,238991,-494.0,494.125,546.4135158976487
61,242891,-487.25,487.5,546.4135158976487
62,246891,-500.0,500.0,546.4135158976487
63,250829,-492.0,492.25,546.4135158976487
64,254636,-475.625,475.875,546.4135158976487
65,258610,-496.5,496.75,546.4135158976487
66,262384,-471.625,471.75,546.4135158976487
67,266362,-497.125,497.25,546.4135158976487
68,270152,-473.5,473.75,546.4135158976487
69,273981,-478.375,478.625,546.4135158976487
70,277896,-489.125,489.375,546.4135158976487
71,281784,-485.875,486.0,546.4135158976487
72,285652,-483.125,483.5,546.4135158976487
73,289345,-461.25,461.625,546.4135158976487
74,293283,-492.125,492.25,546.4135158976487
75,297093,-476.0,476.25,546.4135158976487
76,300826,-466.375,466.625,546.4135158976487
77,304651,-477.75,478.125,546.4135158976487
78,308537,-485.5,485.75,546.4135158976487
79,312212,-459.0,459.375,546.4135158976487
80,315911,-462.0,462.375,546.4135158976487
81,319768,-482.0,482.125,546.4135158976487
82,323528,-469.625,470.0,546.4135158976487
83,327414,-485.5,485.75,546.4135158976487
84,331191,-471.75,472.125,546.4135158976487
85,334777,-447.625,448.25,546.4135158976487
86,338430,-456.0,456.625,546.4135158976487
87,341915,-435.0,435.625,546.4135158976487
88,345391,-433.875,434.5,546.4135158976487
89,348930,-441.875,442.375,546.4135158976487
90,352526,-449.0,449.5,546.4135158976487
91,355989,-432.25,432.875,546.4135158976487
92,358986,-373.625,374.625,546.4135158976487
93,362054,-382.5,383.5,546.4135158976487
94,365186,-390.625,391.5,546.4135158976487
95,368370,-397.25,398.0,546.4135158976487
96,371557,-397.5,398.375,546.4135158976487
97,373879,-289.25,290.25,546.4135158976487
98,376587,-337.625,338.5,546.4135158976487
99,379122,-316.0,316.875,546.4135158976487
100,381691,-320.125,321.125,546.4135158976487
101,383956,-282.125,283.125,546.4135158976487
102,386352,-298.5,299.5,546.4135158976487
103,388706,-293.375,294.25,546.4135158976487
104,391244,-316.25,317.25,546.4135158976487
105,393567,-289.375,290.375,546.4135158976487
106,395754,-272.375,273.375,546.4135158976487
107,398027,-283.125,284.125,546.4135158976487
108,400163,-266.0,267.0,546.4135158976487
109,402510,-292.375,293.375,546.4135158976487
110,404624,-263.25,264.25,546.4135158976487
111,406818,-273.25,274.25,546.4135158976487
112,409028,-275.375,276.25,546.4135158976487
113,411107,-258.875,259.875,546.4135158976487
114,413150,-254.375,255.375,546.4135158976487
115,414998,-230.0,231.0,546.4135158976487
116,417096,-261.25,262.25,546.4135158976487
117,419190,-260.75,261.75,546.4135158976487
118,421377,-272.375,273.375,546.4135158976487
119,423327,-242.75,243.75,546.4135158976487
120,425586,-281.375,282.375,546.4135158976487
121,427782,-273.5,274.5,546.4135158976487
122,430046,-282.0,283.0,546.4135158976487
123,432384,-291.25,292.25,546.4135158976487
124,434391,-249.875,250.875,546.4135158976487
125,436445,-255.75,256.75,546.4135158976487
126,438733,-285.0,286.0,546.4135158976487
127,441053,-289.0,290.0,546.4135158976487
128,442844,-222.875,223.875,546.4135158976487
129,445053,-275.125,276.125,546.4135158976487
130,447028,-245.875,246.875,546.4135158976487
131,449033,-249.625,250.625,546.4135158976487
132,451335,-286.75,287.75,546.4135158976487
133,453285,-242.75,243.75,546.4135158976487
134,455519,-278.25,279.25,546.4135158976487
135,457785,-282.25,283.25,546.4135158976487
136,459986,-274.125,275.125,546.4135158976487
137,461893,-237.375,238.375,546.4135158976487
138,463848,-243.375,244.375,546.4135158976487
139,465818,-245.25,246.25,546.4135158976487
140,467809,-247.875,248.875,546.4135158976487
141,469844,-253.375,254.375,546.4135158976487
142,471914,-257.75,258.75,546.4135158976487
143,474099,-272.125,273.125,546.4135158976487
144,476517,-301.25,302.25,546.4135158976487
145,478838,-289.125,290.125,546.4135158976487
146,480915,-258.625,259.625,546.4135158976487
147,483148,-278.125,279.125,546.4135158976487
148,485386,-278.75,279.75,546.4135158976487
149,487622,-278.5,279.5,546.4135158976487
150,489683,-256.625,257.625,546.4135158976487
151,491869,-272.25,273.25,546.4135158976487
152,493967,-261.25,262.25,546.4135158976487
153,495850,-234.375,235.375,546.4135158976487
154,498250,-299.125,300.0,546.4135158976487
155,500575,-289.625,290.625,546.4135158976487
