update,true_environment_steps,training_return,training_episode_length,beta
1,4000,-500.0,500.0,0.0
2,7990,-498.625,498.75,0.0
3,11990,-500.0,500.0,0.0
4,15990,-500.0,500.0,0.0
5,19990,-500.0,500.0,0.0
6,23990,-500.0,500.0,0.0
7,27990,-500.0,500.0,0.0
8,31990,-500.0,500.0,0.0
9,35990,-500.0,500.0,0.0
10,39990,-500.0,500.0,0.0
11,43990,-500.0,500.0,0.0
12,47990,-500.0,500.0,0.0
13,51990,-500.0,500.0,0.0
14,55990,-500.0,500.0,0.0
15,59990,-500.0,500.0,0.0
16,63990,-500.0,500.0,0.0
17,67990,-500.0,500.0,0.0
18,71990,-500.0,500.0,0.0
19,75990,-500.0,500.0,0.0
20,79990,-500.0,500.0,0.0
21,83990,-500.0,500.0,0.0
22,87990,-500.0,500.0,0.0
23,91990,-500.0,500.0,0.0
24,95990,-500.0,500.0,0.0
25,99990,-500.0,500.0,0.0
26,103990,-500.0,500.0,0.0
27,107990,-500.0,500.0,0.0
28,111956,-495.625,495.75,0.0
29,115956,-500.0,500.0,0.0
30,119956,-500.0,500.0,0.0
31,123956,-500.0,500.0,0.0
32,127946,-498.625,498.75,0.0
33,131946,-500.0,500.0,0.0
34,135946,-500.0,500.0,0.0
35,139946,-500.0,500.0,0.0
36,143913,-495.75,495.875,0.0
37,147913,-500.0,500.0,0.0
38,151913,-500.0,500.0,0.0
39,155913,-500.0,500.0,0.0
40,159848,-491.75,491.875,0.0
41,163848,-500.0,500.0,0.0
42,167848,-500.0,500.0,0.0
43,171848,-500.0,500.0,0.0
44,175834,-498.0,498.25,0.0
45,179834,-500.0,500.0,0.0
46,183757,-490.25,490.375,0.0
47,187607,-481.125,481.25,0.0
48,191607,-500.0,500.0,0.0
49,195453,-480.5,480.75,0.0
50,199246,-474.0,474.125,0.0
51,203022,-471.875,472.0,0.0
52,206884,-482.625,482.75,0.0
53,210850,-495.625,495.75,0.0
54,214850,-500.0,500.0,0.0
55,218719,-483.375,483.625,0.0
56,222529,-476.0,476.25,0.0
57,226277,-468.125,468.5,0.0
58,230136,-482.25,482.375,0.0
59,234015,-484.75,484.875,0.0
60,237710,-461.5,461.875,0.0
61,241479,-470.75,471.125,0.0
62,245321,-479.875,480.25,0.0
63,249224,-487.75,487.875,0.0
64,252944,-464.625,465.0,0.0
65,256636,-461.125,461.5,0.0
66,260245,-450.875,451.125,0.0
67,263340,-386.125,386.875,0.0
68,266703,-419.625,420.375,0.0
69,269932,-402.75,403.625,0.0
70,273176,-404.75,405.5,0.0
71,276472,-411.25,412.0,0.0
72,279515,-379.375,380.375,0.0
73,282161,-329.875,330.75,0.0
74,284616,-305.875,306.875,0.0
75,287180,-319.5,320.5,0.0
76,289928,-342.625,343.5,0.0
77,291781,-230.625,231.625,0.0
78,294099,-288.75,289.75,0.0
79,296216,-263.625,264.625,0.0
80,298272,-256.0,257.0,0.0
81,300232,-244.0,245.0,0.0
82,301869,-203.625,204.625,0.0
83,303878,-250.125,251.125,0.0
84,305490,-200.5,201.5,0.0
85,307560,-257.75,258.75,0.0
86,309544,-247.0,248.0,0.0
87,311394,-230.25,231.25,0.0
88,313074,-209.0,210.0,0.0
89,314927,-230.75,231.625,0.0
90,316518,-197.875,198.875,0.0
91,318459,-241.75,242.625,0.0
92,319966,-187.375,188.375,0.0
93,321537,-195.375,196.375,0.0
94,323175,-203.75,204.75,0.0
95,324563,-172.5,173.5,0.0
96,326334,-220.375,221.375,0.0
97,327845,-187.875,188.875,0.0
98,329308,-181.875,182.875,0.0
99,330548,-154.0,155.0,0.0
100,332008,-181.5,182.5,0.0
101,333356,-167.5,168.5,0.0
102,334981,-202.125,203.125,0.0
103,336390,-175.125,176.125,0.0
104,337648,-156.25,157.25,0.0
105,338857,-150.125,151.125,0.0
106,340290,-178.125,179.125,0.0
107,341562,-158.0,159.0,0.0
108,342849,-159.875,160.875,0.0
109,344041,-148.0,149.0,0.0
110,345580,-191.375,192.375,0.0
111,346937,-168.625,169.625,0.0
112,348053,-138.5,139.5,0.0
113,349226,-145.625,146.625,0.0
114,350628,-174.25,175.25,0.0
115,351880,-155.5,156.5,0.0
116,353087,-149.875,150.875,0.0
117,354244,-143.625,144.625,0.0
118,355512,-157.5,158.5,0.0
119,356666,-143.25,144.25,0.0
120,357762,-136.0,137.0,0.0
121,358853,-135.375,136.375,0.0
122,359926,-133.125,134.125,0.0
123,360934,-125.0,126.0,0.0
124,361953,-126.375,127.375,0.0
125,363108,-143.375,144.375,0.0
126,364077,-120.125,121.125,0.0
127,365119,-129.25,130.25,0.0
128,366159,-129.0,130.0,0.0
129,367203,-129.5,130.5,0.0
130,368237,-128.25,129.25,0.0
131,369373,-141.0,142.0,0.0
132,370429,-131.0,132.0,0.0
133,371469,-129.0,130.0,0.0
134,372604,-140.875,141.875,0.0
135,373991,-172.5,173.375,0.0
136,374997,-124.75,125.75,0.0
137,376010,-125.625,126.625,0.0
138,377032,-126.75,127.75,0.0
139,378007,-120.875,121.875,0.0
140,379311,-162.0,163.0,0.0
141,380418,-137.375,138.375,0.0
142,381383,-119.625,120.625,0.0
143,382418,-128.375,129.375,0.0
144,383625,-149.875,150.875,0.0
145,384608,-121.875,122.875,0.0
146,385637,-127.625,128.625,0.0
147,386667,-127.75,128.75,0.0
148,387590,-114.375,115.375,0.0
149,388558,-120.0,121.0,0.0
150,389507,-117.625,118.625,0.0
151,390533,-127.25,128.25,0.0
152,391588,-130.875,131.875,0.0
153,392576,-122.5,123.5,0.0
154,393565,-122.625,123.625,0.0
155,394672,-137.375,138.375,0.0
156,395614,-116.75,117.75,0.0
157,396478,-107.0,108.0,0.0
158,397546,-132.5,133.5,0.0
159,398444,-111.25,112.25,0.0
160,399383,-116.375,117.375,0.0
161,400275,-110.5,111.5,0.0
162,401288,-125.625,126.625,0.0
163,402149,-106.625,107.625,0.0
164,403000,-105.375,106.375,0.0
165,403988,-122.5,123.5,0.0
166,404938,-117.75,118.75,0.0
167,405911,-120.625,121.625,0.0
168,406767,-106.0,107.0,0.0
169,407656,-110.125,111.125,0.0
170,408654,-123.75,124.75,0.0
171,409618,-119.5,120.5,0.0
172,410571,-118.125,119.125,0.0
173,411521,-117.75,118.75,0.0
174,412776,-156.0,156.875,0.0
175,413684,-112.5,113.5,0.0
176,414590,-112.25,113.25,0.0
177,415458,-107.5,108.5,0.0
178,416522,-132.0,133.0,0.0
179,417428,-112.25,113.25,0.0
180,418554,-139.75,140.75,0.0
181,419753,-148.875,149.875,0.0
182,420706,-118.125,119.125,0.0
183,421548,-104.25,105.25,0.0
184,422450,-111.75,112.75,0.0
185,423514,-132.0,133.0,0.0
186,424393,-108.875,109.875,0.0
187,425252,-106.375,107.375,0.0
188,426117,-107.125,108.125,0.0
189,427080,-119.375,120.375,0.0
190,427960,-109.0,110.0,0.0
191,428759,-98.875,99.875,0.0
192,429530,-95.375,96.375,0.0
193,430487,-118.625,119.625,0.0
194,431302,-100.875,101.875,0.0
195,432262,-119.0,120.0,0.0
196,433096,-103.25,104.25,0.0
197,433955,-106.375,107.375,0.0
198,434821,-107.25,108.25,0.0
199,435685,-107.0,108.0,0.0
200,436552,-107.375,108.375,0.0
201,437516,-119.5,120.5,0.0
202,438382,-107.25,108.25,0.0
203,439225,-104.375,105.375,0.0
204,440128,-111.875,112.875,0.0
205,441010,-109.25,110.25,0.0
206,441983,-120.625,121.625,0.0
207,442843,-106.5,107.5,0.0
208,443705,-106.75,107.75,0.0
209,444976,-157.875,158.875,0.0
210,445883,-112.375,113.375,0.0
211,446786,-111.875,112.875,0.0
212,447651,-107.125,108.125,0.0
213,448530,-108.875,109.875,0.0
214,449380,-105.25,106.25,0.0
215,450256,-108.5,109.5,0.0
216,451317,-131.625,132.625,0.0
217,452225,-112.5,113.5,0.0
218,453099,-108.25,109.25,0.0
219,453948,-105.125,106.125,0.0
220,454758,-100.25,101.25,0.0
221,455547,-97.625,98.625,0.0
222,456424,-108.625,109.625,0.0
223,457320,-111.0,112.0,0.0
224,458102,-96.75,97.75,0.0
225,459020,-113.75,114.75,0.0
226,460128,-137.5,138.5,0.0
227,460964,-103.5,104.5,0.0
228,461993,-127.625,128.625,0.0
229,462934,-116.625,117.625,0.0
230,463773,-103.875,104.875,0.0
231,464689,-113.5,114.5,0.0
232,465521,-103.0,104.0,0.0
233,466318,-98.625,99.625,0.0
234,467310,-123.0,124.0,0.0
235,468106,-98.5,99.5,0.0
236,468994,-110.0,111.0,0.0
237,469781,-97.375,98.375,0.0
238,470671,-110.25,111.25,0.0
239,471706,-128.375,129.375,0.0
240,472509,-99.375,100.375,0.0
241,473371,-106.75,107.75,0.0
242,474270,-111.375,112.375,0.0
243,475099,-102.625,103.625,0.0
244,475905,-99.75,100.75,0.0
245,476684,-96.375,97.375,0.0
246,477459,-95.875,96.875,0.0
247,478307,-105.0,106.0,0.0
248,479164,-106.125,107.125,0.0
249,479973,-100.125,101.125,0.0
250,480905,-115.5,116.5,0.0
251,481745,-104.0,105.0,0.0
252,482597,-105.5,106.5,0.0
253,483350,-93.125,94.125,0.0
254,484142,-98.0,99.0,0.0
255,484977,-103.375,104.375,0.0
256,485808,-102.875,103.875,0.0
257,486648,-104.0,105.0,0.0
258,487462,-100.75,101.75,0.0
259,488300,-103.75,104.75,0.0
260,489170,-107.75,108.75,0.0
261,490307,-141.125,142.125,0.0
262,491099,-98.0,99.0,0.0
263,491821,-89.25,90.25,0.0
264,492782,-119.125,120.125,0.0
265,493682,-111.5,112.5,0.0
266,494487,-99.625,100.625,0.0
267,495417,-115.25,116.25,0.0
268,496247,-102.75,103.75,0.0
269,497132,-109.625,110.625,0.0
270,497971,-103.875,104.875,0.0
271,498784,-100.625,101.625,0.0
272,499648,-107.0,108.0,0.0
273,500514,-107.25,108.25,0.0
274,501302,-97.5,98.5,0.0
275,502115,-100.625,101.625,0.0
276,503012,-111.125,112.125,0.0
277,503913,-111.625,112.625,0.0
278,504793,-109.0,110.0,0.0
279,505648,-105.875,106.875,0.0
280,506540,-110.5,111.5,0.0
281,507283,-91.875,92.875,0.0
282,508185,-111.75,112.75,0.0
283,509263,-133.75,134.75,0.0
284,510101,-103.75,104.75,0.0
285,510894,-98.125,99.125,0.0
286,511749,-105.875,106.875,0.0
287,512627,-108.75,109.75,0.0
288,513455,-102.5,103.5,0.0
289,514228,-95.625,96.625,0.0
290,515081,-105.625,106.625,0.0
291,515955,-108.25,109.25,0.0
292,516811,-106.0,107.0,0.0
293,517893,-134.25,135.25,0.0
294,518777,-109.5,110.5,0.0
295,519601,-102.0,103.0,0.0
296,520449,-105.0,106.0,0.0
297,521510,-131.625,132.625,0.0
298,522345,-103.375,104.375,0.0
299,523329,-122.0,123.0,0.0
300,524095,-94.75,95.75,0.0
301,524904,-100.125,101.125,0.0
302,525694,-97.75,98.75,0.0
303,526687,-123.125,124.125,0.0
304,527533,-104.75,105.75,0.0
305,528340,-99.875,100.875,0.0
306,529231,-110.375,111.375,0.0
307,530067,-103.5,104.5,0.0
308,530825,-93.75,94.75,0.0
309,531599,-95.75,96.75,0.0
310,532409,-100.25,101.25,0.0
311,533177,-95.0,96.0,0.0
312,533983,-99.75,100.75,0.0
313,534873,-110.25,111.25,0.0
314,535678,-99.625,100.625,0.0
315,536551,-108.125,109.125,0.0
316,537305,-93.25,94.25,0.0
317,538176,-107.875,108.875,0.0
318,538897,-89.125,90.125,0.0
319,539702,-99.625,100.625,0.0
320,540552,-105.25,106.25,0.0
321,541331,-96.375,97.375,0.0
322,542253,-114.25,115.25,0.0
323,543026,-95.625,96.625,0.0
324,543968,-116.75,117.75,0.0
325,544780,-100.5,101.5,0.0
326,545712,-115.5,116.5,0.0
327,546484,-95.5,96.5,0.0
328,547230,-92.25,93.25,0.0
329,548120,-110.25,111.25,0.0
330,548834,-88.25,89.25,0.0
331,549572,-91.25,92.25,0.0
332,550327,-93.375,94.375,0.0
333,551102,-95.875,96.875,0.0
334,551902,-99.0,100.0,0.0
335,552974,-133.0,134.0,0.0
336,553795,-101.625,102.625,0.0
337,554748,-118.125,119.125,0.0
338,555803,-130.875,131.875,0.0
339,556540,-91.125,92.125,0.0
340,557306,-94.75,95.75,0.0
341,558140,-103.25,104.25,0.0
342,558873,-90.625,91.625,0.0
343,559624,-92.875,93.875,0.0
344,560365,-91.625,92.625,0.0
345,561224,-106.375,107.375,0.0
346,561915,-85.375,86.375,0.0
347,562755,-104.0,105.0,0.0
348,563567,-100.5,101.5,0.0
349,564347,-96.5,97.5,0.0
350,565105,-93.75,94.75,0.0
351,565944,-103.875,104.875,0.0
352,566719,-95.875,96.875,0.0
353,567488,-95.125,96.125,0.0
354,568250,-94.25,95.25,0.0
355,569156,-112.25,113.25,0.0
356,569894,-91.25,92.25,0.0
357,570688,-98.25,99.25,0.0
358,571415,-89.875,90.875,0.0
359,572184,-95.125,96.125,0.0
360,573008,-102.0,103.0,0.0
361,573809,-99.125,100.125,0.0
362,574617,-100.0,101.0,0.0
363,575433,-101.0,102.0,0.0
364,576250,-101.125,102.125,0.0
365,577029,-96.375,97.375,0.0
366,577789,-94.0,95.0,0.0
367,578571,-96.75,97.75,0.0
368,579344,-95.625,96.625,0.0
369,580061,-88.625,89.625,0.0
370,580796,-90.875,91.875,0.0
371,581489,-85.625,86.625,0.0
372,582344,-105.875,106.875,0.0
373,583179,-103.375,104.375,0.0
374,583874,-85.875,86.875,0.0
375,584634,-94.0,95.0,0.0
376,585635,-124.125,125.125,0.0
377,586447,-100.5,101.5,0.0
378,587378,-115.375,116.375,0.0
379,588308,-115.25,116.25,0.0
380,589054,-92.25,93.25,0.0
381,589791,-91.125,92.125,0.0
382,590503,-88.0,89.0,0.0
383,591231,-90.0,91.0,0.0
384,591958,-89.875,90.875,0.0
385,592650,-85.5,86.5,0.0
386,593465,-100.875,101.875,0.0
387,594255,-97.75,98.75,0.0
388,595066,-100.375,101.375,0.0
389,595801,-90.875,91.875,0.0
390,596523,-89.25,90.25,0.0
391,597381,-106.25,107.25,0.0
392,598248,-107.375,108.375,0.0
393,598986,-91.25,92.25,0.0
394,599826,-104.0,105.0,0.0
395,600768,-116.75,117.75,0.0
396,601729,-119.125,120.125,0.0
397,602462,-90.625,91.625,0.0
398,603303,-104.125,105.125,0.0
399,604114,-100.375,101.375,0.0
400,604901,-97.375,98.375,0.0
401,605599,-86.25,87.25,0.0
402,606325,-89.75,90.75,0.0
403,607121,-98.5,99.5,0.0
404,607835,-88.25,89.25,0.0
405,608719,-109.5,110.5,0.0
406,609535,-101.0,102.0,0.0
407,610234,-86.375,87.375,0.0
408,610958,-89.5,90.5,0.0
409,611784,-102.25,103.25,0.0
410,612503,-88.875,89.875,0.0
411,613195,-85.5,86.5,0.0
412,613982,-97.375,98.375,0.0
413,614681,-86.375,87.375,0.0
414,615389,-87.5,88.5,0.0
415,616096,-87.375,88.375,0.0
416,616890,-98.25,99.25,0.0
417,617642,-93.0,94.0,0.0
418,618334,-85.5,86.5,0.0
419,619104,-95.25,96.25,0.0
420,619855,-92.875,93.875,0.0
421,620530,-83.375,84.375,0.0
422,621199,-82.625,83.625,0.0
423,622081,-109.25,110.25,0.0
424,622775,-85.75,86.75,0.0
425,623585,-100.25,101.25,0.0
426,624329,-92.0,93.0,0.0
427,625116,-97.375,98.375,0.0
428,625812,-86.0,87.0,0.0
429,626580,-95.0,96.0,0.0
430,627234,-80.75,81.75,0.0
431,627953,-88.875,89.875,0.0
432,628724,-95.375,96.375,0.0
433,629560,-103.5,104.5,0.0
434,630296,-91.0,92.0,0.0
435,630968,-83.0,84.0,0.0
436,631785,-101.125,102.125,0.0
437,632452,-82.375,83.375,0.0
438,633213,-94.125,95.125,0.0
439,634035,-101.75,102.75,0.0
440,634729,-85.75,86.75,0.0
441,635627,-111.25,112.25,0.0
442,636310,-84.375,85.375,0.0
443,637115,-99.625,100.625,0.0
444,637820,-87.125,88.125,0.0
445,638575,-93.375,94.375,0.0
446,639276,-86.625,87.625,0.0
447,639976,-86.5,87.5,0.0
448,640680,-87.0,88.0,0.0
449,641363,-84.375,85.375,0.0
450,642002,-78.875,79.875,0.0
451,642744,-91.75,92.75,0.0
452,643494,-92.75,93.75,0.0
453,644228,-90.75,91.75,0.0
454,645113,-109.625,110.625,0.0
455,645841,-90.0,91.0,0.0
456,646547,-87.25,88.25,0.0
457,647244,-86.125,87.125,0.0
458,647984,-91.5,92.5,0.0
459,648830,-104.75,105.75,0.0
460,649540,-87.75,88.75,0.0
461,650214,-83.25,84.25,0.0
462,650983,-95.125,96.125,0.0
463,651869,-109.75,110.75,0.0
464,652678,-100.125,101.125,0.0
465,653397,-88.875,89.875,0.0
466,654142,-92.125,93.125,0.0
467,654828,-84.75,85.75,0.0
468,655479,-80.375,81.375,0.0
469,656243,-94.5,95.5,0.0
470,656911,-82.5,83.5,0.0
471,657601,-85.25,86.25,0.0
472,658262,-81.625,82.625,0.0
473,659038,-96.0,97.0,0.0
474,659895,-106.125,107.125,0.0
475,660592,-86.125,87.125,0.0
476,661395,-99.375,100.375,0.0
477,662120,-89.625,90.625,0.0
478,662790,-82.75,83.75,0.0
479,663550,-94.0,95.0,0.0
480,664260,-87.75,88.75,0.0
481,664932,-83.0,84.0,0.0
482,665684,-93.0,94.0,0.0
483,666395,-87.875,88.875,0.0
484,667204,-100.125,101.125,0.0
485,668024,-101.5,102.5,0.0
486,668695,-82.875,83.875,0.0
487,669355,-81.5,82.5,0.0
488,670101,-92.25,93.25,0.0
