method,seed,update,true_environment_steps,stochastic_return,deterministic_return,stochastic_termination_rate,deterministic_termination_rate,stochastic_episode_length,entropy,mean_min_probability,global_min_probability,minimum_probability_q01,minimum_probability_q05,minimum_probability_q10,action_margin_mean,action_margin_q10,beta,barrier_active
npg_logbarrier_handoff,707,0,0,-500.0,-500.0,0.0,0.0,500.0,1.0720276832580566,0.24152527749538422,0.21405526995658875,0.2250288426876068,0.2296532690525055,0.2318405956029892,0.0934855192899704,0.05123598128557205,546.4135158976487,True
npg_logbarrier_handoff,707,50,197444,-500.0,-500.0,0.0,0.0,500.0,1.082324743270874,0.2722226083278656,0.07698770612478256,0.15541379153728485,0.21597939729690552,0.23566952347755432,0.06612525135278702,0.012473845854401588,546.4135158976487,True
npg_logbarrier_handoff,707,100,397064,-484.09375,-258.15625,0.09375,0.9375,484.1875,1.0797163248062134,0.26928865909576416,0.061904653906822205,0.11973340064287186,0.16978704929351807,0.20011276006698608,0.04724591597914696,0.005179846193641424,546.4135158976487,True
npg_logbarrier_handoff,707,150,563526,-288.625,-192.9375,1.0,0.8125,289.625,1.0405383110046387,0.23167148232460022,0.07160152494907379,0.10750684142112732,0.1481555849313736,0.16613323986530304,0.15469183027744293,0.017671069130301476,546.4135158976487,True
npg_logbarrier_handoff,707,200,666138,-260.5625,-97.0,0.9375,1.0,261.5,1.0331660509109497,0.24510467052459717,0.13801079988479614,0.14077359437942505,0.14673885703086853,0.15958581864833832,0.1794881671667099,0.01154071744531393,546.4135158976487,True
npg_logbarrier_handoff,707,249,765762,-236.40625,-85.40625,1.0,1.0,237.40625,1.0275520086288452,0.22672273218631744,0.12808063626289368,0.14638552069664001,0.1493668258190155,0.15963059663772583,0.20001280307769775,0.02153124287724495,546.4135158976487,True
npg_logbarrier_handoff,707,250,767663,-207.03125,-89.9375,1.0,1.0,208.03125,1.0259175300598145,0.22913125157356262,0.13432691991329193,0.1562095284461975,0.16391891241073608,0.17076823115348816,0.20277121663093567,0.02400938794016838,0.0,False
npg_logbarrier_handoff,707,251,769658,-233.90625,-85.34375,1.0,1.0,234.90625,1.0273854732513428,0.22611887753009796,0.12852628529071808,0.16205208003520966,0.16849374771118164,0.1740950495004654,0.2014797031879425,0.02765386924147606,0.0,False
npg_logbarrier_handoff,707,300,842565,-141.84375,-96.0625,1.0,0.96875,142.84375,0.7771928906440735,0.12332897633314133,0.01967569626867771,0.02284526452422142,0.02312827855348587,0.02560107596218586,0.4381103217601776,0.06030958890914917,0.0,False
npg_logbarrier_handoff,707,350,891048,-106.40625,-122.4375,1.0,0.9375,107.40625,0.48637208342552185,0.07654222100973129,1.3512466466636397e-05,2.041173866018653e-05,2.99869407172082e-05,5.709210017812438e-05,0.6653006076812744,0.1901383250951767,0.0,False
npg_logbarrier_handoff,707,400,933442,-110.4375,-99.34375,1.0,0.96875,111.4375,0.4255419671535492,0.06930564343929291,4.773755790665746e-07,6.636507237089972e-07,1.5248728004735312e-06,2.9789166546834167e-06,0.7008101344108582,0.14674454927444458,0.0,False
npg_logbarrier_handoff,707,450,977415,-109.25,-312.3125,1.0,0.46875,110.25,0.41954872012138367,0.06978809833526611,1.4589261354558403e-07,1.7931142792804167e-07,1.9556459562863893e-07,2.721965017826733e-07,0.7283275127410889,0.23452970385551453,0.0,False
npg_logbarrier_handoff,707,500,1020279,-104.96875,-115.3125,1.0,0.9375,105.96875,0.4293505847454071,0.07026288658380508,1.0724590282507052e-07,1.302873045005981e-07,2.1312138187568053e-07,4.0905993614615e-07,0.6947917342185974,0.16406700015068054,0.0,False
npg_logbarrier_handoff,707,600,1107536,-106.25,-86.53125,1.0,1.0,107.25,0.37195417284965515,0.06365174800157547,1.7668785545765786e-08,1.7934283391696226e-08,3.44508421790124e-08,6.938009988743943e-08,0.7410712242126465,0.13299138844013214,0.0,False
npg_logbarrier_handoff,707,750,1234350,-101.8125,-92.6875,1.0,1.0,102.8125,0.43985503911972046,0.056743841618299484,5.0785380345530484e-09,5.419672266526732e-09,9.842394455006342e-09,4.3416669370799355e-08,0.6520577669143677,0.1128338947892189,0.0,False
npg_logbarrier_handoff,707,850,1321235,-105.5625,-81.21875,1.0,1.0,106.5625,0.3739560544490814,0.04213876277208328,6.516402417666711e-10,7.11176395551405e-10,2.2098447516327724e-09,7.470570828616019e-09,0.7568883895874023,0.43928781151771545,0.0,False
npg_logbarrier_handoff,707,1000,1449420,-95.53125,-87.84375,1.0,1.0,96.53125,0.3958982527256012,0.06699837744235992,6.422452014653857e-10,6.533765195548824e-10,9.259717992371463e-10,1.4775664025634683e-09,0.7534198760986328,0.3163957893848419,0.0,False
