update,true_environment_steps,training_return,training_episode_length,beta
1,4000,-500.0,500.0,546.4135158976487
2,8000,-500.0,500.0,546.4135158976487
3,12000,-500.0,500.0,546.4135158976487
4,16000,-500.0,500.0,546.4135158976487
5,20000,-500.0,500.0,546.4135158976487
6,24000,-500.0,500.0,546.4135158976487
7,28000,-500.0,500.0,546.4135158976487
8,32000,-500.0,500.0,546.4135158976487
9,35859,-482.25,482.375,546.4135158976487
10,39543,-460.25,460.5,546.4135158976487
11,43509,-495.625,495.75,546.4135158976487
12,47509,-500.0,500.0,546.4135158976487
13,51509,-500.0,500.0,546.4135158976487
14,55509,-500.0,500.0,546.4135158976487
15,59509,-500.0,500.0,546.4135158976487
16,63509,-500.0,500.0,546.4135158976487
17,67509,-500.0,500.0,546.4135158976487
18,71509,-500.0,500.0,546.4135158976487
19,75509,-500.0,500.0,546.4135158976487
20,79509,-500.0,500.0,546.4135158976487
21,83509,-500.0,500.0,546.4135158976487
22,87509,-500.0,500.0,546.4135158976487
23,91509,-500.0,500.0,546.4135158976487
24,95509,-500.0,500.0,546.4135158976487
25,99509,-500.0,500.0,546.4135158976487
26,103509,-500.0,500.0,546.4135158976487
27,107509,-500.0,500.0,546.4135158976487
28,111509,-500.0,500.0,546.4135158976487
29,115509,-500.0,500.0,546.4135158976487
30,119509,-500.0,500.0,546.4135158976487
31,123509,-500.0,500.0,546.4135158976487
32,127509,-500.0,500.0,546.4135158976487
33,131509,-500.0,500.0,546.4135158976487
34,135456,-493.25,493.375,546.4135158976487
35,139456,-500.0,500.0,546.4135158976487
36,143456,-500.0,500.0,546.4135158976487
37,147456,-500.0,500.0,546.4135158976487
38,151456,-500.0,500.0,546.4135158976487
39,155456,-500.0,500.0,546.4135158976487
40,159456,-500.0,500.0,546.4135158976487
41,163456,-500.0,500.0,546.4135158976487
42,167456,-500.0,500.0,546.4135158976487
43,171456,-500.0,500.0,546.4135158976487
44,175456,-500.0,500.0,546.4135158976487
45,179456,-500.0,500.0,546.4135158976487
46,183456,-500.0,500.0,546.4135158976487
47,187456,-500.0,500.0,546.4135158976487
48,191456,-500.0,500.0,546.4135158976487
49,195456,-500.0,500.0,546.4135158976487
50,199456,-500.0,500.0,546.4135158976487
51,203424,-495.875,496.0,546.4135158976487
52,207300,-484.375,484.5,546.4135158976487
53,211300,-500.0,500.0,546.4135158976487
54,215300,-500.0,500.0,546.4135158976487
55,219300,-500.0,500.0,546.4135158976487
56,223300,-500.0,500.0,546.4135158976487
57,227300,-500.0,500.0,546.4135158976487
58,231300,-500.0,500.0,546.4135158976487
59,235300,-500.0,500.0,546.4135158976487
60,239300,-500.0,500.0,546.4135158976487
61,243300,-500.0,500.0,546.4135158976487
62,247300,-500.0,500.0,546.4135158976487
63,251300,-500.0,500.0,546.4135158976487
64,255300,-500.0,500.0,546.4135158976487
65,259300,-500.0,500.0,546.4135158976487
66,263300,-500.0,500.0,546.4135158976487
67,267300,-500.0,500.0,546.4135158976487
68,271300,-500.0,500.0,546.4135158976487
69,275300,-500.0,500.0,546.4135158976487
70,279300,-500.0,500.0,546.4135158976487
71,283300,-500.0,500.0,546.4135158976487
72,287300,-500.0,500.0,546.4135158976487
73,291300,-500.0,500.0,546.4135158976487
74,295300,-500.0,500.0,546.4135158976487
75,299300,-500.0,500.0,546.4135158976487
76,303300,-500.0,500.0,546.4135158976487
77,307300,-500.0,500.0,546.4135158976487
78,311300,-500.0,500.0,546.4135158976487
79,315300,-500.0,500.0,546.4135158976487
80,319300,-500.0,500.0,546.4135158976487
81,323300,-500.0,500.0,546.4135158976487
82,327300,-500.0,500.0,546.4135158976487
83,331105,-475.5,475.625,546.4135158976487
84,334899,-474.125,474.25,546.4135158976487
85,338702,-475.125,475.375,546.4135158976487
86,342348,-455.375,455.75,546.4135158976487
87,345948,-449.625,450.0,546.4135158976487
88,348988,-379.375,380.0,546.4135158976487
89,352252,-407.375,408.0,546.4135158976487
90,354861,-325.25,326.125,546.4135158976487
91,358034,-395.625,396.625,546.4135158976487
92,360963,-365.375,366.125,546.4135158976487
93,363795,-353.0,354.0,546.4135158976487
94,366799,-374.875,375.5,546.4135158976487
95,369440,-329.25,330.125,546.4135158976487
96,372306,-357.25,358.25,546.4135158976487
97,374434,-265.0,266.0,546.4135158976487
98,377079,-329.75,330.625,546.4135158976487
99,379517,-303.75,304.75,546.4135158976487
100,381746,-277.625,278.625,546.4135158976487
101,384211,-307.125,308.125,546.4135158976487
102,386850,-328.875,329.875,546.4135158976487
103,389338,-310.0,311.0,546.4135158976487
104,391414,-258.625,259.5,546.4135158976487
105,393827,-300.625,301.625,546.4135158976487
106,396233,-299.75,300.75,546.4135158976487
107,398478,-279.625,280.625,546.4135158976487
108,400643,-269.625,270.625,546.4135158976487
109,402665,-251.75,252.75,546.4135158976487
110,404886,-276.625,277.625,546.4135158976487
111,407027,-266.625,267.625,546.4135158976487
112,409699,-333.25,334.0,546.4135158976487
113,412388,-335.125,336.125,546.4135158976487
114,414292,-237.0,238.0,546.4135158976487
115,416178,-234.75,235.75,546.4135158976487
116,418598,-301.5,302.5,546.4135158976487
117,421221,-326.875,327.875,546.4135158976487
118,423566,-292.125,293.125,546.4135158976487
119,425825,-281.375,282.375,546.4135158976487
120,428048,-276.875,277.875,546.4135158976487
121,430053,-249.625,250.625,546.4135158976487
122,432018,-244.625,245.625,546.4135158976487
123,434181,-269.375,270.375,546.4135158976487
124,436172,-247.875,248.875,546.4135158976487
125,438098,-239.75,240.75,546.4135158976487
126,439971,-233.125,234.125,546.4135158976487
127,441899,-240.0,241.0,546.4135158976487
128,444054,-268.375,269.375,546.4135158976487
129,446183,-265.125,266.125,546.4135158976487
130,448481,-286.25,287.25,546.4135158976487
131,450336,-230.875,231.875,546.4135158976487
132,452602,-282.25,283.25,546.4135158976487
133,454695,-260.625,261.625,546.4135158976487
134,456887,-273.125,274.0,546.4135158976487
135,458968,-259.125,260.125,546.4135158976487
136,460801,-228.125,229.125,546.4135158976487
137,462645,-229.5,230.5,546.4135158976487
138,464623,-246.375,247.25,546.4135158976487
139,466554,-240.375,241.375,546.4135158976487
140,468436,-234.25,235.25,546.4135158976487
141,470246,-225.25,226.25,546.4135158976487
142,472595,-292.75,293.625,546.4135158976487
143,474945,-292.875,293.75,546.4135158976487
144,477033,-260.0,261.0,546.4135158976487
145,479161,-265.0,266.0,546.4135158976487
146,481106,-242.125,243.125,546.4135158976487
147,482841,-215.875,216.875,546.4135158976487
148,485057,-276.0,277.0,546.4135158976487
149,487000,-241.875,242.875,546.4135158976487
150,488837,-228.625,229.625,546.4135158976487
151,490958,-264.125,265.125,546.4135158976487
152,493066,-262.5,263.5,546.4135158976487
153,495357,-285.375,286.375,546.4135158976487
154,497420,-256.875,257.875,546.4135158976487
155,499460,-254.0,255.0,546.4135158976487
156,501634,-270.875,271.75,546.4135158976487
157,503849,-275.875,276.875,546.4135158976487
158,505843,-248.25,249.25,546.4135158976487
159,508224,-296.625,297.625,546.4135158976487
160,510228,-249.5,250.5,546.4135158976487
161,512053,-227.125,228.125,546.4135158976487
162,514176,-264.375,265.375,546.4135158976487
163,516173,-248.625,249.625,546.4135158976487
164,518153,-246.5,247.5,546.4135158976487
165,520114,-244.125,245.125,546.4135158976487
166,522306,-273.0,274.0,546.4135158976487
167,524148,-229.25,230.25,546.4135158976487
168,526265,-263.625,264.625,546.4135158976487
169,528159,-235.75,236.75,546.4135158976487
170,530199,-254.0,255.0,546.4135158976487
171,532122,-239.375,240.375,546.4135158976487
172,534389,-282.375,283.375,546.4135158976487
173,537129,-341.625,342.5,546.4135158976487
174,539098,-245.125,246.125,546.4135158976487
175,540852,-218.25,219.25,546.4135158976487
176,543059,-274.875,275.875,546.4135158976487
177,545056,-248.625,249.625,546.4135158976487
178,547509,-305.625,306.625,546.4135158976487
