update,true_environment_steps,training_return,training_episode_length,beta
1,4000,-500.0,500.0,0.0
2,7818,-477.0,477.25,0.0
3,11818,-500.0,500.0,0.0
4,15818,-500.0,500.0,0.0
5,19818,-500.0,500.0,0.0
6,23818,-500.0,500.0,0.0
7,27818,-500.0,500.0,0.0
8,31818,-500.0,500.0,0.0
9,35818,-500.0,500.0,0.0
10,39818,-500.0,500.0,0.0
11,43818,-500.0,500.0,0.0
12,47818,-500.0,500.0,0.0
13,51818,-500.0,500.0,0.0
14,55818,-500.0,500.0,0.0
15,59818,-500.0,500.0,0.0
16,63818,-500.0,500.0,0.0
17,67818,-500.0,500.0,0.0
18,71818,-500.0,500.0,0.0
19,75818,-500.0,500.0,0.0
20,79818,-500.0,500.0,0.0
21,83818,-500.0,500.0,0.0
22,87818,-500.0,500.0,0.0
23,91818,-500.0,500.0,0.0
24,95818,-500.0,500.0,0.0
25,99818,-500.0,500.0,0.0
26,103818,-500.0,500.0,0.0
27,107818,-500.0,500.0,0.0
28,111818,-500.0,500.0,0.0
29,115803,-498.0,498.125,0.0
30,119803,-500.0,500.0,0.0
31,123803,-500.0,500.0,0.0
32,127803,-500.0,500.0,0.0
33,131803,-500.0,500.0,0.0
34,135803,-500.0,500.0,0.0
35,139579,-471.875,472.0,0.0
36,143564,-498.0,498.125,0.0
37,147360,-474.25,474.5,0.0
38,151084,-465.125,465.5,0.0
39,155033,-493.5,493.625,0.0
40,158500,-432.75,433.375,0.0
41,161803,-411.875,412.875,0.0
42,164514,-337.875,338.875,0.0
43,167527,-375.625,376.625,0.0
44,170358,-353.0,353.875,0.0
45,172958,-324.0,325.0,0.0
46,175644,-334.875,335.75,0.0
47,178023,-296.375,297.375,0.0
48,180389,-294.75,295.75,0.0
49,182404,-250.875,251.875,0.0
50,184737,-290.625,291.625,0.0
51,187277,-316.625,317.5,0.0
52,189319,-254.25,255.25,0.0
53,191348,-252.625,253.625,0.0
54,193656,-287.625,288.5,0.0
55,195529,-233.125,234.125,0.0
56,197390,-231.625,232.625,0.0
57,199107,-213.625,214.625,0.0
58,200908,-224.125,225.125,0.0
59,203169,-281.625,282.625,0.0
60,205045,-233.5,234.5,0.0
61,206813,-220.0,221.0,0.0
62,209031,-276.25,277.25,0.0
63,210901,-232.75,233.75,0.0
64,212696,-223.375,224.375,0.0
65,214779,-259.5,260.375,0.0
66,216670,-235.5,236.375,0.0
67,218560,-235.375,236.25,0.0
68,220294,-215.75,216.75,0.0
69,222108,-225.75,226.75,0.0
70,223894,-222.25,223.25,0.0
71,225751,-231.125,232.125,0.0
72,227344,-198.125,199.125,0.0
73,229299,-243.5,244.375,0.0
74,230712,-175.625,176.625,0.0
75,232829,-263.875,264.625,0.0
76,234213,-172.0,173.0,0.0
77,235767,-193.25,194.25,0.0
78,237402,-203.375,204.375,0.0
79,238780,-171.25,172.25,0.0
80,240233,-180.625,181.625,0.0
81,241637,-174.5,175.5,0.0
82,243256,-201.375,202.375,0.0
83,244885,-202.75,203.625,0.0
84,246269,-172.0,173.0,0.0
85,247645,-171.0,172.0,0.0
86,249100,-180.875,181.875,0.0
87,250446,-167.25,168.25,0.0
88,251584,-141.25,142.25,0.0
89,252961,-171.125,172.125,0.0
90,254422,-181.625,182.625,0.0
91,255686,-157.0,158.0,0.0
92,256860,-145.75,146.75,0.0
93,258168,-162.5,163.5,0.0
94,259458,-160.25,161.25,0.0
95,260855,-173.625,174.625,0.0
96,262110,-155.875,156.875,0.0
97,263579,-182.625,183.625,0.0
98,264957,-171.25,172.25,0.0
99,266214,-156.125,157.125,0.0
100,267511,-161.125,162.125,0.0
101,268753,-154.25,155.25,0.0
102,270057,-162.0,163.0,0.0
103,271306,-155.125,156.125,0.0
104,272607,-161.625,162.625,0.0
105,273916,-162.625,163.625,0.0
106,274948,-128.0,129.0,0.0
107,276042,-135.75,136.75,0.0
108,277377,-165.875,166.875,0.0
109,278737,-169.0,170.0,0.0
110,280104,-169.875,170.875,0.0
111,281141,-128.625,129.625,0.0
112,282423,-159.25,160.25,0.0
113,283681,-156.25,157.25,0.0
114,284827,-142.25,143.25,0.0
115,286031,-149.5,150.5,0.0
