method,seed,update,true_environment_steps,stochastic_return,deterministic_return,stochastic_termination_rate,deterministic_termination_rate,stochastic_episode_length,entropy,mean_min_probability,global_min_probability,minimum_probability_q01,minimum_probability_q05,minimum_probability_q10,action_margin_mean,action_margin_q10,beta,barrier_active
npg_reward_only,714,0,0,-500.0,-500.0,0.0,0.0,500.0,1.0658848285675049,0.23198437690734863,0.1266128569841385,0.1465407758951187,0.16256314516067505,0.17331092059612274,0.05467783287167549,0.014241352677345276,0.0,False
npg_reward_only,714,50,198654,-421.6875,-500.0,0.65625,0.0,422.34375,0.9854558110237122,0.188736692070961,0.013436645269393921,0.016512934118509293,0.03480013459920883,0.05070733651518822,0.1702895611524582,0.02790834940969944,0.0,False
npg_reward_only,714,100,318155,-198.1875,-147.125,1.0,1.0,199.1875,0.6808385848999023,0.09508035331964493,9.368099563289434e-05,0.0001360717142233625,0.00023053721815813333,0.0003336707013659179,0.4913991689682007,0.07146290689706802,0.0,False
npg_reward_only,714,150,396413,-195.125,-223.9375,0.96875,0.84375,196.09375,0.6175544857978821,0.08886261284351349,5.997683274472365e-06,9.779739229998086e-06,2.143424171663355e-05,2.7780573873315006e-05,0.5298152565956116,0.0868924930691719,0.0,False
npg_reward_only,714,200,471417,-177.65625,-178.90625,0.96875,1.0,178.625,0.4167823791503906,0.05832117423415184,3.106063957147853e-07,5.152226663085457e-07,1.4539673429680988e-06,2.885292587961885e-06,0.6901860237121582,0.10527797043323517,0.0,False
npg_reward_only,714,249,545571,-170.625,-178.1875,1.0,0.9375,171.625,0.43883708119392395,0.05424635484814644,5.5046886160425856e-08,9.372310927346916e-08,2.5006636406033067e-07,6.597059041268949e-07,0.6781259775161743,0.15955515205860138,0.0,False
npg_reward_only,714,250,547131,-164.96875,-171.9375,0.96875,0.96875,165.9375,0.3972725570201874,0.05001644417643547,5.3745640826718954e-08,1.0314895604324192e-07,2.7217990350436594e-07,6.97791108450474e-07,0.714272677898407,0.1839412897825241,0.0,False
npg_reward_only,714,251,548462,-185.8125,-152.0,0.90625,0.96875,186.71875,0.3531518578529358,0.042396172881126404,5.01541066455502e-08,1.1179815828654682e-07,2.9559689096458897e-07,6.911322429914435e-07,0.746946394443512,0.21598365902900696,0.0,False
npg_reward_only,714,300,615964,-163.875,-192.3125,0.96875,0.90625,164.84375,0.4237816631793976,0.05297594517469406,6.596685420134918e-09,1.0281478779461395e-08,3.028951667261026e-08,4.5638927304025856e-08,0.694907546043396,0.17223413288593292,0.0,False
npg_reward_only,714,350,687767,-188.90625,-174.125,0.9375,0.90625,189.84375,0.37273699045181274,0.05392608419060707,1.7825141362948216e-09,2.8394382400875884e-09,7.626878684163785e-09,1.3891695793688541e-08,0.7373326420783997,0.19287262856960297,0.0,False
npg_reward_only,714,400,764831,-197.21875,-134.59375,0.96875,1.0,198.1875,0.3385976254940033,0.05035565048456192,4.009702569973683e-10,7.325329787200019e-10,1.6378781664272424e-09,4.726902425034041e-09,0.7670336365699768,0.23192466795444489,0.0,False
npg_reward_only,714,450,834843,-175.59375,-220.65625,0.96875,0.8125,176.5625,0.38343584537506104,0.0584196001291275,1.5642478978783458e-10,1.6870817243219705e-10,2.0569966563410702e-10,2.2419781309235276e-10,0.7192196846008301,0.159617617726326,0.0,False
npg_reward_only,714,500,907118,-177.15625,-185.4375,0.96875,0.9375,178.125,0.38877975940704346,0.06395619362592697,8.339412493896248e-11,8.640870657883326e-11,1.263829457753829e-10,2.062349041542788e-10,0.7197081446647644,0.16426482796669006,0.0,False
npg_reward_only,714,600,1042235,-160.96875,-163.125,0.96875,0.90625,161.9375,0.36003774404525757,0.046522777527570724,1.5577383133402734e-11,1.8499477991151814e-11,7.389645839683823e-11,2.0600006422899497e-10,0.7419157028198242,0.19929201900959015,0.0,False
npg_reward_only,714,750,1254772,-187.40625,-167.78125,0.96875,0.9375,188.375,0.34671711921691895,0.052957840263843536,4.071565133656474e-12,7.532612554539408e-12,3.0728683486636044e-11,3.165380457748057e-11,0.7560190558433533,0.23117636144161224,0.0,False
npg_reward_only,714,850,1396338,-163.75,-111.3125,0.96875,1.0,164.71875,0.3483498692512512,0.058020781725645065,2.403183554933186e-12,3.5160364203479233e-12,1.4883712318169984e-11,2.906135228297746e-11,0.7512827515602112,0.18695390224456787,0.0,False
npg_reward_only,714,1000,1584814,-150.96875,-107.71875,1.0,1.0,151.96875,0.4849781394004822,0.07924056053161621,8.367094994285451e-13,1.1904707905227574e-12,1.3097075507451095e-11,9.761452757217626e-11,0.6312867999076843,0.10183560103178024,0.0,False
