method,seed,update,true_environment_steps_before_update,beta,barrier_active,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,total_gradient_norm,naturalized_reward_norm,naturalized_barrier_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,realized_kl,damping,valid,invalid_reason,target_kl,predicted_kl,scale_factor,gradient_norm,natural_direction_norm,quadratic_form,solve_residual,fisher_condition_number,damped_condition_number
npg_reward_only,611,0,0,0.0,False,403.2479553222656,0.10307607054710388,0.0,403.2479553222656,3752.2001953125,0.0,0.0,0.0,0.06251515448093414,True,nan,False,0.0010586659191176295,0.01,True,,0.001,0.0010000001639127731,6.026797564118169e-05,403.2479553222656,3752.2001953125,550626.125,8.961237472249195e-05,907532480.0,81.82811737060547
npg_reward_only,611,1,4000,0.0,False,229.3454132080078,0.10114740580320358,0.0,229.3454132080078,4103.03662109375,0.0,0.0,0.0,0.1961309313774109,True,nan,False,0.0009535938734188676,0.01,True,,0.001,0.0010000000474974513,8.221661119023338e-05,229.3454132080078,4103.03662109375,295876.75,7.185428694356233e-05,3893735168.0,90.06773376464844
npg_reward_only,611,2,8000,0.0,False,283.1153564453125,0.09319145977497101,0.0,283.1153564453125,3219.149658203125,0.0,0.0,0.0,0.8292807340621948,True,nan,False,0.0008493299246765673,0.01,True,,0.001,0.0009999999310821295,9.700909868115559e-05,283.1153564453125,3219.149658203125,212522.59375,7.49461687519215e-05,942640960.0,88.25920104980469
npg_reward_only,611,3,12000,0.0,False,280.4679260253906,0.07566924393177032,0.0,280.4679260253906,3283.76025390625,0.0,0.0,0.0,0.7984305024147034,True,nan,False,0.0010344296460971236,0.01,True,,0.001,0.0010000001639127731,8.337831968674436e-05,280.4679260253906,3283.76025390625,287689.3125,6.944438064238057e-05,2740640768.0,85.29487609863281
npg_reward_only,611,4,16000,0.0,False,176.47552490234375,0.07669083774089813,0.0,176.47552490234375,3302.5224609375,0.0,0.0,0.0,0.4460541009902954,True,nan,False,0.0008108580950647593,0.01,True,,0.001,0.0010000001639127731,0.00011328661639709026,176.47552490234375,3302.5224609375,155837.8125,5.529099144041538e-05,3551618048.0,78.6699447631836
npg_reward_only,611,5,19940,0.0,False,428.7105407714844,0.06291370093822479,0.0,428.7105407714844,4776.34375,0.0,0.0,0.0,0.4606482684612274,True,nan,False,0.0012514328118413687,0.01,True,,0.001,0.0010000000474974513,5.867150684935041e-05,428.7105407714844,4776.34375,580999.1875,0.00011538241233211011,1729859968.0,79.67460632324219
npg_reward_only,611,6,23807,0.0,False,206.524658203125,0.05351110175251961,0.0,206.524658203125,4330.63623046875,0.0,0.0,0.0,-0.24684469401836395,True,nan,False,0.0011952135246247053,0.01,True,,0.001,0.0009999999310821295,0.00010316247789887711,206.524658203125,4330.63623046875,187925.828125,6.961059989407659e-05,13131888640.0,73.47517395019531
npg_reward_only,611,7,27632,0.0,False,354.3342590332031,0.05888957902789116,0.0,354.3342590332031,3447.971435546875,0.0,0.0,0.0,-0.3131747543811798,True,nan,False,0.000963400409091264,0.01,True,,0.001,0.0010000001639127731,8.379963401239365e-05,354.3342590332031,3447.971435546875,284803.8125,7.843058847356588e-05,6371134464.0,74.1286849975586
npg_reward_only,611,8,31311,0.0,False,357.02777099609375,0.0980442613363266,0.0,357.02777099609375,6024.3515625,0.0,0.0,0.0,-0.6742734313011169,True,nan,False,0.0009480139706283808,0.01,True,,0.001,0.001000000280328095,6.11258001299575e-05,357.02777099609375,6024.3515625,535279.875,0.00025629697483964264,9614478336.0,68.97470092773438
npg_reward_only,611,9,34619,0.0,False,361.2577209472656,0.11139033734798431,0.0,361.2577209472656,4955.6923828125,0.0,0.0,0.0,-0.7439675331115723,True,nan,False,0.0011151087237522006,0.01,True,,0.001,0.0010000000474974513,6.980495527386665e-05,361.2577209472656,4955.6923828125,410447.4375,0.00023292264086194336,19453358080.0,67.82107543945312
