method,seed,update,true_environment_steps_before_update,beta,barrier_active,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,total_gradient_norm,naturalized_reward_norm,naturalized_barrier_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,realized_kl,damping,valid,invalid_reason,target_kl,predicted_kl,scale_factor,gradient_norm,natural_direction_norm,quadratic_form,solve_residual,fisher_condition_number,damped_condition_number
npg_reward_only,612,0,0,0.0,False,174.43605041503906,0.10764230787754059,0.0,174.43605041503906,612.5271606445312,0.0,0.0,0.0,-0.15888838469982147,True,nan,False,0.000980344950221479,0.1,True,,0.001,0.0010000000474974513,0.00023355895245913416,174.43605041503906,612.5271606445312,36663.7578125,3.097451553912833e-05,1781321984.0,10.387105941772461
npg_reward_only,612,1,4000,0.0,False,256.3924255371094,0.11783689260482788,0.0,256.3924255371094,842.3232421875,0.0,0.0,0.0,-0.5641074776649475,True,nan,False,0.000987375620752573,0.1,True,,0.001,0.0010000000474974513,0.00013928546104580164,256.3924255371094,842.3232421875,103090.4453125,3.4598284400999546e-05,11317926912.0,10.48025894165039
npg_reward_only,612,2,8000,0.0,False,198.61671447753906,0.1352226287126541,0.0,198.61671447753906,773.5880737304688,0.0,0.0,0.0,0.5308972597122192,True,nan,False,0.0009871155489236116,0.1,True,,0.001,0.0009999999310821295,0.0001820836478145793,198.61671447753906,773.5880737304688,60323.71484375,3.334145003464073e-05,8636360704.0,10.360332489013672
npg_reward_only,612,3,12000,0.0,False,215.90475463867188,0.12141216546297073,0.0,215.90475463867188,815.8355102539062,0.0,0.0,0.0,0.06764092296361923,True,nan,False,0.0009672061423771083,0.1,True,,0.001,0.0010000000474974513,0.00016606366261839867,215.90475463867188,815.8355102539062,72523.8359375,3.387753167771734e-05,731223104.0,10.397187232971191
npg_reward_only,612,4,16000,0.0,False,204.93939208984375,0.12480589747428894,0.0,204.93939208984375,580.6729736328125,0.0,0.0,0.0,0.37133926153182983,True,nan,False,0.0009608646505512297,0.1,True,,0.001,0.0009999999310821295,0.0002178081776946783,204.93939208984375,580.6729736328125,42158.15625,3.214567186660133e-05,4202461696.0,11.329601287841797
npg_reward_only,612,5,20000,0.0,False,232.77674865722656,0.11729168891906738,0.0,232.77674865722656,964.9545288085938,0.0,0.0,0.0,-0.7053064107894897,True,nan,False,0.0010148974834010005,0.1,True,,0.001,0.0010000000474974513,0.0001425954105798155,232.77674865722656,964.9545288085938,98360.09375,5.191138916416094e-05,7216525312.0,10.516961097717285
npg_reward_only,612,6,24000,0.0,False,175.74429321289062,0.13808926939964294,0.0,175.74429321289062,566.8834838867188,0.0,0.0,0.0,-0.4866088926792145,True,nan,False,0.0009343778947368264,0.1,True,,0.001,0.0010000000474974513,0.0002351925941184163,175.74429321289062,566.8834838867188,36156.1953125,2.737267641350627e-05,1702850176.0,11.603059768676758
npg_reward_only,612,7,28000,0.0,False,281.6108093261719,0.15945808589458466,0.0,281.6108093261719,1382.000244140625,0.0,0.0,0.0,0.0857781246304512,True,nan,False,0.0009619634365662932,0.1,True,,0.001,0.0010000001639127731,0.00011519574036356062,281.6108093261719,1382.000244140625,150715.25,5.82128886890132e-05,3308021760.0,10.437572479248047
npg_reward_only,612,8,32000,0.0,False,222.62234497070312,0.16087034344673157,0.0,222.62234497070312,855.2031860351562,0.0,0.0,0.0,0.7302038073539734,True,nan,False,0.0010245537851005793,0.1,True,,0.001,0.0009999999310821295,0.000162926284247078,222.62234497070312,855.2031860351562,75343.828125,4.142454781685956e-05,399441856.0,10.052043914794922
npg_reward_only,612,9,35944,0.0,False,367.1466369628906,0.13812503218650818,0.0,367.1466369628906,932.5091552734375,0.0,0.0,0.0,-0.7330923080444336,True,nan,False,0.0010034829610958695,0.1,True,,0.001,0.0009999999310821295,0.00011781047942349687,367.1466369628906,932.5091552734375,144099.40625,6.020808723405935e-05,391962688.0,9.181307792663574
