update,true_environment_steps,training_return,training_episode_length,beta
1,4000,-500.0,500.0,0.0
2,8000,-500.0,500.0,0.0
3,12000,-500.0,500.0,0.0
4,16000,-500.0,500.0,0.0
5,20000,-500.0,500.0,0.0
6,24000,-500.0,500.0,0.0
7,28000,-500.0,500.0,0.0
8,32000,-500.0,500.0,0.0
9,35944,-492.875,493.0,0.0
10,39832,-485.875,486.0,0.0
11,43832,-500.0,500.0,0.0
12,47826,-499.125,499.25,0.0
13,51803,-497.0,497.125,0.0
14,55473,-458.5,458.75,0.0
15,58950,-434.125,434.625,0.0
16,62551,-449.625,450.125,0.0
17,66076,-440.125,440.625,0.0
18,68437,-294.125,295.125,0.0
19,71142,-337.125,338.125,0.0
20,74301,-394.0,394.875,0.0
21,76867,-319.75,320.75,0.0
22,79435,-320.0,321.0,0.0
23,81299,-232.0,233.0,0.0
24,83283,-247.0,248.0,0.0
25,85027,-217.0,218.0,0.0
26,86764,-216.125,217.125,0.0
27,88673,-237.625,238.625,0.0
28,90499,-227.25,228.25,0.0
29,92091,-198.0,199.0,0.0
30,93704,-200.625,201.625,0.0
31,95298,-198.25,199.25,0.0
32,96901,-199.375,200.375,0.0
33,98374,-183.125,184.125,0.0
34,99793,-176.375,177.375,0.0
35,101361,-195.0,196.0,0.0
36,102789,-177.5,178.5,0.0
37,104033,-154.5,155.5,0.0
38,105222,-147.625,148.625,0.0
39,106414,-148.0,149.0,0.0
40,107609,-148.375,149.375,0.0
41,108736,-139.875,140.875,0.0
42,109841,-137.125,138.125,0.0
43,110903,-131.75,132.75,0.0
44,112103,-149.0,150.0,0.0
45,113173,-132.75,133.75,0.0
46,114581,-175.125,176.0,0.0
47,115584,-124.375,125.375,0.0
48,116628,-129.5,130.5,0.0
49,117770,-141.75,142.75,0.0
50,118848,-133.75,134.75,0.0
51,120021,-145.625,146.625,0.0
52,121496,-183.5,184.375,0.0
53,122622,-139.75,140.75,0.0
54,123822,-149.0,150.0,0.0
55,124922,-136.5,137.5,0.0
56,125978,-131.0,132.0,0.0
57,127120,-141.75,142.75,0.0
58,128179,-131.375,132.375,0.0
59,129015,-103.5,104.5,0.0
60,129939,-114.5,115.5,0.0
61,130928,-122.625,123.625,0.0
62,131910,-121.75,122.75,0.0
63,132883,-120.625,121.625,0.0
64,133849,-119.75,120.75,0.0
