update,true_environment_steps,training_return,training_episode_length,beta
1,4000,-500.0,500.0,546.4135158976487
2,8000,-500.0,500.0,546.4135158976487
3,12000,-500.0,500.0,546.4135158976487
4,16000,-500.0,500.0,546.4135158976487
5,20000,-500.0,500.0,546.4135158976487
6,23924,-490.375,490.5,546.4135158976487
7,27686,-470.0,470.25,546.4135158976487
8,31653,-495.75,495.875,546.4135158976487
9,35440,-473.125,473.375,546.4135158976487
10,39440,-500.0,500.0,546.4135158976487
11,43414,-496.625,496.75,546.4135158976487
12,47354,-492.375,492.5,546.4135158976487
13,50855,-436.875,437.625,546.4135158976487
14,54396,-442.125,442.625,546.4135158976487
15,57946,-443.125,443.75,546.4135158976487
16,61190,-404.75,405.5,546.4135158976487
17,64593,-424.75,425.375,546.4135158976487
18,67571,-371.375,372.25,546.4135158976487
19,70447,-358.5,359.5,546.4135158976487
20,73922,-433.75,434.375,546.4135158976487
21,77299,-421.375,422.125,546.4135158976487
22,80989,-461.0,461.25,546.4135158976487
23,84913,-490.375,490.5,546.4135158976487
24,88316,-424.5,425.375,546.4135158976487
25,92151,-479.0,479.375,546.4135158976487
26,95495,-417.375,418.0,546.4135158976487
27,98535,-379.125,380.0,546.4135158976487
28,101629,-385.875,386.75,546.4135158976487
29,104600,-370.5,371.375,546.4135158976487
30,108158,-444.125,444.75,546.4135158976487
31,111163,-374.75,375.625,546.4135158976487
32,114672,-438.0,438.625,546.4135158976487
33,117991,-414.125,414.875,546.4135158976487
34,121250,-406.5,407.375,546.4135158976487
35,124169,-364.0,364.875,546.4135158976487
36,126914,-342.375,343.125,546.4135158976487
37,129508,-323.25,324.25,546.4135158976487
38,132410,-361.875,362.75,546.4135158976487
39,134928,-313.75,314.75,546.4135158976487
40,137388,-306.625,307.5,546.4135158976487
41,139900,-313.125,314.0,546.4135158976487
42,141819,-238.875,239.875,546.4135158976487
43,144185,-294.875,295.75,546.4135158976487
44,146413,-277.5,278.5,546.4135158976487
45,148905,-310.5,311.5,546.4135158976487
46,151389,-309.5,310.5,546.4135158976487
47,153764,-296.0,296.875,546.4135158976487
48,156253,-310.125,311.125,546.4135158976487
49,158349,-261.0,262.0,546.4135158976487
50,160608,-281.375,282.375,546.4135158976487
51,163067,-306.375,307.375,546.4135158976487
52,164956,-235.125,236.125,546.4135158976487
53,167305,-292.625,293.625,546.4135158976487
54,169880,-320.875,321.875,546.4135158976487
55,171872,-248.0,249.0,546.4135158976487
56,173778,-237.25,238.25,546.4135158976487
57,176140,-294.25,295.25,546.4135158976487
58,178232,-260.5,261.5,546.4135158976487
59,180257,-252.125,253.125,546.4135158976487
60,182470,-275.75,276.625,546.4135158976487
61,184966,-311.0,312.0,546.4135158976487
62,187693,-339.875,340.875,546.4135158976487
63,189990,-286.125,287.125,546.4135158976487
64,191784,-223.25,224.25,546.4135158976487
65,193858,-258.25,259.25,546.4135158976487
66,195925,-257.375,258.375,546.4135158976487
67,197846,-239.125,240.125,546.4135158976487
68,200560,-338.375,339.25,546.4135158976487
69,202875,-288.375,289.375,546.4135158976487
70,204929,-255.75,256.75,546.4135158976487
71,206666,-216.125,217.125,546.4135158976487
72,209092,-302.375,303.25,546.4135158976487
73,211347,-280.875,281.875,546.4135158976487
74,213585,-278.875,279.75,546.4135158976487
75,216129,-317.0,318.0,546.4135158976487
76,218307,-271.25,272.25,546.4135158976487
77,220408,-261.625,262.625,546.4135158976487
78,222422,-250.75,251.75,546.4135158976487
79,224675,-280.625,281.625,546.4135158976487
80,227038,-294.375,295.375,546.4135158976487
81,229196,-268.75,269.75,546.4135158976487
82,231726,-315.25,316.25,546.4135158976487
83,234132,-299.75,300.75,546.4135158976487
84,236835,-337.0,337.875,546.4135158976487
85,239182,-292.375,293.375,546.4135158976487
86,241172,-247.75,248.75,546.4135158976487
87,243377,-274.625,275.625,546.4135158976487
88,245493,-263.5,264.5,546.4135158976487
89,247567,-258.25,259.25,546.4135158976487
90,250025,-306.25,307.25,546.4135158976487
91,252102,-258.625,259.625,546.4135158976487
92,254101,-248.875,249.875,546.4135158976487
93,255929,-227.5,228.5,546.4135158976487
94,258102,-270.75,271.625,546.4135158976487
95,259891,-222.625,223.625,546.4135158976487
96,261607,-213.5,214.5,546.4135158976487
97,263554,-242.375,243.375,546.4135158976487
98,265189,-203.375,204.375,546.4135158976487
99,267321,-265.5,266.5,546.4135158976487
100,269202,-234.125,235.125,546.4135158976487
101,270893,-210.375,211.375,546.4135158976487
102,272778,-234.625,235.625,546.4135158976487
103,274397,-201.375,202.375,546.4135158976487
104,276285,-235.0,236.0,546.4135158976487
105,278200,-238.375,239.375,546.4135158976487
106,280224,-252.0,253.0,546.4135158976487
107,281890,-207.25,208.25,546.4135158976487
108,283661,-220.375,221.375,546.4135158976487
109,285774,-263.25,264.125,546.4135158976487
110,287452,-208.75,209.75,546.4135158976487
111,289623,-270.5,271.375,546.4135158976487
112,291640,-251.125,252.125,546.4135158976487
113,293728,-260.0,261.0,546.4135158976487
114,295806,-258.75,259.75,546.4135158976487
115,297797,-247.875,248.875,546.4135158976487
116,300175,-296.25,297.25,546.4135158976487
117,302099,-239.5,240.5,546.4135158976487
118,304107,-250.0,251.0,546.4135158976487
119,306291,-272.0,273.0,546.4135158976487
120,308785,-310.75,311.75,546.4135158976487
121,311083,-286.375,287.25,546.4135158976487
122,313063,-246.5,247.5,546.4135158976487
123,315589,-314.75,315.75,546.4135158976487
124,317668,-258.875,259.875,546.4135158976487
125,319659,-247.875,248.875,546.4135158976487
126,321863,-274.5,275.5,546.4135158976487
127,323665,-224.25,225.25,546.4135158976487
128,325749,-259.5,260.5,546.4135158976487
129,328058,-287.75,288.625,546.4135158976487
130,330162,-262.0,263.0,546.4135158976487
131,332049,-234.875,235.875,546.4135158976487
132,334203,-268.25,269.25,546.4135158976487
133,336338,-265.875,266.875,546.4135158976487
134,338256,-238.75,239.75,546.4135158976487
135,340081,-227.125,228.125,546.4135158976487
136,341981,-236.5,237.5,546.4135158976487
137,344173,-273.0,274.0,546.4135158976487
138,346284,-262.875,263.875,546.4135158976487
139,348612,-290.0,291.0,546.4135158976487
140,350726,-263.375,264.25,546.4135158976487
141,352623,-236.125,237.125,546.4135158976487
142,354332,-212.625,213.625,546.4135158976487
143,356482,-267.75,268.75,546.4135158976487
144,358358,-233.5,234.5,546.4135158976487
145,360248,-235.25,236.25,546.4135158976487
146,362531,-284.375,285.375,546.4135158976487
147,364966,-303.5,304.375,546.4135158976487
148,367130,-269.5,270.5,546.4135158976487
149,368966,-228.5,229.5,546.4135158976487
150,371341,-295.875,296.875,546.4135158976487
151,373635,-285.75,286.75,546.4135158976487
152,375584,-242.625,243.625,546.4135158976487
153,377642,-256.25,257.25,546.4135158976487
154,379397,-218.375,219.375,546.4135158976487
155,381691,-285.875,286.75,546.4135158976487
156,383747,-256.0,257.0,546.4135158976487
157,385693,-242.25,243.25,546.4135158976487
158,387906,-275.625,276.625,546.4135158976487
159,390089,-271.875,272.875,546.4135158976487
160,392164,-258.375,259.375,546.4135158976487
161,394255,-260.375,261.375,546.4135158976487
162,396008,-218.125,219.125,546.4135158976487
163,397981,-245.625,246.625,546.4135158976487
164,400239,-281.25,282.25,546.4135158976487
165,402190,-242.875,243.875,546.4135158976487
166,404217,-252.375,253.375,546.4135158976487
167,406649,-303.0,304.0,546.4135158976487
168,408757,-262.5,263.5,546.4135158976487
169,410649,-235.5,236.5,546.4135158976487
170,412794,-267.125,268.125,546.4135158976487
171,415523,-340.25,341.125,546.4135158976487
172,418194,-333.0,333.875,546.4135158976487
173,420528,-290.875,291.75,546.4135158976487
174,422609,-259.125,260.125,546.4135158976487
175,424603,-248.25,249.25,546.4135158976487
176,427021,-301.25,302.25,546.4135158976487
177,429160,-266.375,267.375,546.4135158976487
178,431283,-264.375,265.375,546.4135158976487
