method,initialization,damping,step_size,updates,finite,invalid_reason,invalid_updates,final_return,final_q,final_v1,final_delta_safe,final_pi1_good,final_update_recorded,worst_undamped_direction_relative_error,worst_direction_relative_error_after_degeneracy,first_update_fisher_not_positive_definite,first_update_v1_above_half,first_update_q_above_half,first_update_q_above_090,escaped_adverse
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,2000,True,,0,0.9734716851141371,0.9830560206182654,0.98673221315603,0.48673221315603,0.986105039802255,2000,0.0,0.0,,117,349,746,False
exact_pg_logbarrier_handoff_fixed_step,uniform,0.0,0.05,2000,True,,0,0.9716332862788236,0.9818427888117843,0.9858451655750315,0.48584516557503155,0.9851298835683183,2000,0.0,0.0,,125,396,841,False
exact_npg_reward_only_fixed_step,uniform,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,2.4564442713929546,21.44696128498023,386,8,34,85,False
exact_npg_reward_only_fixed_step,uniform,0.01,0.05,2000,True,,0,0.9997981119153603,0.9998727308161197,0.9998966695530351,0.49989666955303513,0.9998923888085548,2000,0.0,0.0,,10,38,94,False
exact_npg_reward_only_fixed_step,uniform,0.1,0.05,2000,True,,0,0.9978904160903125,0.9987090238270881,0.9989361712253078,0.49893617122530776,0.9988957353553534,2000,0.0,0.0,,21,72,163,False
exact_npg_logbarrier_handoff_fixed_step,uniform,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,0.0,0.0,847,8,41,513,False
exact_npg_logbarrier_handoff_fixed_step,uniform,0.01,0.05,2000,True,,0,0.9997325267102241,0.9998352735369931,0.9998656927661536,0.49986569276615356,0.999859586662136,2000,0.0,0.0,,10,46,515,False
exact_npg_logbarrier_handoff_fixed_step,uniform,0.1,0.05,2000,True,,0,0.997380118075128,0.998376000431113,0.9986952592365906,0.49869525923659064,0.9986253439451004,2000,0.0,0.0,,22,86,529,False
exact_pg_logbarrier_fixed_fixed_step,uniform,0.0,0.05,2000,True,,0,0.7936995734216172,0.8239433752702157,0.8940050674580465,0.39400506745804653,0.8824747845566825,2000,0.0,0.0,,125,396,,False
exact_npg_logbarrier_fixed_fixed_step,uniform,0.0,0.05,2000,True,,0,0.7995786837940986,0.8250597782271895,0.8975462479954801,0.3975462479954801,0.8848322038897722,2000,0.0,0.0,,8,41,,False
exact_npg_logbarrier_fixed_fixed_step,uniform,0.01,0.05,2000,True,,0,0.7995786837940988,0.8250597782271897,0.8975462479954802,0.3975462479954802,0.8848322038897724,2000,0.0,0.0,,10,46,,False
exact_npg_logbarrier_fixed_fixed_step,uniform,0.1,0.05,2000,True,,0,0.7995786794919495,0.8250597761485363,0.8975462440699202,0.39754624406992023,0.8848322011968217,2000,0.0,0.0,,22,86,,False
exact_npg_reward_only_pseudoinverse,uniform,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,2.580632714683154,21.446990420957444,386,8,34,85,False
exact_pg_reward_only_fixed_step,adverse,0.0,0.05,2000,True,,0,0.49069200273694474,0.0020364210682015035,0.18936679042273202,-0.310633209577268,0.015913652574638792,2000,0.0,0.0,,,,,False
exact_pg_logbarrier_handoff_fixed_step,adverse,0.0,0.05,2000,True,,0,0.48614305808859465,0.008251989910793808,0.19087772210599635,-0.30912227789400365,0.023730075228596704,2000,0.0,0.0,,,,,False
exact_npg_reward_only_fixed_step,adverse,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,0.8106905902683732,86.63135348410215,443,89,304,355,True
exact_npg_reward_only_fixed_step,adverse,0.01,0.05,2000,True,,0,0.499884912494853,2.7129320568846012e-05,0.1906377679874911,-0.3093622320125089,0.016402628593969064,2000,0.0,0.0,,,,,False
exact_npg_reward_only_fixed_step,adverse,0.1,0.05,2000,True,,0,0.49890690242186564,0.00022079867226778655,0.18957194222183368,-0.3104280577781663,0.01597716554134976,2000,0.0,0.0,,,,,False
exact_npg_logbarrier_handoff_fixed_step,adverse,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,0.0,0.0,845,44,114,513,True
exact_npg_logbarrier_handoff_fixed_step,adverse,0.01,0.05,2000,True,,0,0.9997325270218436,0.9998352731074963,0.9998656927128143,0.49986569271281434,0.9998595866151488,2000,0.0,0.0,,87,154,515,True
exact_npg_logbarrier_handoff_fixed_step,adverse,0.1,0.05,2000,True,,0,0.9973528991734477,0.9983564996215029,0.9986732778057582,0.4986732778057582,0.9986088548911757,2000,0.0,0.0,,302,395,544,True
exact_pg_logbarrier_fixed_fixed_step,adverse,0.0,0.05,2000,True,,0,0.40101032769889133,0.24774470375482732,0.39014345784308746,-0.10985654215691254,0.30936508997025364,2000,0.0,0.0,,,,,False
exact_npg_logbarrier_fixed_fixed_step,adverse,0.0,0.05,2000,True,,0,0.7995786837940986,0.8250597782271895,0.8975462479954801,0.3975462479954801,0.8848322038897722,2000,0.0,0.0,,44,114,,False
exact_npg_logbarrier_fixed_fixed_step,adverse,0.01,0.05,2000,True,,0,0.7995786837940988,0.8250597782271897,0.8975462479954802,0.3975462479954802,0.8848322038897724,2000,0.0,0.0,,87,154,,False
exact_npg_logbarrier_fixed_fixed_step,adverse,0.1,0.05,2000,True,,0,0.7995786484597486,0.8250597595812458,0.8975462148775186,0.3975462148775186,0.8848321811321823,2000,0.0,0.0,,302,395,,False
exact_npg_reward_only_pseudoinverse,adverse,0.0,0.05,2000,True,,0,1.0,1.0,1.0,0.5,1.0,2000,2.69580784779755,71.76291101647412,443,89,304,355,True
