method,initialization,damping,updates,alpha,eta,beta,handoff_update,record_interval
exact_pg_reward_only_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_pg_logbarrier_handoff_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,uniform,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,uniform,0.1,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,uniform,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,uniform,0.1,2000,0.05,0.05,0.1,500,10
exact_pg_logbarrier_fixed_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,uniform,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,uniform,0.1,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_pseudoinverse,uniform,0.0,2000,0.05,0.05,0.1,500,10
exact_pg_reward_only_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_pg_logbarrier_handoff_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,adverse,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_fixed_step,adverse,0.1,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,adverse,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_handoff_fixed_step,adverse,0.1,2000,0.05,0.05,0.1,500,10
exact_pg_logbarrier_fixed_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,adverse,0.0,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,adverse,0.01,2000,0.05,0.05,0.1,500,10
exact_npg_logbarrier_fixed_fixed_step,adverse,0.1,2000,0.05,0.05,0.1,500,10
exact_npg_reward_only_pseudoinverse,adverse,0.0,2000,0.05,0.05,0.1,500,10
