method,initialization,damping,finite,invalid_updates,first_delta_safe_positive_update,final_return,final_q,final_pi1_good,final_delta_safe,exact_npg_escaped_adverse
exact_pg_reward_only,uniform,0.01,True,0,117,0.9734716851141371,0.9830560206182654,0.986105039802255,0.48673221315603,False
exact_pg_logbarrier_handoff,uniform,0.01,True,0,125,0.9716332862788236,0.9818427888117843,0.9851298835683183,0.48584516557503155,False
exact_npg_reward_only,uniform,0.0,False,1,4,0.9999999976992022,0.9999999953984162,0.9999999999999927,0.4999999999999941,False
exact_npg_reward_only,uniform,0.01,False,1,4,1.0,1.0,1.0,0.5,False
exact_npg_reward_only,uniform,0.1,False,1,4,0.9732119706836795,0.9794526729793305,0.9870953725106882,0.487753436545871,False
exact_npg_logbarrier_handoff,uniform,0.0,False,1,4,0.9999510219558528,0.9999029032067606,0.999999485765009,0.4999995846802092,False
exact_npg_logbarrier_handoff,uniform,0.01,False,1,4,0.9999977706636897,0.99999873626494,0.9999988957739493,0.499998919605425,False
exact_npg_logbarrier_handoff,uniform,0.1,False,1,4,0.9999984313950918,0.99999915183142,0.9999992007325333,0.4999992161654919,False
exact_pg_logbarrier_fixed,uniform,0.01,True,0,125,0.7936995734216172,0.8239433752702157,0.8824747845566825,0.39400506745804653,False
exact_npg_logbarrier_fixed,uniform,0.0,True,0,4,0.7986852061337619,0.8228498418248879,0.8860830549098354,0.3989019297990539,False
exact_npg_logbarrier_fixed,uniform,0.01,True,0,4,0.7999744383124947,0.8242437059369428,0.8860582496884749,0.3986259202195107,False
exact_npg_logbarrier_fixed,uniform,0.1,True,0,4,0.7939752241413165,0.8336289270660894,0.8709493885422831,0.3855704249211134,False
exact_pg_reward_only,adverse,0.01,True,0,,0.49069200273694474,0.0020364210682015035,0.015913652574638792,-0.310633209577268,False
exact_pg_logbarrier_handoff,adverse,0.01,True,0,,0.48614305808859465,0.008251989910793808,0.023730075228596704,-0.30912227789400365,False
exact_npg_reward_only,adverse,0.0,False,1,12,0.9997683144379659,0.9995366294639775,0.9999999996363762,0.49999999970908515,True
exact_npg_reward_only,adverse,0.01,False,1,21,0.5,8.641760945938417e-70,0.01888748416866645,-0.3041495130719406,False
exact_npg_reward_only,adverse,0.1,False,1,21,0.5,1.665399544995591e-72,0.01763336834334526,-0.3059042680690766,False
exact_npg_logbarrier_handoff,adverse,0.0,False,1,15,0.9999510219558031,0.9999029032066628,0.9999994857650081,0.49999958468020844,True
exact_npg_logbarrier_handoff,adverse,0.01,False,1,20,0.9999992174780692,0.999999564275948,0.9999996115365656,0.49999961892002387,True
exact_npg_logbarrier_handoff,adverse,0.1,False,1,25,0.9999984313950918,0.99999915183142,0.9999992007325333,0.4999992161654919,True
exact_pg_logbarrier_fixed,adverse,0.01,True,0,,0.40101032769889133,0.24774470375482732,0.30936508997025364,-0.10985654215691254,False
exact_npg_logbarrier_fixed,adverse,0.0,True,0,15,0.7986852061337619,0.8228498418248885,0.8860830549098347,0.39890192979905326,False
exact_npg_logbarrier_fixed,adverse,0.01,True,0,20,0.8046681081553387,0.8203271494446039,0.8958378182838413,0.40717851093223423,False
exact_npg_logbarrier_fixed,adverse,0.1,True,0,25,0.7939752241413642,0.833628927066004,0.8709493885424092,0.38557042492122195,False
