method,initialization,damping,updates,alpha,beta,handoff_update,target_kl,record_interval
exact_pg_reward_only,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_pg_logbarrier_handoff,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,uniform,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,uniform,0.1,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,uniform,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,uniform,0.1,2000,0.05,0.1,500,0.001,10
exact_pg_logbarrier_fixed,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,uniform,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,uniform,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,uniform,0.1,2000,0.05,0.1,500,0.001,10
exact_pg_reward_only,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_pg_logbarrier_handoff,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,adverse,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_reward_only,adverse,0.1,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,adverse,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_handoff,adverse,0.1,2000,0.05,0.1,500,0.001,10
exact_pg_logbarrier_fixed,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,adverse,0.0,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,adverse,0.01,2000,0.05,0.1,500,0.001,10
exact_npg_logbarrier_fixed,adverse,0.1,2000,0.05,0.1,500,0.001,10
