comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_return,100,-0.03772048033968731,-0.03768227548201425,-0.037871867029922936,-0.03756909364945168,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_q,100,0.01981946434450185,0.019758871195574755,0.01972161399710138,0.01991731469190232,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_pi1_good,100,0.00038997478476129617,0.0003529578102132117,0.00034015697969460494,0.0004397925898279874,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,100,-0.06189999999999998,-0.050000000000000044,-0.06953392987842075,-0.054266070121579225,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,100,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_return,100,0.05429859043186031,-3.300512413373369e-08,0.02452713277075719,0.08407004809296344,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_q,100,0.1217009656243426,1.2526026917765301e-08,0.06258928693284355,0.18081264431584165,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_pi1_good,100,0.5250255949439662,0.4277938608796301,0.4739235624846909,0.5761276274032414,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,zero_s1_batch_fraction,100,-0.4546805020686222,-0.41000000000000003,-0.485333250244528,-0.4240277538927164,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,near_optimal_basin,100,0.08,0.0,0.02589835606307888,0.13410164393692112,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,exact_mcnemar_p,100,0.0078125,,,,0,8
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_return,100,0.05095467230453841,0.050897628052032906,0.05087262541305024,0.05103671919602658,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_q,100,-0.012517478250935132,-0.012492215807904194,-0.012552636629261591,-0.012482319872608673,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_pi1_good,100,-0.0004575128207075532,2.0788120045269615e-05,-0.0006407147112803121,-0.00027431093013479427,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,100,0.054000000000000006,0.050000000000000044,0.049357293838193116,0.0586427061618069,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,100,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_return,100,0.14297374307608604,0.08872913265138566,0.11317477534723694,0.17277271080493514,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_q,100,0.08936402302890561,-0.03215286262323978,0.030270311506875508,0.14845773455093572,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,100,0.5241781073384975,0.4275788630766534,0.4730594903167215,0.5752967243602733,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,100,-0.3387805020686222,-0.3,-0.37007530965506025,-0.30748569448218416,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,100,0.08,0.0,0.02589835606307888,0.13410164393692112,,
