initialization,n_trajectories,method,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,completed_all_updates_rate,last_update_median,last_update_min,zero_s1_batch_fraction_mean,reached_safe_positive_rate
adverse,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4907,0.4907,1.0,2000,2000,0.98,0.0
adverse,4,sampled_pg_logbarrier_handoff,100,0.26,0.184,0.354,0.683,0.6585,1.0,2000,2000,0.3913,0.93
adverse,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5955,0.5963,1.0,2000,2000,0.2591,1.0
adverse,4,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,790,790,0.9984,0.0
adverse,4,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,2000,2000,0.0481,1.0
adverse,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6899,0.6924,1.0,2000,2000,0.0504,1.0
adverse,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4907,0.4907,1.0,2000,2000,0.8539,0.0
adverse,32,sampled_pg_logbarrier_handoff,100,0.34,0.255,0.437,0.8366,0.859,1.0,2000,2000,0.0179,1.0
adverse,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5944,0.5947,1.0,2000,2000,0.0178,1.0
adverse,32,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,790,790,0.9959,0.0
adverse,32,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,2000,2000,0.0012,1.0
adverse,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6336,0.6358,1.0,2000,2000,0.0012,1.0
adverse,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4907,0.4907,1.0,2000,2000,0.5604,0.0
adverse,128,sampled_pg_logbarrier_handoff,100,0.4,0.309,0.498,0.8737,0.8791,1.0,2000,2000,0.0013,1.0
adverse,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5946,0.5947,1.0,2000,2000,0.0013,1.0
adverse,128,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,800,790,0.9886,0.0
adverse,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,2000,2000,0.0001,1.0
adverse,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.621,0.6214,1.0,2000,2000,0.0001,1.0
uniform,4,sampled_pg_reward_only,100,1.0,0.963,1.0,0.9732,0.9735,1.0,2000,2000,0.0328,1.0
uniform,4,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.9571,0.9572,1.0,2000,2000,0.0451,1.0
uniform,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.6191,0.62,1.0,2000,2000,0.0554,1.0
uniform,4,sampled_npg_reward_only,100,0.37,0.282,0.468,0.6479,0.5,0.0,830,10,0.3983,0.65
uniform,4,sampled_npg_logbarrier_handoff,100,0.95,0.888,0.978,0.965,1.0,0.95,2000,2000,0.028,0.95
uniform,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6708,0.6912,0.95,2000,2000,0.0301,0.95
uniform,32,sampled_pg_reward_only,100,1.0,0.963,1.0,0.9735,0.9735,1.0,2000,2000,0.0,1.0
uniform,32,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.957,0.9571,1.0,2000,2000,0.0,1.0
uniform,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.6161,0.6165,1.0,2000,2000,0.0,1.0
uniform,32,sampled_npg_reward_only,100,1.0,0.963,1.0,1.0,1.0,0.0,1160,1150,0.0,1.0
uniform,32,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,2000,2000,0.0,1.0
uniform,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6336,0.6358,1.0,2000,2000,0.0,1.0
uniform,128,sampled_pg_reward_only,100,1.0,0.963,1.0,0.9734,0.9734,1.0,2000,2000,0.0,1.0
uniform,128,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.957,0.957,1.0,2000,2000,0.0,1.0
uniform,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.6158,0.6159,1.0,2000,2000,0.0,1.0
uniform,128,sampled_npg_reward_only,100,1.0,0.963,1.0,1.0,1.0,0.0,1160,1160,0.0,1.0
uniform,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,2000,2000,0.0,1.0
uniform,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.621,0.6214,1.0,2000,2000,0.0,1.0
