method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_reward_only,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4906992799180216,0.490710493373533,0.49068269512908236,0.4907158647069608,0.0020336027719357456,0.0020279083262877374,0.0020245778336268586,0.0020426277102446326,0.015908078896839883,0.015852167249159155,0.01585948689370102,0.015956670899978747,0.9800249999999999,0.9805,0.9793647415358006,0.9806852584641993,0,0.0,
sampled_pg_logbarrier_handoff,adverse,4,100,26,0.26,0.18404698464748132,0.3537098944918718,1.0,0.6829918533078065,0.6584551942939824,0.6462013326211008,0.7197823739945123,0.5058657906428314,0.5541395857486051,0.4306021289779083,0.5811294523077546,0.7710164261835802,0.8360606330969902,0.734117266308843,0.8079155860583175,0.3913300000000001,0.3795,0.3687818816953539,0.4138781183046463,93,0.93,1269.0
sampled_npg_reward_only,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.5,0.5,0.5,0.5,3.9795597855707205e-156,3.6845276602238935e-156,3.642172160189078e-156,4.316947410952363e-156,0.015431251542924065,0.015876239976466765,0.015249278249950484,0.015613224835897646,0.9984033990633756,0.9987421383647799,0.9982669648341631,0.9985398332925881,0,0.0,
sampled_npg_logbarrier_handoff,adverse,4,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04814500000000001,0.0415,0.04134268263821148,0.05494731736178853,100,1.0,56.0
sampled_pg_logbarrier_fixed,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.5954752290774511,0.5962636334819165,0.5930987454920965,0.5978517126628057,0.5949357838521422,0.5975134566787406,0.5901077726554551,0.5997637950488293,0.7551470777338981,0.7554162028977196,0.7535507714039007,0.7567433840638955,0.25910999999999995,0.2585,0.2552631692230025,0.2629568307769974,100,1.0,1210.0
sampled_npg_logbarrier_fixed,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6899086996154089,0.6923666632272811,0.6824265414135129,0.6973908578173049,0.7528057646543418,0.7649692237221788,0.7412826495386382,0.7643288797700454,0.8055762974027342,0.8094403380012789,0.8003659415164289,0.8107866532890394,0.05038499999999999,0.044,0.043578407947104617,0.05719159205289537,100,1.0,56.0
sampled_pg_reward_only,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4906942650580859,0.4906941072057732,0.49068754528063235,0.4907009848355394,0.002035644889643826,0.0020366120573969025,0.0020319911961744477,0.0020392985831132046,0.015903649138352183,0.01589476604721108,0.015886422049832514,0.01592087622687185,0.8538900000000003,0.8534999999999999,0.8521078506652618,0.8556721493347387,0,0.0,
sampled_pg_logbarrier_handoff,adverse,32,100,34,0.34,0.25461520797348164,0.43722271145275377,1.0,0.8365866175330428,0.8590237284618465,0.8203633069784096,0.8528099280876759,0.8312163972748964,0.8744827876066961,0.8040379066176061,0.8583948879321867,0.9185932280745845,0.9283574277820554,0.9111054398725169,0.9260810162766522,0.017879999999999997,0.018,0.01742043880484662,0.018339561195153373,100,1.0,1194.0
sampled_npg_reward_only,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.5,0.5,0.5,0.5,1.7157719213451744e-155,1.688806564149827e-155,1.503363775595502e-155,1.9281800670948466e-155,0.014837524355023626,0.01496618544846956,0.014630963861573745,0.015044084848473508,0.995859566087375,0.9962453066332916,0.99546770737594,0.99625142479881,0,0.0,
sampled_npg_logbarrier_handoff,adverse,32,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011550000000000002,0.001,0.0010731461168516923,0.0012368538831483082,100,1.0,24.0
sampled_pg_logbarrier_fixed,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.5943635792677398,0.5946809580906139,0.5933451066434545,0.595382051892025,0.5971770704115306,0.5984544716294092,0.5950868041699732,0.599267336653088,0.7495565409933225,0.7493377710708158,0.7489687570234281,0.7501443249632168,0.017759999999999998,0.018,0.017297127727866592,0.018222872272133404,100,1.0,1172.0
sampled_npg_logbarrier_fixed,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6336427655245082,0.6357636152774051,0.6290057524289154,0.6382797786201009,0.6436827167041221,0.6457777006871008,0.6347349682794488,0.6526304651287955,0.7777610567280862,0.7801517866612325,0.7738848839397994,0.7816372295163729,0.0011550000000000002,0.001,0.0010731461168516923,0.0012368538831483082,100,1.0,24.0
sampled_pg_reward_only,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.49069293325184526,0.4906940664545383,0.49069000749755676,0.49069585900613377,0.0020361004730959312,0.002036160717675469,0.0020345743595134563,0.0020376265866784062,0.015913775745027822,0.01591431862039651,0.015902956745383275,0.01592459474467237,0.5604499999999999,0.5625,0.5583413377507831,0.5625586622492167,0,0.0,
sampled_pg_logbarrier_handoff,adverse,128,100,40,0.4,0.3094012864324589,0.4979974132089382,1.0,0.8737178140067937,0.8791095917668986,0.8693242457551893,0.8781113822583981,0.8897808693524221,0.8966954751723782,0.8843360056746183,0.8952257330302258,0.9353860157882936,0.9378470720676613,0.9333863645849935,0.9373856669915938,0.00133,0.0015,0.0011747456788367345,0.0014852543211632656,100,1.0,1175.5
sampled_npg_reward_only,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.5,0.5,0.5,0.5,2.687226696987656e-156,8.02917480231371e-157,1.2410007007396298e-156,4.1334526932356815e-156,0.014985998040560904,0.014541578376783118,0.014627211018828341,0.015344785062293467,0.9885651494373616,0.9887780548628429,0.9879701809011103,0.9891601179736129,0,0.0,
sampled_npg_logbarrier_handoff,adverse,128,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010999999999999999,0.0,6.869523070926137e-05,0.00015130476929073861,100,1.0,25.0
sampled_pg_logbarrier_fixed,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.5946189816193997,0.5946511571168933,0.5941092476128369,0.5951287156259626,0.598016934142846,0.5978257712495835,0.5970061762304978,0.5990276920551941,0.7492007817273073,0.7491965445341858,0.7488842108931926,0.749517352561422,0.00133,0.0015,0.0011747456788367345,0.0014852543211632656,100,1.0,1161.0
sampled_npg_logbarrier_fixed,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6209591125920756,0.6214135473344513,0.6169926977595054,0.6249255274246458,0.6260054663314535,0.6306849113252377,0.6194269591153719,0.632583973547535,0.7672981088842409,0.7673534511398628,0.7638091845834533,0.7707870331850285,0.00010999999999999999,0.0,6.869523070926137e-05,0.00015130476929073861,100,1.0,25.0
sampled_pg_reward_only,uniform,4,100,100,1.0,0.9630065017930143,1.0,1.0,0.9731817137435117,0.9734891404879376,0.9728704172081436,0.9734930102788798,0.9827791195217201,0.9831168791624789,0.9824735582997962,0.9830846807436441,0.9859758148772219,0.9861361184855806,0.9858170743654814,0.9861345553889623,0.03278000000000001,0.02875,0.029526976976004864,0.03603302302399516,100,1.0,118.0
