method,initialization,n_trajectories,n_seeds,updates,alpha,beta,handoff_update,damping,target_kl,record_interval,base_seed,entropy_coefficient
sampled_pg_entropy_handoff,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,uniform,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_pg_entropy_handoff,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,uniform,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_pg_entropy_handoff,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,uniform,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_pg_entropy_handoff,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,adverse,4,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_pg_entropy_handoff,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,adverse,32,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_pg_entropy_handoff,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
sampled_npg_entropy_handoff,adverse,128,100,2000,0.05,0.2,1000,0.01,0.001,10,91000,0.46848810537462116
