method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_entropy_handoff,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4778346547225856,0.4777957377301625,0.4777264079009467,0.4779429015442244,0.016152351368828484,0.01619046721620696,0.01599039263050284,0.016314310107154128,0.028964653167062246,0.02900276568535632,0.028388441999022882,0.02954086433510161,0.74269,0.7435,0.7401335627579283,0.7452464372420716,0,0.0,
sampled_npg_entropy_handoff,adverse,4,100,95,0.95,0.8882495307680808,0.9784563208456319,0.95,0.975,1.0,0.9532685670717881,0.9967314329282119,0.95,1.0,0.9065371341435763,0.9934628658564236,0.9744233725476908,1.0,0.9519404556806096,0.9969062894147721,0.08976711857486257,0.049,0.06205264939957718,0.11748158775014796,100,1.0,60.0
sampled_pg_entropy_handoff,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.47782547820329485,0.47785288537786974,0.47778692769802716,0.47786402870856254,0.016111901340650974,0.016107397731828486,0.016051938400903992,0.016171864280397956,0.031298257217864243,0.03133266474975975,0.031031564963600468,0.03156494947212802,0.21759,0.2175,0.2159080269904213,0.2192719730095787,0,0.0,
sampled_npg_entropy_handoff,adverse,32,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00124,0.0015,0.0011688202810882387,0.0013111797189117613,100,1.0,25.0
sampled_pg_entropy_handoff,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4778482269306991,0.47785689308264157,0.4778307956092161,0.47786565825218213,0.01608111517843664,0.016085853777038618,0.016055241830180048,0.016106988526693233,0.03163135943870834,0.031566042450284784,0.03151665297808799,0.031746065899328685,0.020584999999999996,0.0205,0.019954050560499006,0.021215949439500986,0,0.0,
sampled_npg_entropy_handoff,adverse,128,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010999999999999999,0.0,6.635451625584257e-05,0.0001536454837441574,100,1.0,25.0
sampled_pg_entropy_handoff,uniform,4,100,100,1.0,0.9630065017930143,1.0,1.0,0.9613594219649383,0.9614001554908738,0.9611337744650731,0.9615850694648035,0.9736980450906817,0.9738318047459009,0.9734202399506882,0.9739758502306752,0.9798605219388641,0.9798584964418707,0.9797711468327098,0.9799498970450183,0.038755,0.03775,0.03707799279903287,0.040432007200967124,100,1.0,129.0
sampled_npg_entropy_handoff,uniform,4,100,96,0.96,0.9016292856411208,0.9843366960084523,0.96,0.98,1.0,0.9604607823239336,0.9995392176760663,0.96,1.0,0.9209215646478672,0.9990784353521327,0.9800065566147717,1.0,0.9602168490351565,0.9997962641943868,0.05993775100778954,0.0195,0.033963318237871645,0.08591218377770743,100,1.0,24.0
sampled_pg_entropy_handoff,uniform,32,100,100,1.0,0.9630065017930143,1.0,1.0,0.9613146394756322,0.9613311017534405,0.961229352058324,0.9613999268929404,0.9737847864081887,0.9737374744093327,0.9736785071074039,0.9738910657089734,0.9797253639488537,0.9797465821816955,0.9796933621268626,0.9797573657708447,0.0,0.0,0.0,0.0,100,1.0,129.5
sampled_npg_entropy_handoff,uniform,32,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_entropy_handoff,uniform,128,100,100,1.0,0.9630065017930143,1.0,1.0,0.9612510545569463,0.9612641609991117,0.9612114865845349,0.9612906225293576,0.9737100924446715,0.9737084347297118,0.9736622846340753,0.9737579002552678,0.9797050852557986,0.9797087654383708,0.9796901080948768,0.9797200624167204,0.0,0.0,0.0,0.0,100,1.0,130.0
sampled_npg_entropy_handoff,uniform,128,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
