comparison_family,initialization,n_trajectories,updates,budget_trajectories,left_arm,right_arm,paired_seeds,left_success_rate,right_success_rate,success_rate_difference,left_only_wins,right_only_wins,exact_two_sided_mcnemar_p
barrier_vs_entropy_euclidean,adverse,4,250,1000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,4,250,1000,barrier_npg,entropy_npg,100,0.37,0.26,0.11,22,11,0.08014331245794892
barrier_vs_reward_only_euclidean,adverse,4,250,1000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,adverse,4,250,1000,barrier_npg,reward_only_npg,100,0.37,0.0,0.37,37,0,1.4551915228366852e-11
entropy_vs_reward_only_euclidean,adverse,4,250,1000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,adverse,4,250,1000,entropy_npg,reward_only_npg,100,0.26,0.0,0.26,26,0,2.9802322387695312e-08
barrier_vs_entropy_euclidean,adverse,4,1000,4000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,4,1000,4000,barrier_npg,entropy_npg,100,0.92,0.81,0.11,15,4,0.0192108154296875
barrier_vs_reward_only_euclidean,adverse,4,1000,4000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,adverse,4,1000,4000,barrier_npg,reward_only_npg,100,0.92,0.0,0.92,92,0,4.0389678347315804e-28
entropy_vs_reward_only_euclidean,adverse,4,1000,4000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,adverse,4,1000,4000,entropy_npg,reward_only_npg,100,0.81,0.0,0.81,81,0,8.271806125530277e-25
barrier_vs_entropy_euclidean,adverse,4,4000,16000,barrier_pg,entropy_pg,100,1.0,0.17,0.83,83,0,2.0679515313825692e-25
barrier_vs_entropy_natural,adverse,4,4000,16000,barrier_npg,entropy_npg,100,0.0,0.99,-0.99,0,99,3.1554436208840472e-30
barrier_vs_reward_only_euclidean,adverse,4,4000,16000,barrier_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
